"","date","OXLC"
"1","2011-01-21",19.98
"2","2011-01-24",19.98
"3","2011-01-25",19.9
"4","2011-01-26",20
"5","2011-01-27",20
"6","2011-01-28",20
"7","2011-01-31",20
"8","2011-02-01",20.02
"9","2011-02-02",20.200001
"10","2011-02-03",19.799999
"11","2011-02-04",20
"12","2011-02-07",20
"13","2011-02-08",19.889999
"14","2011-02-09",19.6
"15","2011-02-10",19.5
"16","2011-02-11",19.700001
"17","2011-02-14",19.4
"18","2011-02-15",19.6
"19","2011-02-16",19.6
"20","2011-02-17",20
"21","2011-02-18",19.77
"22","2011-02-22",19.129999
"23","2011-02-23",19.4
"24","2011-02-24",19.4
"25","2011-02-25",19.4
"26","2011-02-28",19.5
"27","2011-03-01",19.25
"28","2011-03-02",19.25
"29","2011-03-03",19.290001
"30","2011-03-04",19.290001
"31","2011-03-07",19.110001
"32","2011-03-08",19.01
"33","2011-03-09",19
"34","2011-03-10",19
"35","2011-03-11",18.75
"36","2011-03-14",18.68
"37","2011-03-15",18.09
"38","2011-03-16",18.309999
"39","2011-03-17",17.860001
"40","2011-03-18",17.59
"41","2011-03-21",17.73
"42","2011-03-22",17.5
"43","2011-03-23",17.360001
"44","2011-03-24",17.5
"45","2011-03-25",17.65
"46","2011-03-28",17.74
"47","2011-03-29",17.99
"48","2011-03-30",18.51
"49","2011-03-31",18.75
"50","2011-04-01",18.629999
"51","2011-04-04",18.75
"52","2011-04-05",18.639999
"53","2011-04-06",18.5
"54","2011-04-07",19
"55","2011-04-08",18.889999
"56","2011-04-11",19.459999
"57","2011-04-12",19.700001
"58","2011-04-13",19.6
"59","2011-04-14",18.809999
"60","2011-04-15",18.809999
"61","2011-04-18",18.68
"62","2011-04-19",18.77
"63","2011-04-20",18.65
"64","2011-04-21",18.690001
"65","2011-04-25",18.99
"66","2011-04-26",19.68
"67","2011-04-27",19.139999
"68","2011-04-28",19.25
"69","2011-04-29",19.700001
"70","2011-05-02",19.700001
"71","2011-05-03",19.790001
"72","2011-05-04",19.209999
"73","2011-05-05",19.15
"74","2011-05-06",19
"75","2011-05-09",19.040001
"76","2011-05-10",19.85
"77","2011-05-11",20
"78","2011-05-12",19.4
"79","2011-05-13",19.4
"80","2011-05-16",19.4
"81","2011-05-17",19.209999
"82","2011-05-18",19.459999
"83","2011-05-19",19.459999
"84","2011-05-20",19.59
"85","2011-05-23",19.209999
"86","2011-05-24",19.17
"87","2011-05-25",19.35
"88","2011-05-26",19.41
"89","2011-05-27",19.41
"90","2011-05-31",19.450001
"91","2011-06-01",19.16
"92","2011-06-02",19.35
"93","2011-06-03",19.35
"94","2011-06-06",19.1
"95","2011-06-07",19.01
"96","2011-06-08",19.049999
"97","2011-06-09",19.440001
"98","2011-06-10",19.6
"99","2011-06-13",19.389999
"100","2011-06-14",19.389999
"101","2011-06-15",18.83
"102","2011-06-16",18.780001
"103","2011-06-17",18.6
"104","2011-06-20",18.75
"105","2011-06-21",18.290001
"106","2011-06-22",18.709999
"107","2011-06-23",18.860001
"108","2011-06-24",18.48
"109","2011-06-27",18.5
"110","2011-06-28",18.5
"111","2011-06-29",18.440001
"112","2011-06-30",18.51
"113","2011-07-01",18.51
"114","2011-07-05",18.34
"115","2011-07-06",18.17
"116","2011-07-07",18.15
"117","2011-07-08",18.15
"118","2011-07-11",18.040001
"119","2011-07-12",18.27
"120","2011-07-13",18.370001
"121","2011-07-14",18
"122","2011-07-15",18.299999
"123","2011-07-18",18
"124","2011-07-19",18.09
"125","2011-07-20",18.09
"126","2011-07-21",18.23
"127","2011-07-22",18.049999
"128","2011-07-25",18.049999
"129","2011-07-26",18
"130","2011-07-27",18.190001
"131","2011-07-28",17.799999
"132","2011-07-29",17.83
"133","2011-08-01",17.74
"134","2011-08-02",16.6
"135","2011-08-03",16.57
"136","2011-08-04",16.799999
"137","2011-08-05",16.889999
"138","2011-08-08",16.85
"139","2011-08-09",16.809999
"140","2011-08-10",16.629999
"141","2011-08-11",16.809999
"142","2011-08-12",16.25
"143","2011-08-15",16.76
"144","2011-08-16",16.48
"145","2011-08-17",16.309999
"146","2011-08-18",16.200001
"147","2011-08-19",16.389999
"148","2011-08-22",16.049999
"149","2011-08-23",15.23
"150","2011-08-24",15.48
"151","2011-08-25",15.48
"152","2011-08-26",15.35
"153","2011-08-29",15.67
"154","2011-08-30",15.34
"155","2011-08-31",16
"156","2011-09-01",16.139999
