"","date","LCA"
"1","2019-06-06",9.75
"2","2019-06-07",9.75
"3","2019-06-10",9.75
"4","2019-06-11",9.75
"5","2019-06-12",9.75
"6","2019-06-13",9.75
"7","2019-06-14",9.75
"8","2019-06-17",9.75
"9","2019-06-18",9.75
"10","2019-06-19",9.75
"11","2019-06-20",9.75
"12","2019-06-21",9.75
"13","2019-06-24",9.7
"14","2019-06-25",9.72
"15","2019-06-26",9.73
"16","2019-06-27",9.728
"17","2019-06-28",9.728
"18","2019-07-01",9.728
"19","2019-07-02",9.728
"20","2019-07-03",9.75
"21","2019-07-05",9.75
"22","2019-07-08",9.75
"23","2019-07-09",9.75
"24","2019-07-10",9.75
"25","2019-07-11",9.75
"26","2019-07-12",9.75
"27","2019-07-15",9.77
"28","2019-07-16",9.8
"29","2019-07-17",9.8
"30","2019-07-18",9.8
"31","2019-07-19",9.75
"32","2019-07-22",9.75
"33","2019-07-23",9.78
"34","2019-07-24",9.78
"35","2019-07-25",9.79
"36","2019-07-26",9.78
"37","2019-07-29",9.78
"38","2019-07-30",9.78
"39","2019-07-31",9.78
"40","2019-08-01",9.78
"41","2019-08-02",9.78
"42","2019-08-05",9.78
"43","2019-08-06",9.78
"44","2019-08-07",9.82
"45","2019-08-08",9.74
"46","2019-08-09",9.74
"47","2019-08-12",9.74
"48","2019-08-13",9.75
"49","2019-08-14",9.75
"50","2019-08-15",9.8
"51","2019-08-16",9.84
"52","2019-08-19",9.75
"53","2019-08-20",9.74
"54","2019-08-21",9.74
"55","2019-08-22",9.8
"56","2019-08-23",9.75
"57","2019-08-26",9.73
"58","2019-08-27",9.8
"59","2019-08-28",9.8
"60","2019-08-29",9.79
"61","2019-08-30",9.8
"62","2019-09-03",9.75
"63","2019-09-04",9.74
"64","2019-09-05",9.77
"65","2019-09-06",9.79
"66","2019-09-09",9.79
"67","2019-09-10",9.78
"68","2019-09-11",9.77
"69","2019-09-12",9.77
"70","2019-09-13",9.775
"71","2019-09-16",9.79
"72","2019-09-17",9.8
"73","2019-09-18",9.8
"74","2019-09-19",9.8
"75","2019-09-20",9.77
"76","2019-09-23",9.8
"77","2019-09-24",9.81
"78","2019-09-25",9.8
"79","2019-09-26",9.8
"80","2019-09-27",9.81
"81","2019-09-30",9.81
"82","2019-10-01",9.82
"83","2019-10-02",9.82
"84","2019-10-03",9.82
"85","2019-10-04",9.82
"86","2019-10-07",9.82
"87","2019-10-08",9.8
"88","2019-10-09",9.8
"89","2019-10-10",9.82
"90","2019-10-11",9.82
"91","2019-10-14",9.76
"92","2019-10-15",9.76
"93","2019-10-16",9.8
"94","2019-10-17",9.79
"95","2019-10-18",9.79
"96","2019-10-21",9.79
"97","2019-10-22",9.79
"98","2019-10-23",9.79
"99","2019-10-24",9.81
"100","2019-10-25",9.81
"101","2019-10-28",9.81
"102","2019-10-29",9.8
"103","2019-10-30",9.8
"104","2019-10-31",9.81
"105","2019-11-01",9.81
"106","2019-11-04",9.81
"107","2019-11-05",9.81
"108","2019-11-06",9.81
"109","2019-11-07",9.81
"110","2019-11-08",9.84
"111","2019-11-11",9.84
"112","2019-11-12",9.82
"113","2019-11-13",9.82
"114","2019-11-14",9.84
"115","2019-11-15",9.86
"116","2019-11-18",9.83
"117","2019-11-19",9.82
"118","2019-11-20",9.82
"119","2019-11-21",9.82
"120","2019-11-22",9.82
"121","2019-11-25",9.83
"122","2019-11-26",9.83
"123","2019-11-27",9.83
"124","2019-11-29",9.84
"125","2019-12-02",9.82
"126","2019-12-03",9.82
"127","2019-12-04",9.84
"128","2019-12-05",9.84
"129","2019-12-06",9.87
"130","2019-12-09",9.87
"131","2019-12-10",9.87
"132","2019-12-11",9.87
"133","2019-12-12",9.87
"134","2019-12-13",9.88
"135","2019-12-16",9.87
"136","2019-12-17",9.87
"137","2019-12-18",9.88
"138","2019-12-19",9.88
"139","2019-12-20",9.88
"140","2019-12-23",9.88
"141","2019-12-24",9.88
"142","2019-12-26",9.88
"143","2019-12-27",9.88
"144","2019-12-30",9.88
"145","2019-12-31",9.88
"146","2020-01-02",9.88
"147","2020-01-03",9.88
"148","2020-01-06",9.91
"149","2020-01-07",9.92
"150","2020-01-08",10
"151","2020-01-09",9.98
"152","2020-01-10",10
"153","2020-01-13",10.02
"154","2020-01-14",10.02
"155","2020-01-15",10.1
"156","2020-01-16",9.88
"157","2020-01-17",9.88
"158","2020-01-21",9.99
"159","2020-01-22",9.88
"160","2020-01-23",9.95
"161","2020-01-24",9.95
"162","2020-01-27",9.97
"163","2020-01-28",9.97
"164","2020-01-29",9.97
"165","2020-01-30",10.03
"166","2020-01-31",10.03
"167","2020-02-03",10.03
"168","2020-02-04",10.03
"169","2020-02-05",10.03
"170","2020-02-06",10.03
"171","2020-02-07",10.03
"172","2020-02-10",10.05
"173","2020-02-11",10.05
"174","2020-02-12",9.98
"175","2020-02-13",9.98
"176","2020-02-14",10.037
"177","2020-02-18",10.13
"178","2020-02-19",10.13
"179","2020-02-20",10.13
"180","2020-02-21",10.14
"181","2020-02-24",10.14
"182","2020-02-25",10.14
"183","2020-02-26",10.14
"184","2020-02-27",10.13
"185","2020-02-28",10.12
"186","2020-03-02",10.11
"187","2020-03-03",10.11
"188","2020-03-04",10.01
"189","2020-03-05",10.105
"190","2020-03-06",10.07
"191","2020-03-09",9.9
"192","2020-03-10",9.94
"193","2020-03-11",9.97
"194","2020-03-12",9.85
"195","2020-03-13",9.8
"196","2020-03-16",9.65
"197","2020-03-17",9.5
"198","2020-03-18",9.34
"199","2020-03-19",9.26
"200","2020-03-20",9.4
"201","2020-03-23",9.69
"202","2020-03-24",9.69
"203","2020-03-25",9.61
"204","2020-03-26",9.78
"205","2020-03-27",9.78
"206","2020-03-30",9.82
"207","2020-03-31",9.8
"208","2020-04-01",9.85
"209","2020-04-02",9.8
"210","2020-04-03",9.85
"211","2020-04-06",9.85
"212","2020-04-07",9.85
"213","2020-04-08",9.84
"214","2020-04-09",9.75
"215","2020-04-13",9.85
"216","2020-04-14",9.86
"217","2020-04-15",9.86
"218","2020-04-16",9.83
"219","2020-04-17",9.89
"220","2020-04-20",9.89
"221","2020-04-21",9.86
"222","2020-04-22",9.9
"223","2020-04-23",9.86
"224","2020-04-24",9.86
"225","2020-04-27",10
"226","2020-04-28",9.95
"227","2020-04-29",9.95
"228","2020-04-30",9.85
"229","2020-05-01",9.85
"230","2020-05-04",9.86
