"","date","MNRL"
"1","2019-04-18",19.92
"2","2019-04-22",20.93
"3","2019-04-23",21.25
"4","2019-04-24",21.25
"5","2019-04-25",20.610001
"6","2019-04-26",20.49
"7","2019-04-29",20.42
"8","2019-04-30",20.51
"9","2019-05-01",20.35
"10","2019-05-02",19.959999
"11","2019-05-03",19.98
"12","2019-05-06",19.92
"13","2019-05-07",19.879999
"14","2019-05-08",19.74
"15","2019-05-09",19.34
"16","2019-05-10",19.450001
"17","2019-05-13",19.940001
"18","2019-05-14",20.92
"19","2019-05-15",21.49
"20","2019-05-16",21.889999
"21","2019-05-17",21.68
"22","2019-05-20",21.73
"23","2019-05-21",22.17
"24","2019-05-22",21.57
"25","2019-05-23",21
"26","2019-05-24",20.77
"27","2019-05-28",21
"28","2019-05-29",21.059999
"29","2019-05-30",21.120001
"30","2019-05-31",20.530001
"31","2019-06-03",21.24
"32","2019-06-04",21.01
"33","2019-06-05",20.75
"34","2019-06-06",20.51
"35","2019-06-07",20.76
"36","2019-06-10",20.75
"37","2019-06-11",20.9
"38","2019-06-12",20.469999
"39","2019-06-13",20.23
"40","2019-06-14",20.5
"41","2019-06-17",20.139999
"42","2019-06-18",20.370001
"43","2019-06-19",20.360001
"44","2019-06-20",21.299999
"45","2019-06-21",21.58
"46","2019-06-24",21.190001
"47","2019-06-25",21.040001
"48","2019-06-26",21.469999
"49","2019-06-27",21.030001
"50","2019-06-28",21.459999
"51","2019-07-01",21.690001
"52","2019-07-02",21.42
"53","2019-07-03",21.219999
"54","2019-07-05",20.93
"55","2019-07-08",20.610001
"56","2019-07-09",21.110001
"57","2019-07-10",20.969999
"58","2019-07-11",21.01
"59","2019-07-12",22.34
"60","2019-07-15",21.459999
"61","2019-07-16",21.25
"62","2019-07-17",20.870001
"63","2019-07-18",20.110001
"64","2019-07-19",20.15
"65","2019-07-22",19.99
"66","2019-07-23",20.9
"67","2019-07-24",21.74
"68","2019-07-25",20.870001
"69","2019-07-26",20.75
"70","2019-07-29",20.65
"71","2019-07-30",21.379999
"72","2019-07-31",21.450001
"73","2019-08-01",20.610001
"74","2019-08-02",20.440001
"75","2019-08-05",20
"76","2019-08-06",19.559999
"77","2019-08-07",18.82
"78","2019-08-08",18.74
"79","2019-08-09",19.299999
"80","2019-08-12",19.75
"81","2019-08-13",19.9
"82","2019-08-14",19.33
"83","2019-08-15",18.959999
"84","2019-08-16",20.41
"85","2019-08-19",21.190001
"86","2019-08-20",20.610001
"87","2019-08-21",20.129999
"88","2019-08-22",19.629999
"89","2019-08-23",18.77
"90","2019-08-26",18.83
"91","2019-08-27",18.9
"92","2019-08-28",20.389999
"93","2019-08-29",20.32
"94","2019-08-30",19.99
"95","2019-09-03",19.530001
"96","2019-09-04",20.299999
"97","2019-09-05",21.190001
"98","2019-09-06",20.629999
"99","2019-09-09",21.85
"100","2019-09-10",21.74
"101","2019-09-11",20.98
"102","2019-09-12",20.209999
"103","2019-09-13",19.9
"104","2019-09-16",23.040001
"105","2019-09-17",21.66
"106","2019-09-18",21.379999
"107","2019-09-19",21.24
"108","2019-09-20",21.67
"109","2019-09-23",22.450001
"110","2019-09-24",21.459999
"111","2019-09-25",21.190001
"112","2019-09-26",20.16
"113","2019-09-27",20.290001
"114","2019-09-30",19.9
"115","2019-10-01",19.790001
"116","2019-10-02",19.219999
"117","2019-10-03",19.799999
"118","2019-10-04",19.389999
"119","2019-10-07",19.379999
"120","2019-10-08",18.799999
"121","2019-10-09",19.059999
"122","2019-10-10",19.469999
"123","2019-10-11",19.93
"124","2019-10-14",18.98
"125","2019-10-15",19.309999
"126","2019-10-16",18.75
"127","2019-10-17",19.639999
"128","2019-10-18",19.120001
"129","2019-10-21",19.690001
"130","2019-10-22",20.08
"131","2019-10-23",20.5
"132","2019-10-24",20.889999
"133","2019-10-25",21.4
"134","2019-10-28",20.360001
"135","2019-10-29",20.879999
"136","2019-10-30",19.5
"137","2019-10-31",19.09
"138","2019-11-01",19.23
"139","2019-11-04",19.200001
"140","2019-11-05",19.219999
"141","2019-11-06",18.309999
"142","2019-11-07",18.4
"143","2019-11-08",19.700001
"144","2019-11-11",19.700001
"145","2019-11-12",19.790001
