"","date","PNFP"
"1","2007-01-03",32.66
"2","2007-01-04",33.650002
"3","2007-01-05",32.240002
"4","2007-01-08",32.299999
"5","2007-01-09",32.130001
"6","2007-01-10",31.99
"7","2007-01-11",32.110001
"8","2007-01-12",32.299999
"9","2007-01-16",31.52
"10","2007-01-17",31.309999
"11","2007-01-18",29.59
"12","2007-01-19",31.25
"13","2007-01-22",30.280001
"14","2007-01-23",30.91
"15","2007-01-24",30.99
"16","2007-01-25",30.85
"17","2007-01-26",31.059999
"18","2007-01-29",31.700001
"19","2007-01-30",31.99
"20","2007-01-31",31.82
"21","2007-02-01",31.91
"22","2007-02-02",31.860001
"23","2007-02-05",31.5
"24","2007-02-06",32.07
"25","2007-02-07",32.25
"26","2007-02-08",32.59
"27","2007-02-09",32.419998
"28","2007-02-12",32.790001
"29","2007-02-13",33.09
"30","2007-02-14",32.950001
"31","2007-02-15",32.540001
"32","2007-02-16",32.48
"33","2007-02-20",33.009998
"34","2007-02-21",32.98
"35","2007-02-22",32.990002
"36","2007-02-23",32.400002
"37","2007-02-26",32.419998
"38","2007-02-27",31.52
"39","2007-02-28",30.99
"40","2007-03-01",31.48
"41","2007-03-02",30.299999
"42","2007-03-05",30.049999
"43","2007-03-06",30.860001
"44","2007-03-07",30.639999
"45","2007-03-08",30.450001
"46","2007-03-09",30.98
"47","2007-03-12",30.610001
"48","2007-03-13",30.01
"49","2007-03-14",30.34
"50","2007-03-15",30.75
"51","2007-03-16",30.469999
"52","2007-03-19",30.799999
"53","2007-03-20",30.99
"54","2007-03-21",31.74
"55","2007-03-22",31.35
"56","2007-03-23",31.610001
"57","2007-03-26",31.49
"58","2007-03-27",30.799999
"59","2007-03-28",30.02
"60","2007-03-29",29.73
"61","2007-03-30",30.51
"62","2007-04-02",30.67
"63","2007-04-03",31.190001
"64","2007-04-04",31.01
"65","2007-04-05",31.030001
"66","2007-04-09",30.280001
"67","2007-04-10",29.84
"68","2007-04-11",29.969999
"69","2007-04-12",30.120001
"70","2007-04-13",30.120001
"71","2007-04-16",31.379999
"72","2007-04-17",31
"73","2007-04-18",30.049999
"74","2007-04-19",30.1
"75","2007-04-20",30.540001
"76","2007-04-23",30.280001
"77","2007-04-24",30.049999
"78","2007-04-25",29.879999
"79","2007-04-26",29.93
"80","2007-04-27",29.620001
"81","2007-04-30",29.27
"82","2007-05-01",29.620001
"83","2007-05-02",30.040001
"84","2007-05-03",29.92
"85","2007-05-04",29.940001
