"","date","TREB"
"1","2020-08-07",10.02
"2","2020-08-10",10.05
"3","2020-08-11",10.02
"4","2020-08-12",10.05
"5","2020-08-13",10.06
"6","2020-08-14",10.3
"7","2020-08-17",10.68
"8","2020-08-18",10.21
"9","2020-08-19",10.05
"10","2020-08-20",10
"11","2020-08-21",10
"12","2020-08-24",10
"13","2020-08-25",10.065
"14","2020-08-26",10.05
"15","2020-08-27",9.975
"16","2020-08-28",9.98
"17","2020-08-31",9.95
"18","2020-09-01",9.9
"19","2020-09-02",9.97
"20","2020-09-03",10.02
"21","2020-09-04",10.065
"22","2020-09-08",10.2
"23","2020-09-09",10.4
"24","2020-09-10",10.43
"25","2020-09-11",10.37
"26","2020-09-14",10.425
"27","2020-09-15",10.45
"28","2020-09-16",10.34
"29","2020-09-17",10.3
"30","2020-09-18",10.41
"31","2020-09-21",10.26
"32","2020-09-22",10.2
"33","2020-09-23",10.11
"34","2020-09-24",10.16
"35","2020-09-25",10.12
"36","2020-09-28",10.14
"37","2020-09-29",10.17
"38","2020-09-30",10.18
"39","2020-10-01",10.195
"40","2020-10-02",10.18
"41","2020-10-05",10.09
"42","2020-10-06",10.03
"43","2020-10-07",10
"44","2020-10-08",10.09
"45","2020-10-09",10.075
"46","2020-10-12",10.15
"47","2020-10-13",10
"48","2020-10-14",10
"49","2020-10-15",10.02
"50","2020-10-16",10.08
"51","2020-10-19",10
"52","2020-10-20",10.05
"53","2020-10-21",9.97
"54","2020-10-22",9.97
"55","2020-10-23",9.96
"56","2020-10-26",9.938
"57","2020-10-27",9.91
"58","2020-10-28",9.9
"59","2020-10-29",9.94
"60","2020-10-30",9.89
"61","2020-11-02",9.9
"62","2020-11-03",9.89
"63","2020-11-04",9.875
"64","2020-11-05",9.91
"65","2020-11-06",9.95
"66","2020-11-09",9.9
"67","2020-11-10",9.8
"68","2020-11-11",9.9
"69","2020-11-12",9.9
"70","2020-11-13",9.87
"71","2020-11-16",9.85
"72","2020-11-17",9.925
"73","2020-11-18",9.9
"74","2020-11-19",9.9
"75","2020-11-20",10.02
"76","2020-11-23",10.02
"77","2020-11-24",10.03
"78","2020-11-25",10.03
"79","2020-11-27",10.01
