"","date","CG"
"1","2012-05-03",22.049999
"2","2012-05-04",22.049999
"3","2012-05-07",22.01
"4","2012-05-08",22
"5","2012-05-09",21.75
"6","2012-05-10",21.719999
"7","2012-05-11",21.35
"8","2012-05-14",21.030001
"9","2012-05-15",21.120001
"10","2012-05-16",21.57
"11","2012-05-17",21.1
"12","2012-05-18",21.110001
"13","2012-05-21",21.049999
"14","2012-05-22",21
"15","2012-05-23",20.139999
"16","2012-05-24",20.389999
"17","2012-05-25",21.51
"18","2012-05-29",21.059999
"19","2012-05-30",21.209999
"20","2012-05-31",21.120001
"21","2012-06-01",21.02
"22","2012-06-04",20.959999
"23","2012-06-05",20.940001
"24","2012-06-06",21.379999
"25","2012-06-07",21.6
"26","2012-06-08",21.75
"27","2012-06-11",21.42
"28","2012-06-12",21.799999
"29","2012-06-13",21.879999
"30","2012-06-14",21.790001
"31","2012-06-15",21.940001
"32","2012-06-18",21.85
"33","2012-06-19",21.790001
"34","2012-06-20",21.879999
"35","2012-06-21",21.799999
"36","2012-06-22",21.85
"37","2012-06-25",21.9
"38","2012-06-26",21.610001
"39","2012-06-27",21.73
"40","2012-06-28",22.16
"41","2012-06-29",22.43
"42","2012-07-02",22.9
"43","2012-07-03",22.950001
"44","2012-07-05",23.08
"45","2012-07-06",23.129999
"46","2012-07-09",23.24
"47","2012-07-10",23.059999
"48","2012-07-11",23.18
"49","2012-07-12",22.73
"50","2012-07-13",23.08
"51","2012-07-16",23.110001
"52","2012-07-17",23.049999
"53","2012-07-18",22.93
"54","2012-07-19",23
"55","2012-07-20",23.42
"56","2012-07-23",22.92
"57","2012-07-24",23.370001
"58","2012-07-25",23.709999
"59","2012-07-26",24
"60","2012-07-27",24.15
"61","2012-07-30",24.209999
"62","2012-07-31",24.43
"63","2012-08-01",24.02
"64","2012-08-02",23.870001
"65","2012-08-03",24.370001
"66","2012-08-06",24.280001
"67","2012-08-07",24.469999
"68","2012-08-08",24.34
"69","2012-08-09",24.02
"70","2012-08-10",23.790001
"71","2012-08-13",24.98
"72","2012-08-14",24.93
"73","2012-08-15",24.9
"74","2012-08-16",24.99
"75","2012-08-17",25.049999
"76","2012-08-20",24.469999
"77","2012-08-21",25
"78","2012-08-22",24.99
"79","2012-08-23",25.1
"80","2012-08-24",25.110001
"81","2012-08-27",25.25
"82","2012-08-28",25.440001
"83","2012-08-29",25.790001
"84","2012-08-30",25.879999
"85","2012-08-31",26.219999
"86","2012-09-04",26.280001
"87","2012-09-05",26.34
"88","2012-09-06",26.200001
"89","2012-09-07",26.469999
"90","2012-09-10",26.469999
"91","2012-09-11",26.59
"92","2012-09-12",26.889999
"93","2012-09-13",26.719999
"94","2012-09-14",27.02
"95","2012-09-17",27.25
"96","2012-09-18",27.120001
"97","2012-09-19",26.82
"98","2012-09-20",26.51
"99","2012-09-21",26.42
"100","2012-09-24",26.17
"101","2012-09-25",25.84
"102","2012-09-26",25.690001
"103","2012-09-27",25.85
"104","2012-09-28",26.24
"105","2012-10-01",26.120001
"106","2012-10-02",25.639999
"107","2012-10-03",25.6
"108","2012-10-04",25.66
"109","2012-10-05",25.860001
