"","date","FORD"
"1","2007-01-03",4.31
"2","2007-01-04",4.34
"3","2007-01-05",4.35
"4","2007-01-08",4.37
"5","2007-01-09",4.73
"6","2007-01-10",4.56
"7","2007-01-11",4.54
"8","2007-01-12",4.49
"9","2007-01-16",4.57
"10","2007-01-17",4.46
"11","2007-01-18",4.34
"12","2007-01-19",4.36
"13","2007-01-22",4.34
"14","2007-01-23",4.23
"15","2007-01-24",4.32
"16","2007-01-25",4.25
"17","2007-01-26",4.25
"18","2007-01-29",4.24
"19","2007-01-30",4.2
"20","2007-01-31",4.26
"21","2007-02-01",4.23
"22","2007-02-02",4.2
"23","2007-02-05",4.26
"24","2007-02-06",4.39
"25","2007-02-07",4.33
"26","2007-02-08",4.52
"27","2007-02-09",4.31
"28","2007-02-12",4.36
"29","2007-02-13",4.29
"30","2007-02-14",4.37
"31","2007-02-15",4.44
"32","2007-02-16",4.47
"33","2007-02-20",4.56
"34","2007-02-21",4.56
"35","2007-02-22",4.51
"36","2007-02-23",4.45
"37","2007-02-26",4.43
"38","2007-02-27",4.28
"39","2007-02-28",4.26
"40","2007-03-01",4.26
"41","2007-03-02",4.36
"42","2007-03-05",4.24
"43","2007-03-06",4.21
"44","2007-03-07",4.27
"45","2007-03-08",4.27
"46","2007-03-09",4.24
"47","2007-03-12",4.23
"48","2007-03-13",4.26
"49","2007-03-14",4.24
"50","2007-03-15",4.27
"51","2007-03-16",4.23
"52","2007-03-19",4.2
"53","2007-03-20",4.23
"54","2007-03-21",4.31
"55","2007-03-22",4.22
"56","2007-03-23",4.18
"57","2007-03-26",4.21
"58","2007-03-27",4.2
"59","2007-03-28",4.2
"60","2007-03-29",4.18
"61","2007-03-30",4.16
"62","2007-04-02",4.15
"63","2007-04-03",4.12
"64","2007-04-04",4.08
"65","2007-04-05",4.16
"66","2007-04-09",4.2
"67","2007-04-10",4.18
"68","2007-04-11",4.18
"69","2007-04-12",4.2
"70","2007-04-13",4.23
"71","2007-04-16",4.2
"72","2007-04-17",4.14
"73","2007-04-18",4.21
"74","2007-04-19",4.14
"75","2007-04-20",4.17
"76","2007-04-23",4.1
"77","2007-04-24",4.14
"78","2007-04-25",4.11
"79","2007-04-26",4.1
"80","2007-04-27",4.07
"81","2007-04-30",4.08
"82","2007-05-01",4
"83","2007-05-02",3.41
"84","2007-05-03",3.45
"85","2007-05-04",3.49
"86","2007-05-07",3.41
"87","2007-05-08",3.42
"88","2007-05-09",3.44
"89","2007-05-10",3.44
"90","2007-05-11",3.48
"91","2007-05-14",3.41
"92","2007-05-15",3.37
"93","2007-05-16",3.43
"94","2007-05-17",3.39
"95","2007-05-18",3.42
"96","2007-05-21",3.4
"97","2007-05-22",3.36
"98","2007-05-23",3.29
"99","2007-05-24",3.3
"100","2007-05-25",3.32
"101","2007-05-29",3.31
"102","2007-05-30",3.31
"103","2007-05-31",3.29
"104","2007-06-01",3.3
"105","2007-06-04",3.29
"106","2007-06-05",3.29
"107","2007-06-06",3.28
"108","2007-06-07",3.24
"109","2007-06-08",3.62
"110","2007-06-11",3.5
"111","2007-06-12",3.32
"112","2007-06-13",3.32
"113","2007-06-14",3.35
"114","2007-06-15",3.44
"115","2007-06-18",3.45
"116","2007-06-19",3.38
"117","2007-06-20",3.45
"118","2007-06-21",3.37
"119","2007-06-22",3.37
"120","2007-06-25",3.4
"121","2007-06-26",3.35
"122","2007-06-27",3.37
"123","2007-06-28",3.35
"124","2007-06-29",3.32
"125","2007-07-02",3.35
"126","2007-07-03",3.27
"127","2007-07-05",3.3
"128","2007-07-06",3.36
"129","2007-07-09",3.29
"130","2007-07-10",3.27
"131","2007-07-11",3.34
"132","2007-07-12",3.35
"133","2007-07-13",3.3
"134","2007-07-16",3.27
"135","2007-07-17",3.33
"136","2007-07-18",3.3
"137","2007-07-19",3.3
"138","2007-07-20",3.27
"139","2007-07-23",3.31
"140","2007-07-24",3.27
"141","2007-07-25",3.32
"142","2007-07-26",3.28
"143","2007-07-27",3.25
"144","2007-07-30",3.16
"145","2007-07-31",3.21
"146","2007-08-01",3.2
"147","2007-08-02",2.82
"148","2007-08-03",2.85
"149","2007-08-06",2.77
"150","2007-08-07",2.96
"151","2007-08-08",2.85
"152","2007-08-09",2.82
"153","2007-08-10",2.85
"154","2007-08-13",2.84
"155","2007-08-14",2.82
"156","2007-08-15",2.8
"157","2007-08-16",2.76
"158","2007-08-17",2.81
"159","2007-08-20",2.81
"160","2007-08-21",2.93
"161","2007-08-22",2.8
"162","2007-08-23",2.83
"163","2007-08-24",2.73
"164","2007-08-27",2.74
"165","2007-08-28",2.72
"166","2007-08-29",2.73
"167","2007-08-30",2.75
"168","2007-08-31",2.75
"169","2007-09-04",2.76
"170","2007-09-05",2.76
"171","2007-09-06",2.76
"172","2007-09-07",2.74
"173","2007-09-10",2.76
"174","2007-09-11",2.77
"175","2007-09-12",2.79
"176","2007-09-13",2.73
"177","2007-09-14",2.76
"178","2007-09-17",2.75
"179","2007-09-18",2.76
"180","2007-09-19",2.77
"181","2007-09-20",2.85
"182","2007-09-21",2.91
"183","2007-09-24",2.88
"184","2007-09-25",2.79
"185","2007-09-26",2.83
"186","2007-09-27",2.83
"187","2007-09-28",3.08
"188","2007-10-01",2.99
"189","2007-10-02",3.17
"190","2007-10-03",3.21
"191","2007-10-04",3.17
"192","2007-10-05",3.17
"193","2007-10-08",3.18
"194","2007-10-09",3.13
"195","2007-10-10",3.1
"196","2007-10-11",2.9
"197","2007-10-12",2.92
"198","2007-10-15",2.95
"199","2007-10-16",3.01
"200","2007-10-17",2.91
"201","2007-10-18",2.95
"202","2007-10-19",2.89
"203","2007-10-22",2.9
"204","2007-10-23",2.89
"205","2007-10-24",2.89
"206","2007-10-25",2.86
"207","2007-10-26",2.87
"208","2007-10-29",2.81
"209","2007-10-30",2.79
"210","2007-10-31",2.77
"211","2007-11-01",2.69
"212","2007-11-02",2.75
"213","2007-11-05",2.7
"214","2007-11-06",2.78
"215","2007-11-07",2.68
"216","2007-11-08",2.79
"217","2007-11-09",2.74
"218","2007-11-12",2.64
"219","2007-11-13",2.55
"220","2007-11-14",2.77
"221","2007-11-15",2.77
"222","2007-11-16",2.71
"223","2007-11-19",2.68
"224","2007-11-20",2.54
"225","2007-11-21",2.55
"226","2007-11-23",2.63
"227","2007-11-26",2.58
"228","2007-11-27",2.52
"229","2007-11-28",2.51
"230","2007-11-29",2.43
"231","2007-11-30",2.42
"232","2007-12-03",2.43
"233","2007-12-04",2.33
"234","2007-12-05",2.33
"235","2007-12-06",2.36
"236","2007-12-07",2.38
"237","2007-12-10",2.39
"238","2007-12-11",2.38
"239","2007-12-12",2.31
"240","2007-12-13",2.34
"241","2007-12-14",2.31
"242","2007-12-17",2.31
"243","2007-12-18",2.33
"244","2007-12-19",2.27
"245","2007-12-20",2.27
"246","2007-12-21",2.28
"247","2007-12-24",2.27
"248","2007-12-26",2.28
"249","2007-12-27",2.31
"250","2007-12-28",2.41
"251","2007-12-31",2.37
"252","2008-01-02",2.37
"253","2008-01-03",2.33
"254","2008-01-04",2.31
"255","2008-01-07",2.3
"256","2008-01-08",2.24
"257","2008-01-09",2.26
