"","date","ONEM"
"1","2020-01-31",22.07
"2","2020-02-03",22.799999
"3","2020-02-04",23.790001
"4","2020-02-05",24.139999
"5","2020-02-06",25
"6","2020-02-07",26.690001
"7","2020-02-10",25.190001
"8","2020-02-11",24.709999
"9","2020-02-12",23.860001
"10","2020-02-13",20.690001
"11","2020-02-14",22.549999
"12","2020-02-18",23.040001
"13","2020-02-19",25
"14","2020-02-20",24.49
"15","2020-02-21",24
"16","2020-02-24",22.290001
"17","2020-02-25",23.639999
"18","2020-02-26",22.98
"19","2020-02-27",22.450001
"20","2020-02-28",21.620001
"21","2020-03-02",20.42
"22","2020-03-03",20.08
"23","2020-03-04",21.469999
"24","2020-03-05",23.950001
"25","2020-03-06",23.6
"26","2020-03-09",22.299999
"27","2020-03-10",25.639999
"28","2020-03-11",24.299999
"29","2020-03-12",19.1
"30","2020-03-13",21.299999
"31","2020-03-16",20.51
"32","2020-03-17",21.35
"33","2020-03-18",17.709999
"34","2020-03-19",16.51
"35","2020-03-20",19.49
"36","2020-03-23",20.120001
"37","2020-03-24",19.91
"38","2020-03-25",19.26
"39","2020-03-26",19.299999
"40","2020-03-27",17.540001
"41","2020-03-30",17.889999
"42","2020-03-31",18.15
"43","2020-04-01",17.93
"44","2020-04-02",17.92
"45","2020-04-03",18.59
"46","2020-04-06",20.139999
"47","2020-04-07",19.110001
"48","2020-04-08",18.440001
"49","2020-04-09",18.700001
"50","2020-04-13",18.23
"51","2020-04-14",20
"52","2020-04-15",20.549999
"53","2020-04-16",20.35
"54","2020-04-17",22.4
"55","2020-04-20",25.27
"56","2020-04-21",23.57
"57","2020-04-22",23.75
"58","2020-04-23",25.74
"59","2020-04-24",25.209999
"60","2020-04-27",24.59
"61","2020-04-28",25.43
"62","2020-04-29",25.99
"63","2020-04-30",24.67
"64","2020-05-01",23.33
"65","2020-05-04",24.18
"66","2020-05-05",25.059999
"67","2020-05-06",23.41
"68","2020-05-07",25.5
"69","2020-05-08",24.4
"70","2020-05-11",26.34
"71","2020-05-12",27.25
"72","2020-05-13",26.540001
"73","2020-05-14",29
"74","2020-05-15",32.09
"75","2020-05-18",33.009998
"76","2020-05-19",35.77
"77","2020-05-20",39.73
"78","2020-05-21",37.880001
"79","2020-05-22",38
"80","2020-05-26",34.18
"81","2020-05-27",31.23
"82","2020-05-28",31.1
"83","2020-05-29",32.299999
"84","2020-06-01",34.009998
"85","2020-06-02",34.09
"86","2020-06-03",33.330002
"87","2020-06-04",31.99
"88","2020-06-05",32.869999
"89","2020-06-08",31.690001
"90","2020-06-09",32.009998
"91","2020-06-10",33.419998
"92","2020-06-11",29.870001
"93","2020-06-12",29.51
"94","2020-06-15",31.66
"95","2020-06-16",32.549999
"96","2020-06-17",30.75
"97","2020-06-18",32.459999
"98","2020-06-19",35.759998
"99","2020-06-22",34.470001
"100","2020-06-23",32.389999
"101","2020-06-24",31.799999
"102","2020-06-25",31.99
"103","2020-06-26",31.9
"104","2020-06-29",32.73
"105","2020-06-30",36.32
"106","2020-07-01",37.119999
"107","2020-07-02",38.310001
"108","2020-07-06",37.529999
"109","2020-07-07",37.669998
"110","2020-07-08",38.509998
"111","2020-07-09",40.060001
"112","2020-07-10",41.599998
"113","2020-07-13",38.060001
"114","2020-07-14",37.75
"115","2020-07-15",40.549999
"116","2020-07-16",38.380001
"117","2020-07-17",38.84
"118","2020-07-20",38.869999
"119","2020-07-21",38.5
"120","2020-07-22",38.360001
"121","2020-07-23",36.630001
"122","2020-07-24",35.580002
"123","2020-07-27",35.220001
"124","2020-07-28",33.540001
"125","2020-07-29",30.559999
"126","2020-07-30",31.030001
"127","2020-07-31",29.610001
"128","2020-08-03",30.01
"129","2020-08-04",30.25
"130","2020-08-05",30.27
"131","2020-08-06",30.690001
"132","2020-08-07",30
"133","2020-08-10",29.5
"134","2020-08-11",28.549999
"135","2020-08-12",27.639999
"136","2020-08-13",30.139999
"137","2020-08-14",29.200001
"138","2020-08-17",29.07
"139","2020-08-18",28.99
"140","2020-08-19",29.67
"141","2020-08-20",29.65
"142","2020-08-21",29.389999
"143","2020-08-24",28.99
"144","2020-08-25",28.299999
"145","2020-08-26",28.51
"146","2020-08-27",29.17
"147","2020-08-28",29.139999
"148","2020-08-31",29.17
"149","2020-09-01",30.23
"150","2020-09-02",30.23
"151","2020-09-03",29.52
"152","2020-09-04",28.309999
"153","2020-09-08",28.1
"154","2020-09-09",29.030001
"155","2020-09-10",28.280001
"156","2020-09-11",27.57
"157","2020-09-14",28.58
"158","2020-09-15",28.620001
"159","2020-09-16",29.6
"160","2020-09-17",29.049999
"161","2020-09-18",28.1
"162","2020-09-21",27.219999
"163","2020-09-22",26.299999
"164","2020-09-23",26.360001
"165","2020-09-24",27.18
"166","2020-09-25",27.1
"167","2020-09-28",25.98
"168","2020-09-29",28.52
"169","2020-09-30",28.360001
"170","2020-10-01",29.540001
"171","2020-10-02",29
"172","2020-10-05",29.219999
"173","2020-10-06",28.870001
"174","2020-10-07",29.530001
"175","2020-10-08",29.950001
"176","2020-10-09",29.74
"177","2020-10-12",29.59
"178","2020-10-13",29.700001
"179","2020-10-14",30.639999
"180","2020-10-15",30.48
"181","2020-10-16",30.530001
"182","2020-10-19",30.52
"183","2020-10-20",31.1
"184","2020-10-21",31.59
"185","2020-10-22",31.959999
"186","2020-10-23",31.91
"187","2020-10-26",30.65
"188","2020-10-27",31.469999
"189","2020-10-28",29.24
"190","2020-10-29",28.969999
"191","2020-10-30",28.209999
"192","2020-11-02",28.379999
"193","2020-11-03",29.27
"194","2020-11-04",30.719999
"195","2020-11-05",31.24
"196","2020-11-06",31.48
"197","2020-11-09",32.360001
"198","2020-11-10",32.919998
"199","2020-11-11",34.98
"200","2020-11-12",36
"201","2020-11-13",34.799999
"202","2020-11-16",32.830002
"203","2020-11-17",33.349998
"204","2020-11-18",33.349998
"205","2020-11-19",33.75
"206","2020-11-20",35.439999
"207","2020-11-23",33.27
"208","2020-11-24",33.25
