"","date","BLW"
"1","2007-01-03",18.93
"2","2007-01-04",19.110001
"3","2007-01-05",19.040001
"4","2007-01-08",19.1
"5","2007-01-09",19.110001
"6","2007-01-10",19.059999
"7","2007-01-11",19.129999
"8","2007-01-12",19.23
"9","2007-01-16",19.27
"10","2007-01-17",19.309999
"11","2007-01-18",19.299999
"12","2007-01-19",19.25
"13","2007-01-22",19.290001
"14","2007-01-23",19.200001
"15","2007-01-24",19.280001
"16","2007-01-25",19.24
"17","2007-01-26",19.24
"18","2007-01-29",19.18
"19","2007-01-30",19.200001
"20","2007-01-31",19.190001
"21","2007-02-01",19.209999
"22","2007-02-02",19.209999
"23","2007-02-05",19.27
"24","2007-02-06",19.23
"25","2007-02-07",19.27
"26","2007-02-08",19.32
"27","2007-02-09",19.309999
"28","2007-02-12",19.32
"29","2007-02-13",19.200001
"30","2007-02-14",19.190001
"31","2007-02-15",19.16
"32","2007-02-16",19.25
"33","2007-02-20",19.280001
"34","2007-02-21",19.35
"35","2007-02-22",19.35
"36","2007-02-23",19.440001
"37","2007-02-26",19.450001
"38","2007-02-27",19.41
"39","2007-02-28",19.49
"40","2007-03-01",19.35
"41","2007-03-02",19.200001
"42","2007-03-05",19.049999
"43","2007-03-06",19.02
"44","2007-03-07",19.049999
"45","2007-03-08",19.15
"46","2007-03-09",19.16
"47","2007-03-12",19.25
"48","2007-03-13",19.059999
"49","2007-03-14",18.870001
"50","2007-03-15",19
"51","2007-03-16",19.02
"52","2007-03-19",19.059999
"53","2007-03-20",19.120001
"54","2007-03-21",19.16
"55","2007-03-22",19.18
"56","2007-03-23",19.190001
"57","2007-03-26",19.17
"58","2007-03-27",19.280001
"59","2007-03-28",19.299999
"60","2007-03-29",19.309999
"61","2007-03-30",19.4
"62","2007-04-02",19.48
"63","2007-04-03",19.6
"64","2007-04-04",19.620001
"65","2007-04-05",19.620001
"66","2007-04-09",19.75
"67","2007-04-10",19.799999
"68","2007-04-11",19.65
"69","2007-04-12",19.52
"70","2007-04-13",19.57
"71","2007-04-16",19.68
"72","2007-04-17",19.610001
"73","2007-04-18",19.52
"74","2007-04-19",19.559999
"75","2007-04-20",19.66
"76","2007-04-23",19.58
"77","2007-04-24",19.549999
"78","2007-04-25",19.52
"79","2007-04-26",19.58
"80","2007-04-27",19.66
"81","2007-04-30",19.57
"82","2007-05-01",19.559999
"83","2007-05-02",19.559999
"84","2007-05-03",19.6
"85","2007-05-04",19.559999
"86","2007-05-07",19.610001
"87","2007-05-08",19.58
"88","2007-05-09",19.620001
"89","2007-05-10",19.610001
"90","2007-05-11",19.459999
"91","2007-05-14",19.42
"92","2007-05-15",19.389999
"93","2007-05-16",19.469999
"94","2007-05-17",19.450001
"95","2007-05-18",19.4
"96","2007-05-21",19.360001
"97","2007-05-22",19.24
"98","2007-05-23",19.26
"99","2007-05-24",19.200001
"100","2007-05-25",19.280001
"101","2007-05-29",19.469999
"102","2007-05-30",19.389999
"103","2007-05-31",19.459999
"104","2007-06-01",19.379999
"105","2007-06-04",19.389999
