"","date","TTEK"
"1","2007-01-03",17.860001
"2","2007-01-04",17.82
"3","2007-01-05",17.4
"4","2007-01-08",17.68
"5","2007-01-09",17.82
"6","2007-01-10",17.790001
"7","2007-01-11",17.870001
"8","2007-01-12",17.83
"9","2007-01-16",17.559999
"10","2007-01-17",17.620001
"11","2007-01-18",17.27
"12","2007-01-19",17.219999
"13","2007-01-22",16.99
"14","2007-01-23",17.35
"15","2007-01-24",17.25
"16","2007-01-25",16.879999
"17","2007-01-26",17.129999
"18","2007-01-29",17.35
"19","2007-01-30",17.530001
"20","2007-01-31",17.98
"21","2007-02-01",17.76
"22","2007-02-02",17.709999
"23","2007-02-05",18.1
"24","2007-02-06",18.450001
"25","2007-02-07",18.4
"26","2007-02-08",18.33
"27","2007-02-09",17.950001
"28","2007-02-12",18.040001
"29","2007-02-13",18.209999
"30","2007-02-14",18
"31","2007-02-15",18.16
"32","2007-02-16",18.43
"33","2007-02-20",18.360001
"34","2007-02-21",18.18
"35","2007-02-22",18.35
"36","2007-02-23",18.34
"37","2007-02-26",18.200001
"38","2007-02-27",17.690001
"39","2007-02-28",17.83
"40","2007-03-01",17.74
"41","2007-03-02",17.379999
"42","2007-03-05",17.129999
"43","2007-03-06",17.360001
"44","2007-03-07",17.309999
"45","2007-03-08",17.1
"46","2007-03-09",17.059999
"47","2007-03-12",16.99
"48","2007-03-13",16.700001
"49","2007-03-14",16.85
"50","2007-03-15",17.02
"51","2007-03-16",17.07
"52","2007-03-19",17.299999
"53","2007-03-20",17.33
"54","2007-03-21",17.559999
"55","2007-03-22",17.77
"56","2007-03-23",17.74
"57","2007-03-26",17.66
"58","2007-03-27",17.280001
"59","2007-03-28",18.110001
"60","2007-03-29",19.23
"61","2007-03-30",19.059999
"62","2007-04-02",18.940001
"63","2007-04-03",19.15
"64","2007-04-04",18.780001
"65","2007-04-05",18.709999
"66","2007-04-09",18.719999
"67","2007-04-10",18.870001
"68","2007-04-11",19.049999
"69","2007-04-12",19.370001
"70","2007-04-13",19.58
"71","2007-04-16",20.1
"72","2007-04-17",20.6
"73","2007-04-18",20.57
"74","2007-04-19",20.65
"75","2007-04-20",21.280001
"76","2007-04-23",21.309999
"77","2007-04-24",21.35
"78","2007-04-25",21
"79","2007-04-26",21.08
"80","2007-04-27",21.059999
"81","2007-04-30",20.82
"82","2007-05-01",20.879999
"83","2007-05-02",21.25
"84","2007-05-03",19.99
"85","2007-05-04",20.540001
"86","2007-05-07",20.58
"87","2007-05-08",20.75
"88","2007-05-09",20.25
"89","2007-05-10",20.040001
"90","2007-05-11",20.299999
"91","2007-05-14",20.51
"92","2007-05-15",20.25
"93","2007-05-16",20.43
"94","2007-05-17",20.76
"95","2007-05-18",20.950001
"96","2007-05-21",21.75
"97","2007-05-22",22.59
"98","2007-05-23",21.5
"99","2007-05-24",21.450001
"100","2007-05-25",21.77
"101","2007-05-29",22.02
"102","2007-05-30",21.9
"103","2007-05-31",22.059999
"104","2007-06-01",23.01
"105","2007-06-04",22.58
"106","2007-06-05",22.43
"107","2007-06-06",22.17
"108","2007-06-07",21.76
"109","2007-06-08",22.1
"110","2007-06-11",22.139999
"111","2007-06-12",21.59
"112","2007-06-13",22.049999
"113","2007-06-14",22.16
"114","2007-06-15",22.4
"115","2007-06-18",22.780001
"116","2007-06-19",22.950001
"117","2007-06-20",22.33
"118","2007-06-21",22.059999
"119","2007-06-22",22.040001
"120","2007-06-25",21.65
"121","2007-06-26",21.5
"122","2007-06-27",21.190001
"123","2007-06-28",21.26
"124","2007-06-29",21.549999
"125","2007-07-02",22.24
"126","2007-07-03",22.41
"127","2007-07-05",22.73
"128","2007-07-06",22.540001
"129","2007-07-09",22.77
"130","2007-07-10",22.17
"131","2007-07-11",22.370001
"132","2007-07-12",23.01
"133","2007-07-13",23.43
"134","2007-07-16",22.66
"135","2007-07-17",22.809999
"136","2007-07-18",23.08
"137","2007-07-19",23.09
"138","2007-07-20",22.639999
"139","2007-07-23",22.690001
"140","2007-07-24",21.82
"141","2007-07-25",21.68
"142","2007-07-26",20.610001
"143","2007-07-27",21.059999
"144","2007-07-30",21.23
