"","date","TFFP"
"1","2019-10-25",5.07
"2","2019-10-28",5.04
"3","2019-10-29",5.01
"4","2019-10-30",5.01
"5","2019-10-31",5.01
"6","2019-11-01",5.25
"7","2019-11-04",5.141
"8","2019-11-05",5.24
"9","2019-11-06",5.25
"10","2019-11-07",5.27
"11","2019-11-08",5.4
"12","2019-11-11",5.1
"13","2019-11-12",5.24
"14","2019-11-13",5.07
"15","2019-11-14",5.1
"16","2019-11-15",5.06
"17","2019-11-18",5.01
"18","2019-11-19",5.01
"19","2019-11-20",5.1
"20","2019-11-21",5.14
"21","2019-11-22",5.14
"22","2019-11-25",5.08
"23","2019-11-26",5.1
"24","2019-11-27",5.14
"25","2019-11-29",5.26
"26","2019-12-02",5.26
"27","2019-12-03",5.15
"28","2019-12-04",5.13
"29","2019-12-05",5.25
"30","2019-12-06",5.17
"31","2019-12-09",5.15
"32","2019-12-10",5.13
"33","2019-12-11",5.08
"34","2019-12-12",5.08
"35","2019-12-13",5.14
"36","2019-12-16",5.11
"37","2019-12-17",5.12
"38","2019-12-18",5.07
"39","2019-12-19",5.13
"40","2019-12-20",4.71
"41","2019-12-23",5.11
"42","2019-12-24",5.13
"43","2019-12-26",5.17
"44","2019-12-27",5.18
"45","2019-12-30",5.17
"46","2019-12-31",5.35
"47","2020-01-02",5.35
"48","2020-01-03",5.2
"49","2020-01-06",5.15
"50","2020-01-07",5.17
"51","2020-01-08",5.09
"52","2020-01-09",5.26
"53","2020-01-10",5.15
"54","2020-01-13",5.24
"55","2020-01-14",5.24
"56","2020-01-15",5.289
"57","2020-01-16",5.25
"58","2020-01-17",5.2
"59","2020-01-21",5.12
"60","2020-01-22",5.15
"61","2020-01-23",5.18
"62","2020-01-24",5.072
"63","2020-01-27",5.02
"64","2020-01-28",5.36
"65","2020-01-29",5.2
"66","2020-01-30",5.219
"67","2020-01-31",5.25
"68","2020-02-03",5.15
"69","2020-02-04",5.063
"70","2020-02-05",5.065
"71","2020-02-06",5
"72","2020-02-07",5.055
"73","2020-02-10",5.058
"74","2020-02-11",5.071
"75","2020-02-12",5.02
"76","2020-02-13",5.061
"77","2020-02-14",5
"78","2020-02-18",5.08
"79","2020-02-19",4.97
"80","2020-02-20",5
"81","2020-02-21",5.02
"82","2020-02-24",4.87
"83","2020-02-25",4.975
"84","2020-02-26",4.86
"85","2020-02-27",4.85
"86","2020-02-28",4.87
"87","2020-03-02",4.8
"88","2020-03-03",4.75
"89","2020-03-04",4.99
"90","2020-03-05",4.88
"91","2020-03-06",4.85
"92","2020-03-09",4.31
"93","2020-03-10",4.04
"94","2020-03-11",4
"95","2020-03-12",4
"96","2020-03-13",4.01
"97","2020-03-16",3.8
"98","2020-03-17",3.8
"99","2020-03-18",3.72
"100","2020-03-19",3.88
"101","2020-03-20",4.34
"102","2020-03-23",4
"103","2020-03-24",4.2
"104","2020-03-25",4
"105","2020-03-26",3.51
"106","2020-03-27",3.6
"107","2020-03-30",3.533
"108","2020-03-31",3.84
"109","2020-04-01",3.79
"110","2020-04-02",3.88
"111","2020-04-03",4.2
"112","2020-04-06",4.595
"113","2020-04-07",4.51
"114","2020-04-08",4.98
"115","2020-04-09",4.85
"116","2020-04-13",4.7
"117","2020-04-14",4.642
"118","2020-04-15",5.05
"119","2020-04-16",4.6
"120","2020-04-17",4.51
"121","2020-04-20",4.59
"122","2020-04-21",4.32
"123","2020-04-22",4.64
"124","2020-04-23",4.79
"125","2020-04-24",4.77
"126","2020-04-27",4.89
"127","2020-04-28",4.9
"128","2020-04-29",4.97
"129","2020-04-30",5.11
"130","2020-05-01",5
"131","2020-05-04",4.84
"132","2020-05-05",4.86
"133","2020-05-06",4.8
"134","2020-05-07",4.92
"135","2020-05-08",4.8
"136","2020-05-11",4.77
"137","2020-05-12",4.73
"138","2020-05-13",4.51
"139","2020-05-14",4.7
"140","2020-05-15",4.99
"141","2020-05-18",5.21
"142","2020-05-19",4.89
"143","2020-05-20",4.79
"144","2020-05-21",4.87
"145","2020-05-22",4.86
"146","2020-05-26",4.88
"147","2020-05-27",5.12
"148","2020-05-28",5.15
"149","2020-05-29",5.33
"150","2020-06-01",5.8
"151","2020-06-02",5.79
"152","2020-06-03",5.64
"153","2020-06-04",5.42
"154","2020-06-05",5.46
"155","2020-06-08",5.25
"156","2020-06-09",5.35
"157","2020-06-10",5.39
"158","2020-06-11",5.27
"159","2020-06-12",5.25
"160","2020-06-15",5.33
"161","2020-06-16",5.37
"162","2020-06-17",6.08
"163","2020-06-18",6.02
"164","2020-06-19",5.68
"165","2020-06-22",5.76
"166","2020-06-23",5.74
"167","2020-06-24",5.65
"168","2020-06-25",5.9
"169","2020-06-26",5.73
"170","2020-06-29",5.7
"171","2020-06-30",5.76
"172","2020-07-01",5.86
"173","2020-07-02",6.19
"174","2020-07-06",6.4
"175","2020-07-07",6.22
"176","2020-07-08",6.2
"177","2020-07-09",6.185
"178","2020-07-10",6.44
"179","2020-07-13",6.69
"180","2020-07-14",6.45
"181","2020-07-15",6.75
"182","2020-07-16",6.5
"183","2020-07-17",6.8
"184","2020-07-20",6.46
"185","2020-07-21",6.4
"186","2020-07-22",7.09
"187","2020-07-23",7
"188","2020-07-24",6.74
"189","2020-07-27",6.74
"190","2020-07-28",7.61
"191","2020-07-29",8.08
"192","2020-07-30",9.04
"193","2020-07-31",9.09
"194","2020-08-03",9.06
"195","2020-08-04",8.53
"196","2020-08-05",8.72
"197","2020-08-06",8.7
"198","2020-08-07",9.15
"199","2020-08-10",9.78
"200","2020-08-11",9.19
"201","2020-08-12",9.46
"202","2020-08-13",10.28
"203","2020-08-14",11.55
"204","2020-08-17",14.06
"205","2020-08-18",13.28
"206","2020-08-19",13.95
"207","2020-08-20",13.69
"208","2020-08-21",13.86
"209","2020-08-24",13.47
"210","2020-08-25",12.98
"211","2020-08-26",13.57
"212","2020-08-27",15.34
"213","2020-08-28",16.02
"214","2020-08-31",15.14
"215","2020-09-01",14.95
"216","2020-09-02",13.83
"217","2020-09-03",12.66
"218","2020-09-04",12.66
"219","2020-09-08",12.92
"220","2020-09-09",13.38
"221","2020-09-10",13.66
"222","2020-09-11",13.98
"223","2020-09-14",14.54
"224","2020-09-15",14.97
"225","2020-09-16",15.27
"226","2020-09-17",15.58
"227","2020-09-18",16.51
"228","2020-09-21",16.84
"229","2020-09-22",17.190001
"230","2020-09-23",16.43
"231","2020-09-24",16.200001
"232","2020-09-25",17.530001
"233","2020-09-28",16.99
"234","2020-09-29",17.209999
"235","2020-09-30",18.469999
"236","2020-10-01",18.48
"237","2020-10-02",17.77
"238","2020-10-05",17.700001
"239","2020-10-06",17.860001
"240","2020-10-07",18
"241","2020-10-08",18.49
"242","2020-10-09",18.34
"243","2020-10-12",15.27
"244","2020-10-13",15.85
"245","2020-10-14",15.31
"246","2020-10-15",16.33
"247","2020-10-16",16.540001
"248","2020-10-19",15.02
"249","2020-10-20",14.45
"250","2020-10-21",14.75
"251","2020-10-22",15.19
"252","2020-10-23",15.2
"253","2020-10-26",14.38
"254","2020-10-27",14.28
"255","2020-10-28",13.37
"256","2020-10-29",13.5
"257","2020-10-30",12.74
"258","2020-11-02",13.57
"259","2020-11-03",14.06
"260","2020-11-04",14.7
"261","2020-11-05",14.5
"262","2020-11-06",15.97
"263","2020-11-09",15.89
"264","2020-11-10",14.56
"265","2020-11-11",15.9
"266","2020-11-12",17.200001
"267","2020-11-13",16.83
"268","2020-11-16",15.27
"269","2020-11-17",14.95
"270","2020-11-18",15.56
"271","2020-11-19",16.41
"272","2020-11-20",15.5
"273","2020-11-23",15.13
"274","2020-11-24",14.71
"275","2020-11-25",15.81
"276","2020-11-27",15.96
