"","date","NICE"
"1","2007-01-03",30.08
"2","2007-01-04",30.889999
"3","2007-01-05",31.110001
"4","2007-01-08",30.6
"5","2007-01-09",30.5
"6","2007-01-10",31.26
"7","2007-01-11",31.83
"8","2007-01-12",31.780001
"9","2007-01-16",31.77
"10","2007-01-17",31.459999
"11","2007-01-18",31.35
"12","2007-01-19",32.599998
"13","2007-01-22",32.490002
"14","2007-01-23",32.93
"15","2007-01-24",33.66
"16","2007-01-25",32.5
"17","2007-01-26",32.66
"18","2007-01-29",32
"19","2007-01-30",31.889999
"20","2007-01-31",31.66
"21","2007-02-01",31.790001
"22","2007-02-02",31.73
"23","2007-02-05",32.27
"24","2007-02-06",32.41
"25","2007-02-07",32.380001
"26","2007-02-08",32.779999
"27","2007-02-09",32.470001
"28","2007-02-12",32.139999
"29","2007-02-13",32.82
"30","2007-02-14",33.669998
"31","2007-02-15",33.299999
"32","2007-02-16",33.439999
"33","2007-02-20",33.66
"34","2007-02-21",35.91
"35","2007-02-22",35.43
"36","2007-02-23",35.830002
"37","2007-02-26",35.389999
"38","2007-02-27",34.119999
"39","2007-02-28",34.23
"40","2007-03-01",33.959999
"41","2007-03-02",33.509998
"42","2007-03-05",32.700001
"43","2007-03-06",33.509998
"44","2007-03-07",33.560001
"45","2007-03-08",34.490002
"46","2007-03-09",34.779999
"47","2007-03-12",35.279999
"48","2007-03-13",34.110001
"49","2007-03-14",33.959999
"50","2007-03-15",33.580002
"51","2007-03-16",33.849998
"52","2007-03-19",34.130001
"53","2007-03-20",34.200001
"54","2007-03-21",34.84
"55","2007-03-22",35.07
"56","2007-03-23",34.950001
"57","2007-03-26",35.169998
"58","2007-03-27",35.220001
"59","2007-03-28",35.150002
"60","2007-03-29",33.869999
"61","2007-03-30",34.02
"62","2007-04-02",34.02
"63","2007-04-03",34.580002
"64","2007-04-04",34.509998
"65","2007-04-05",34.599998
"66","2007-04-09",34.720001
"67","2007-04-10",36.130001
"68","2007-04-11",36.189999
"69","2007-04-12",35.369999
"70","2007-04-13",35.57
"71","2007-04-16",36.84
"72","2007-04-17",36.009998
"73","2007-04-18",36.990002
"74","2007-04-19",36.43
"75","2007-04-20",36.720001
"76","2007-04-23",36.380001
"77","2007-04-24",36.330002
"78","2007-04-25",37.650002
"79","2007-04-26",38.09
"80","2007-04-27",38.060001
"81","2007-04-30",36.650002
"82","2007-05-01",37.119999
"83","2007-05-02",37.18
"84","2007-05-03",38.919998
"85","2007-05-04",38.919998
"86","2007-05-07",39.68
"87","2007-05-08",39.540001
"88","2007-05-09",38.419998
"89","2007-05-10",37.349998
"90","2007-05-11",37.029999
"91","2007-05-14",36.240002
"92","2007-05-15",36.259998
"93","2007-05-16",36.389999
"94","2007-05-17",35.889999
"95","2007-05-18",36.02
"96","2007-05-21",37.099998
"97","2007-05-22",37.07
"98","2007-05-23",37.310001
"99","2007-05-24",37.290001
"100","2007-05-25",37.57
"101","2007-05-29",37.950001
"102","2007-05-30",38.25
"103","2007-05-31",37.889999
"104","2007-06-01",37.830002
"105","2007-06-04",37.68
"106","2007-06-05",37.970001
"107","2007-06-06",36.990002
"108","2007-06-07",36.43
"109","2007-06-08",36.810001
"110","2007-06-11",36.400002
"111","2007-06-12",35.700001
"112","2007-06-13",36.040001
"113","2007-06-14",36.41
"114","2007-06-15",36.709999
"115","2007-06-18",36.490002
"116","2007-06-19",36.119999
"117","2007-06-20",36.32
"118","2007-06-21",36.040001
"119","2007-06-22",35.950001
"120","2007-06-25",35.459999
"121","2007-06-26",35.16
"122","2007-06-27",35.43
"123","2007-06-28",35.400002
"124","2007-06-29",34.740002
"125","2007-07-02",35.459999
"126","2007-07-03",35.669998
"127","2007-07-05",35.889999
"128","2007-07-06",35.779999
"129","2007-07-09",34.799999
"130","2007-07-10",34.240002
"131","2007-07-11",34.389999
"132","2007-07-12",36.07
"133","2007-07-13",35.860001
"134","2007-07-16",35.580002
"135","2007-07-17",35.650002
"136","2007-07-18",35.259998
"137","2007-07-19",35.610001
"138","2007-07-20",35.529999
"139","2007-07-23",35.549999
"140","2007-07-24",35.259998
