"","date","APOP"
"1","2016-08-01",26.5
"2","2016-08-02",25.5
"3","2016-08-03",24.5
"4","2016-08-04",23.15
"5","2016-08-05",23.5
"6","2016-08-08",24.799999
"7","2016-08-09",26
"8","2016-08-10",25
"9","2016-08-11",25.200001
"10","2016-08-12",25.950001
"11","2016-08-15",24.950001
"12","2016-08-16",24.450001
"13","2016-08-17",24.049999
"14","2016-08-18",21.950001
"15","2016-08-19",22.950001
"16","2016-08-22",23.200001
"17","2016-08-23",23.950001
"18","2016-08-24",23.799999
"19","2016-08-25",23.700001
"20","2016-08-26",24.1
"21","2016-08-29",23.85
"22","2016-08-30",23.549999
"23","2016-08-31",22.35
"24","2016-09-01",22
"25","2016-09-02",22.15
"26","2016-09-06",22.950001
"27","2016-09-07",23.15
"28","2016-09-08",23.15
"29","2016-09-09",22.17
"30","2016-09-12",23.049999
"31","2016-09-13",23.049999
"32","2016-09-14",22.65
"33","2016-09-15",22.299999
"34","2016-09-16",22.6
"35","2016-09-19",23.799999
"36","2016-09-20",23.25
"37","2016-09-21",22.5
"38","2016-09-22",22.450001
"39","2016-09-23",22.65
"40","2016-09-26",22.200001
"41","2016-09-27",22.4
"42","2016-09-28",23.200001
"43","2016-09-29",22.700001
"44","2016-09-30",23
"45","2016-10-03",22.924999
"46","2016-10-04",23.15
"47","2016-10-05",22.85
"48","2016-10-06",22.700001
"49","2016-10-07",23.049999
"50","2016-10-10",22
"51","2016-10-11",22.049999
"52","2016-10-12",22
"53","2016-10-13",21.6
"54","2016-10-14",21.1
"55","2016-10-17",20.950001
"56","2016-10-18",21.15
"57","2016-10-19",20.5
"58","2016-10-20",19.25
"59","2016-10-21",19.309999
"60","2016-10-24",20.200001
"61","2016-10-25",20.799999
"62","2016-10-26",21.4
"63","2016-10-27",20.299999
"64","2016-10-28",21.5
"65","2016-10-31",20.955
"66","2016-11-01",20.75
"67","2016-11-02",20.549999
"68","2016-11-03",20.5
"69","2016-11-04",20.5
"70","2016-11-07",19.75
"71","2016-11-08",18.799999
"72","2016-11-09",17.799999
"73","2016-11-10",19
"74","2016-11-11",18.65
"75","2016-11-14",18.25
"76","2016-11-15",17.76
"77","2016-11-16",17.76
"78","2016-11-17",17.299999
"79","2016-11-18",17.799999
"80","2016-11-21",17.200001
"81","2016-11-22",16.950001
"82","2016-11-23",16.950001
"83","2016-11-25",16.905001
"84","2016-11-28",16.65
"85","2016-11-29",16.440001
"86","2016-11-30",16
"87","2016-12-01",14.23
"88","2016-12-02",14.75
"89","2016-12-05",14.1
"90","2016-12-06",13.65
"91","2016-12-07",13.35
"92","2016-12-08",14
"93","2016-12-09",14
"94","2016-12-12",14
"95","2016-12-13",14
"96","2016-12-14",14
"97","2016-12-15",14
"98","2016-12-16",14
"99","2016-12-19",13.65
"100","2016-12-20",13.65
"101","2016-12-21",13.3
"102","2016-12-22",13.3
"103","2016-12-23",13.465
"104","2016-12-27",14
"105","2016-12-28",15.4
"106","2016-12-29",15.2
"107","2016-12-30",15.45
"108","2017-01-03",15.34
"109","2017-01-04",16.4
"110","2017-01-05",17.25
"111","2017-01-06",16.25
"112","2017-01-09",16.74
"113","2017-01-10",17.629999
"114","2017-01-11",16.6
"115","2017-01-12",30.549999
"116","2017-01-13",21.75
"117","2017-01-17",18.049999
"118","2017-01-18",19.299999
"119","2017-01-19",18.799999
"120","2017-01-20",19.1
"121","2017-01-23",17.700001
"122","2017-01-24",16.9
"123","2017-01-25",16.799999
"124","2017-01-26",16.450001
"125","2017-01-27",15.9
"126","2017-01-30",15.695
"127","2017-01-31",15.485
"128","2017-02-01",17.25
"129","2017-02-02",20.1
"130","2017-02-03",18.700001
"131","2017-02-06",20.25
"132","2017-02-07",20.85
"133","2017-02-08",24.799999
"134","2017-02-09",24.950001
"135","2017-02-10",25.299999
"136","2017-02-13",25.75
"137","2017-02-14",30.6
"138","2017-02-15",30
"139","2017-02-16",29.15
"140","2017-02-17",29.15
"141","2017-02-21",33.599998
"142","2017-02-22",30.25
"143","2017-02-23",31.1
"144","2017-02-24",30.700001
"145","2017-02-27",31.25
"146","2017-02-28",32.950001
"147","2017-03-01",34.049999
"148","2017-03-02",34.25
"149","2017-03-03",33.700001
"150","2017-03-06",31.75
"151","2017-03-07",32.049999
"152","2017-03-08",32.549999
"153","2017-03-09",31.75
"154","2017-03-10",33.25
"155","2017-03-13",31.950001
"156","2017-03-14",31.299999
"157","2017-03-15",31.799999
"158","2017-03-16",31.15
"159","2017-03-17",31.75
"160","2017-03-20",31.200001
"161","2017-03-21",30.049999
"162","2017-03-22",29.700001
"163","2017-03-23",31.135
"164","2017-03-24",31.32
"165","2017-03-27",54.5
"166","2017-03-28",41.5
"167","2017-03-29",43.700001
"168","2017-03-30",44.900002
