"","date","KFFB"
"1","2007-01-03",10.24
"2","2007-01-04",10.15
"3","2007-01-05",10.17
"4","2007-01-08",10.15
"5","2007-01-09",10.16
"6","2007-01-10",10.15
"7","2007-01-11",10.15
"8","2007-01-12",10.27
"9","2007-01-16",10.27
"10","2007-01-17",10.31
"11","2007-01-18",10.3
"12","2007-01-19",10.15
"13","2007-01-22",10.15
"14","2007-01-23",10.2
"15","2007-01-24",10.15
"16","2007-01-25",10.15
"17","2007-01-26",10.15
"18","2007-01-29",10.45
"19","2007-01-30",10.17
"20","2007-01-31",10.2
"21","2007-02-01",10.2
"22","2007-02-02",10.16
"23","2007-02-05",10.28
"24","2007-02-06",10.28
"25","2007-02-07",10.29
"26","2007-02-08",10.3
"27","2007-02-09",10.29
"28","2007-02-12",10.2
"29","2007-02-13",10.17
"30","2007-02-14",10.29
"31","2007-02-15",10.29
"32","2007-02-16",10.29
"33","2007-02-20",10.25
"34","2007-02-21",10.2
"35","2007-02-22",10.25
"36","2007-02-23",10.25
"37","2007-02-26",10.2
"38","2007-02-27",10.2
"39","2007-02-28",10.22
"40","2007-03-01",10.25
"41","2007-03-02",10.21
"42","2007-03-05",10.2
"43","2007-03-06",10.06
"44","2007-03-07",10
"45","2007-03-08",10
"46","2007-03-09",10
"47","2007-03-12",10.01
"48","2007-03-13",10.05
"49","2007-03-14",10.05
"50","2007-03-15",10.05
"51","2007-03-16",10.05
"52","2007-03-19",10.19
"53","2007-03-20",10.19
"54","2007-03-21",10.05
"55","2007-03-22",10.13
"56","2007-03-23",10.05
"57","2007-03-26",10.16
"58","2007-03-27",10
"59","2007-03-28",10.08
"60","2007-03-29",10
"61","2007-03-30",10.1
"62","2007-04-02",10.23
"63","2007-04-03",10
"64","2007-04-04",10
"65","2007-04-05",9.75
"66","2007-04-09",10
"67","2007-04-10",9.91
"68","2007-04-11",9.84
"69","2007-04-12",10
"70","2007-04-13",9.86
"71","2007-04-16",10.04
"72","2007-04-17",10.02
"73","2007-04-18",10
"74","2007-04-19",9.9
"75","2007-04-20",9.9
"76","2007-04-23",9.9
"77","2007-04-24",10
"78","2007-04-25",10.05
"79","2007-04-26",10.05
"80","2007-04-27",10.11
"81","2007-04-30",10.15
"82","2007-05-01",10.14
"83","2007-05-02",10.01
"84","2007-05-03",10.01
"85","2007-05-04",10.14
"86","2007-05-07",10.03
"87","2007-05-08",10.03
"88","2007-05-09",10.02
"89","2007-05-10",10.08
"90","2007-05-11",10.1
"91","2007-05-14",10.01
"92","2007-05-15",10.01
"93","2007-05-16",10.1
"94","2007-05-17",10.1
"95","2007-05-18",10
"96","2007-05-21",10.06
"97","2007-05-22",10.2
"98","2007-05-23",10.02
"99","2007-05-24",10.05
"100","2007-05-25",10.1
"101","2007-05-29",10.1
"102","2007-05-30",10.1
"103","2007-05-31",10.17
"104","2007-06-01",10.1
"105","2007-06-04",10.02
"106","2007-06-05",10.02
"107","2007-06-06",10.02
"108","2007-06-07",10.02
"109","2007-06-08",10.1
"110","2007-06-11",10.06
"111","2007-06-12",10.19
"112","2007-06-13",10.22
"113","2007-06-14",10.19
"114","2007-06-15",10.1
"115","2007-06-18",10.1
"116","2007-06-19",10.1
"117","2007-06-20",10.07
"118","2007-06-21",10.01
"119","2007-06-22",10.1
"120","2007-06-25",10.1
"121","2007-06-26",10.06
"122","2007-06-27",10.06
"123","2007-06-28",10.11
"124","2007-06-29",10.15
"125","2007-07-02",10.2
"126","2007-07-03",10.2
"127","2007-07-05",10.07
"128","2007-07-06",10.05
"129","2007-07-09",10.05
"130","2007-07-10",10.23
"131","2007-07-11",10.11
"132","2007-07-12",10.1
"133","2007-07-13",10.1
"134","2007-07-16",10.25
"135","2007-07-17",10.34
"136","2007-07-18",10.34
"137","2007-07-19",10.11
"138","2007-07-20",10.07
"139","2007-07-23",10.07
"140","2007-07-24",10.07
"141","2007-07-25",10.07
"142","2007-07-26",10.18
"143","2007-07-27",10.07
"144","2007-07-30",10.1
"145","2007-07-31",10.05
"146","2007-08-01",10.05
"147","2007-08-02",10.05
"148","2007-08-03",10
"149","2007-08-06",9.9
"150","2007-08-07",9.85
"151","2007-08-08",9.8
"152","2007-08-09",9.8
"153","2007-08-10",10
"154","2007-08-13",9.85
"155","2007-08-14",9.83
"156","2007-08-15",9.52
"157","2007-08-16",9.5
"158","2007-08-17",9.6
"159","2007-08-20",9.65
"160","2007-08-21",9.89
"161","2007-08-22",9.9
"162","2007-08-23",9.89
"163","2007-08-24",10
"164","2007-08-27",10
"165","2007-08-28",9.91
"166","2007-08-29",9.89
"167","2007-08-30",9.89
"168","2007-08-31",9.89
"169","2007-09-04",10
"170","2007-09-05",10.2
"171","2007-09-06",10.15
"172","2007-09-07",10.01
"173","2007-09-10",10.08
"174","2007-09-11",10.05
"175","2007-09-12",10.1
"176","2007-09-13",10.1
"177","2007-09-14",10.14
"178","2007-09-17",10.1
