"","date","MXL"
"1","2010-03-24",18.700001
"2","2010-03-25",18.040001
"3","2010-03-26",18.620001
"4","2010-03-29",18.700001
"5","2010-03-30",18.25
"6","2010-03-31",17.780001
"7","2010-04-01",17.690001
"8","2010-04-05",17.120001
"9","2010-04-06",17.15
"10","2010-04-07",17.18
"11","2010-04-08",17
"12","2010-04-09",17.23
"13","2010-04-12",17.120001
"14","2010-04-13",16.91
"15","2010-04-14",17.610001
"16","2010-04-15",18.18
"17","2010-04-16",17.99
"18","2010-04-19",17.549999
"19","2010-04-20",17.91
"20","2010-04-21",17.370001
"21","2010-04-22",17.09
"22","2010-04-23",17.1
"23","2010-04-26",17.5
"24","2010-04-27",17.190001
"25","2010-04-28",17.059999
"26","2010-04-29",16.98
"27","2010-04-30",16.9
"28","2010-05-03",17.33
"29","2010-05-04",17.360001
"30","2010-05-05",17.17
"31","2010-05-06",15.75
"32","2010-05-07",15.31
"33","2010-05-10",16.58
"34","2010-05-11",16.32
"35","2010-05-12",15.57
"36","2010-05-13",16.1
"37","2010-05-14",15.73
"38","2010-05-17",16.530001
"39","2010-05-18",16
"40","2010-05-19",16.35
"41","2010-05-20",15.48
"42","2010-05-21",15.4
"43","2010-05-24",15.41
"44","2010-05-25",14.89
"45","2010-05-26",14.96
"46","2010-05-27",15.61
"47","2010-05-28",15.98
"48","2010-06-01",15.59
"49","2010-06-02",15.5
"50","2010-06-03",15.96
"51","2010-06-04",15
"52","2010-06-07",14.65
"53","2010-06-08",13.69
"54","2010-06-09",14
"55","2010-06-10",14.2
"56","2010-06-11",15.04
"57","2010-06-14",14.41
"58","2010-06-15",14.74
"59","2010-06-16",15.86
"60","2010-06-17",16.1
"61","2010-06-18",15.76
"62","2010-06-21",15.49
"63","2010-06-22",15.27
"64","2010-06-23",15.88
"65","2010-06-24",15.72
"66","2010-06-25",15.18
"67","2010-06-28",15.36
"68","2010-06-29",14.4
"69","2010-06-30",13.98
"70","2010-07-01",13.28
"71","2010-07-02",13.2
"72","2010-07-06",13.26
"73","2010-07-07",13.57
"74","2010-07-08",13.6
"75","2010-07-09",14.36
"76","2010-07-12",14.16
"77","2010-07-13",14.25
"78","2010-07-14",13.9
"79","2010-07-15",13.44
"80","2010-07-16",12.86
"81","2010-07-19",13.38
"82","2010-07-20",13.25
"83","2010-07-21",13.36
"84","2010-07-22",13.6
"85","2010-07-23",13.63
"86","2010-07-26",13.7
"87","2010-07-27",13.63
"88","2010-07-28",13.63
"89","2010-07-29",12.37
"90","2010-07-30",12.51
"91","2010-08-02",12.35
"92","2010-08-03",11.83
"93","2010-08-04",11.79
"94","2010-08-05",11.48
"95","2010-08-06",11
"96","2010-08-09",10.82
"97","2010-08-10",10.24
"98","2010-08-11",9.93
"99","2010-08-12",9.79
"100","2010-08-13",9.75
"101","2010-08-16",10.28
"102","2010-08-17",10.27
"103","2010-08-18",10.2
"104","2010-08-19",9.78
"105","2010-08-20",10.21
"106","2010-08-23",10.87
"107","2010-08-24",10.33
"108","2010-08-25",10.62
"109","2010-08-26",10.4
"110","2010-08-27",12.14
"111","2010-08-30",11.38
"112","2010-08-31",11.4
"113","2010-09-01",11.74
"114","2010-09-02",11.45
"115","2010-09-03",11.5
"116","2010-09-07",11.29
"117","2010-09-08",11.3
"118","2010-09-09",11.3
"119","2010-09-10",11.54
"120","2010-09-13",11.93
"121","2010-09-14",12.12
"122","2010-09-15",12.6
"123","2010-09-16",12.77
"124","2010-09-17",12.42
"125","2010-09-20",12.31
"126","2010-09-21",11.66
"127","2010-09-22",11.3
"128","2010-09-23",10.95
"129","2010-09-24",11.26
"130","2010-09-27",11.16
"131","2010-09-28",11.24
"132","2010-09-29",11.53
"133","2010-09-30",11.22
"134","2010-10-01",11.2
"135","2010-10-04",11.36
"136","2010-10-05",10.03
"137","2010-10-06",9.8
"138","2010-10-07",9.92
"139","2010-10-08",9.99
"140","2010-10-11",9.83
"141","2010-10-12",9.88
"142","2010-10-13",10
"143","2010-10-14",9.99
"144","2010-10-15",9.97
"145","2010-10-18",10
"146","2010-10-19",10.01
"147","2010-10-20",9.93
"148","2010-10-21",10.19
"149","2010-10-22",10.26
"150","2010-10-25",10.22
"151","2010-10-26",10.25
"152","2010-10-27",10.25
"153","2010-10-28",10.5
"154","2010-10-29",10.44
"155","2010-11-01",10.06
"156","2010-11-02",10
"157","2010-11-03",10.85
"158","2010-11-04",10.75
"159","2010-11-05",10.54
"160","2010-11-08",10.14
"161","2010-11-09",10.07
"162","2010-11-10",10.11
"163","2010-11-11",10.4
"164","2010-11-12",10.41
"165","2010-11-15",10.45
"166","2010-11-16",10.1
"167","2010-11-17",10.1
"168","2010-11-18",10.14
"169","2010-11-19",10.22
"170","2010-11-22",10.36
"171","2010-11-23",10.23
"172","2010-11-24",10.37
"173","2010-11-26",10.39
"174","2010-11-29",10.5
"175","2010-11-30",10.74
"176","2010-12-01",10.89
"177","2010-12-02",10.99
"178","2010-12-03",11.06
"179","2010-12-06",10.61
"180","2010-12-07",11.08
"181","2010-12-08",10.85
"182","2010-12-09",10.83
"183","2010-12-10",10.82
"184","2010-12-13",10.77
"185","2010-12-14",10.69
"186","2010-12-15",10.5
"187","2010-12-16",10.59
"188","2010-12-17",10.46
"189","2010-12-20",10.39
"190","2010-12-21",10.26
"191","2010-12-22",10.25
"192","2010-12-23",10.04
"193","2010-12-27",10.35
