"","date","TEN"
"1","2007-01-03",24.780001
"2","2007-01-04",24.540001
"3","2007-01-05",24.24
"4","2007-01-08",24.610001
"5","2007-01-09",25.120001
"6","2007-01-10",25.440001
"7","2007-01-11",26.35
"8","2007-01-12",26.969999
"9","2007-01-16",26.549999
"10","2007-01-17",26.49
"11","2007-01-18",26.18
"12","2007-01-19",26.209999
"13","2007-01-22",25.950001
"14","2007-01-23",25.969999
"15","2007-01-24",26.57
"16","2007-01-25",26.309999
"17","2007-01-26",26.24
"18","2007-01-29",26.52
"19","2007-01-30",23.620001
"20","2007-01-31",23.25
"21","2007-02-01",23.84
"22","2007-02-02",24.26
"23","2007-02-05",24.74
"24","2007-02-06",25.030001
"25","2007-02-07",24.790001
"26","2007-02-08",24.77
"27","2007-02-09",24.68
"28","2007-02-12",25.08
"29","2007-02-13",25.209999
"30","2007-02-14",25.33
"31","2007-02-15",25.549999
"32","2007-02-16",25.66
"33","2007-02-20",25.48
"34","2007-02-21",25.43
"35","2007-02-22",25.299999
"36","2007-02-23",25.129999
"37","2007-02-26",24.860001
"38","2007-02-27",24.040001
"39","2007-02-28",24.299999
"40","2007-03-01",24.35
"41","2007-03-02",23.860001
"42","2007-03-05",23.709999
"43","2007-03-06",24.110001
"44","2007-03-07",23.959999
"45","2007-03-08",24.32
"46","2007-03-09",24.469999
"47","2007-03-12",24.790001
"48","2007-03-13",24.030001
"49","2007-03-14",24.17
"50","2007-03-15",24.57
"51","2007-03-16",24.450001
"52","2007-03-19",24.969999
"53","2007-03-20",25.33
"54","2007-03-21",25.84
"55","2007-03-22",25.9
"56","2007-03-23",25.57
"57","2007-03-26",26.200001
"58","2007-03-27",25.6
"59","2007-03-28",25.77
"60","2007-03-29",25.66
"61","2007-03-30",25.459999
"62","2007-04-02",25.83
"63","2007-04-03",27
"64","2007-04-04",27.290001
"65","2007-04-05",27.219999
"66","2007-04-09",27.23
"67","2007-04-10",26.959999
"68","2007-04-11",26.620001
"69","2007-04-12",28.1
"70","2007-04-13",29.18
"71","2007-04-16",29.709999
"72","2007-04-17",29.620001
"73","2007-04-18",29.08
"74","2007-04-19",29.15
"75","2007-04-20",29.25
"76","2007-04-23",28.93
"77","2007-04-24",28.790001
"78","2007-04-25",29.18
"79","2007-04-26",31.309999
"80","2007-04-27",31
"81","2007-04-30",29.950001
"82","2007-05-01",29.620001
"83","2007-05-02",29.85
