"","date","BRX"
"1","2013-10-30",20.4
"2","2013-10-31",20.65
"3","2013-11-01",20.780001
"4","2013-11-04",20.940001
"5","2013-11-05",20.610001
"6","2013-11-06",20.35
"7","2013-11-07",19.84
"8","2013-11-08",19.75
"9","2013-11-11",19.879999
"10","2013-11-12",19.66
"11","2013-11-13",20.02
"12","2013-11-14",20.200001
"13","2013-11-15",20.280001
"14","2013-11-18",20.309999
"15","2013-11-19",20.27
"16","2013-11-20",20.17
"17","2013-11-21",20.08
"18","2013-11-22",20.1
"19","2013-11-25",20.040001
"20","2013-11-26",20
"21","2013-11-27",20.139999
"22","2013-11-29",20.18
"23","2013-12-02",20
"24","2013-12-03",19.93
"25","2013-12-04",20.049999
"26","2013-12-05",20.09
"27","2013-12-06",20.190001
"28","2013-12-09",20.129999
"29","2013-12-10",20.18
"30","2013-12-11",20
"31","2013-12-12",19.9
"32","2013-12-13",20.09
"33","2013-12-16",20.01
"34","2013-12-17",20.09
"35","2013-12-18",20.15
"36","2013-12-19",20.1
"37","2013-12-20",20.200001
"38","2013-12-23",20.190001
"39","2013-12-24",20.190001
"40","2013-12-26",20.24
"41","2013-12-27",20.4
"42","2013-12-30",20.459999
"43","2013-12-31",20.33
"44","2014-01-02",20.18
"45","2014-01-03",20.25
"46","2014-01-06",20.200001
"47","2014-01-07",20.25
"48","2014-01-08",20.33
"49","2014-01-09",20.43
"50","2014-01-10",20.549999
"51","2014-01-13",20.280001
"52","2014-01-14",20.129999
"53","2014-01-15",20.309999
"54","2014-01-16",20.26
"55","2014-01-17",20.52
"56","2014-01-21",20.540001
"57","2014-01-22",20.74
"58","2014-01-23",21.040001
"59","2014-01-24",20.76
"60","2014-01-27",20.68
"61","2014-01-28",20.33
"62","2014-01-29",20.290001
"63","2014-01-30",20.559999
"64","2014-01-31",20.68
"65","2014-02-03",20.309999
"66","2014-02-04",20.549999
"67","2014-02-05",20.48
"68","2014-02-06",20.66
"69","2014-02-07",20.76
"70","2014-02-10",20.940001
"71","2014-02-11",20.98
"72","2014-02-12",20.84
"73","2014-02-13",20.77
"74","2014-02-14",20.98
"75","2014-02-18",21.049999
"76","2014-02-19",21.26
"77","2014-02-20",21.25
"78","2014-02-21",21.309999
"79","2014-02-24",21.309999
"80","2014-02-25",21.469999
"81","2014-02-26",21.75
"82","2014-02-27",22.08
"83","2014-02-28",22.08
"84","2014-03-03",21.959999
"85","2014-03-04",22.049999
"86","2014-03-05",21.799999
"87","2014-03-06",21.67
"88","2014-03-07",21.66
"89","2014-03-10",21.780001
"90","2014-03-11",21.459999
"91","2014-03-12",21.280001
"92","2014-03-13",21.700001
"93","2014-03-14",21.879999
"94","2014-03-17",21.82
"95","2014-03-18",21.48
"96","2014-03-19",21.17
"97","2014-03-20",21.15
"98","2014-03-21",21.35
"99","2014-03-24",21.299999
"100","2014-03-25",21.35
"101","2014-03-26",21.290001
"102","2014-03-27",21.18
"103","2014-03-28",21.25
"104","2014-03-31",21.33
"105","2014-04-01",21.040001
"106","2014-04-02",21.299999
"107","2014-04-03",21.33
"108","2014-04-04",21.450001
"109","2014-04-07",21.459999
"110","2014-04-08",21.719999
"111","2014-04-09",21.32
"112","2014-04-10",21.09
"113","2014-04-11",20.950001
"114","2014-04-14",21.08
"115","2014-04-15",21.459999
"116","2014-04-16",21.4
"117","2014-04-17",21.299999
"118","2014-04-21",21.25
"119","2014-04-22",21.34
"120","2014-04-23",21.290001
"121","2014-04-24",21.5
"122","2014-04-25",21.290001
"123","2014-04-28",21.700001
"124","2014-04-29",21.549999
"125","2014-04-30",21.959999
"126","2014-05-01",21.83
"127","2014-05-02",22.040001
"128","2014-05-05",22.26
"129","2014-05-06",22.4
"130","2014-05-07",22.639999
"131","2014-05-08",22.85
"132","2014-05-09",22.83
"133","2014-05-12",22.84
"134","2014-05-13",22.5
"135","2014-05-14",22.73
"136","2014-05-15",22.4
"137","2014-05-16",22.58
"138","2014-05-19",22.360001
"139","2014-05-20",22.27
"140","2014-05-21",22.24
"141","2014-05-22",22.290001
"142","2014-05-23",22.35
"143","2014-05-27",22.610001
"144","2014-05-28",21.780001
"145","2014-05-29",21.68
"146","2014-05-30",21.75
"147","2014-06-02",21.98
"148","2014-06-03",22.08
"149","2014-06-04",22.01
"150","2014-06-05",22.25
"151","2014-06-06",22.190001
"152","2014-06-09",21.879999
"153","2014-06-10",21.73
"154","2014-06-11",21.66
"155","2014-06-12",21.6
"156","2014-06-13",21.6
"157","2014-06-16",21.540001
"158","2014-06-17",21.5
"159","2014-06-18",21.75
"160","2014-06-19",22.120001
"161","2014-06-20",22.34
"162","2014-06-23",22.32
"163","2014-06-24",22.59
"164","2014-06-25",22.790001
"165","2014-06-26",23
"166","2014-06-27",23.040001
"167","2014-06-30",22.950001
"168","2014-07-01",22.969999
"169","2014-07-02",23.110001
"170","2014-07-03",23.200001
"171","2014-07-07",23.360001
"172","2014-07-08",23.389999
"173","2014-07-09",23.219999
"174","2014-07-10",23.139999
"175","2014-07-11",23.309999
"176","2014-07-14",23.360001
"177","2014-07-15",23.469999
"178","2014-07-16",23.48
"179","2014-07-17",23.42
"180","2014-07-18",23.559999
"181","2014-07-21",23.52
"182","2014-07-22",23.559999
"183","2014-07-23",23.700001
