"","date","GFED"
"1","2007-01-03",28.43
"2","2007-01-04",28.99
"3","2007-01-05",29
"4","2007-01-08",28.52
"5","2007-01-09",28.51
"6","2007-01-10",28.51
"7","2007-01-11",28.51
"8","2007-01-12",28.51
"9","2007-01-16",28.950001
"10","2007-01-17",29.049999
"11","2007-01-18",29
"12","2007-01-19",28.940001
"13","2007-01-22",29.34
"14","2007-01-23",29.440001
"15","2007-01-24",29.309999
"16","2007-01-25",29.1
"17","2007-01-26",29.1
"18","2007-01-29",29.110001
"19","2007-01-30",28.82
"20","2007-01-31",28.799999
"21","2007-02-01",29.200001
"22","2007-02-02",29.200001
"23","2007-02-05",29.200001
"24","2007-02-06",29.200001
"25","2007-02-07",28.9
"26","2007-02-08",29.09
"27","2007-02-09",29.540001
"28","2007-02-12",29.700001
"29","2007-02-13",29.700001
"30","2007-02-14",29.139999
"31","2007-02-15",29.75
"32","2007-02-16",29.75
"33","2007-02-20",29.85
"34","2007-02-21",29.23
"35","2007-02-22",29.23
"36","2007-02-23",29.27
"37","2007-02-26",29.280001
"38","2007-02-27",29.690001
"39","2007-02-28",29.41
"40","2007-03-01",29.25
"41","2007-03-02",29.25
"42","2007-03-05",29.280001
"43","2007-03-06",29.299999
"44","2007-03-07",29.299999
"45","2007-03-08",29.299999
"46","2007-03-09",29.08
"47","2007-03-12",29.08
"48","2007-03-13",29.219999
"49","2007-03-14",29.290001
"50","2007-03-15",29.33
"51","2007-03-16",29.33
"52","2007-03-19",29.33
"53","2007-03-20",29.219999
"54","2007-03-21",29.18
"55","2007-03-22",29.18
"56","2007-03-23",29.02
"57","2007-03-26",29
"58","2007-03-27",29
"59","2007-03-28",29.23
"60","2007-03-29",29.23
"61","2007-03-30",29.23
"62","2007-04-02",29.5
"63","2007-04-03",29.040001
"64","2007-04-04",29
"65","2007-04-05",29.24
"66","2007-04-09",28.75
"67","2007-04-10",29.24
"68","2007-04-11",29.24
"69","2007-04-12",29.25
"70","2007-04-13",29.25
"71","2007-04-16",29.25
"72","2007-04-17",29.23
"73","2007-04-18",29.9
"74","2007-04-19",29.5
"75","2007-04-20",29.51
"76","2007-04-23",29.51
"77","2007-04-24",29.5
"78","2007-04-25",29.950001
"79","2007-04-26",29.99
"80","2007-04-27",29.99
"81","2007-04-30",30.08
"82","2007-05-01",30.030001
"83","2007-05-02",30
"84","2007-05-03",30
"85","2007-05-04",30
"86","2007-05-07",30.15
"87","2007-05-08",30.139999
"88","2007-05-09",30.030001
"89","2007-05-10",30
"90","2007-05-11",29.950001
"91","2007-05-14",30
"92","2007-05-15",30
"93","2007-05-16",30
"94","2007-05-17",30.17
"95","2007-05-18",30.059999
"96","2007-05-21",30
"97","2007-05-22",30
"98","2007-05-23",29.969999
"99","2007-05-24",29.91
"100","2007-05-25",29.75
"101","2007-05-29",29.76
"102","2007-05-30",30
"103","2007-05-31",30.09
"104","2007-06-01",30.07
"105","2007-06-04",30.07
"106","2007-06-05",30.01
"107","2007-06-06",30.01
"108","2007-06-07",30.01
"109","2007-06-08",30.01
"110","2007-06-11",30.01
"111","2007-06-12",30.030001
"112","2007-06-13",30.049999
"113","2007-06-14",30.049999
"114","2007-06-15",30
"115","2007-06-18",30.200001
"116","2007-06-19",30.200001
"117","2007-06-20",30.209999
"118","2007-06-21",30.209999
"119","2007-06-22",30
"120","2007-06-25",30.15
"121","2007-06-26",30.15
"122","2007-06-27",30.15
"123","2007-06-28",30.15
"124","2007-06-29",30.190001
"125","2007-07-02",30.190001
"126","2007-07-03",30.08
"127","2007-07-05",30.040001
"128","2007-07-06",30.049999
"129","2007-07-09",30.049999
"130","2007-07-10",30
"131","2007-07-11",30
"132","2007-07-12",29.85
"133","2007-07-13",30.1
"134","2007-07-16",30.1
"135","2007-07-17",29.9
"136","2007-07-18",29.799999
"137","2007-07-19",29.75
"138","2007-07-20",29.75
"139","2007-07-23",29.74
"140","2007-07-24",29.65
"141","2007-07-25",29.290001
"142","2007-07-26",29.5
"143","2007-07-27",29.549999
"144","2007-07-30",29.690001
"145","2007-07-31",29.540001
"146","2007-08-01",29.559999
"147","2007-08-02",29.559999
"148","2007-08-03",29.709999
"149","2007-08-06",29.1
"150","2007-08-07",29.51
"151","2007-08-08",29.299999
"152","2007-08-09",29.309999
"153","2007-08-10",29.75
"154","2007-08-13",29.73
