"","date","QNST"
"1","2010-02-11",15
"2","2010-02-12",14.55
"3","2010-02-16",14.63
"4","2010-02-17",14.59
"5","2010-02-18",14.51
"6","2010-02-19",13.9
"7","2010-02-22",13.6
"8","2010-02-23",12.98
"9","2010-02-24",13.57
"10","2010-02-25",14.29
"11","2010-02-26",14.6
"12","2010-03-01",14.69
"13","2010-03-02",14.46
"14","2010-03-03",14.24
"15","2010-03-04",14.56
"16","2010-03-05",15.23
"17","2010-03-08",15.39
"18","2010-03-09",15.06
"19","2010-03-10",15.4
"20","2010-03-11",15.56
"21","2010-03-12",15.51
"22","2010-03-15",14.96
"23","2010-03-16",15.95
"24","2010-03-17",17.25
"25","2010-03-18",16.620001
"26","2010-03-19",16.559999
"27","2010-03-22",16.76
"28","2010-03-23",16.67
"29","2010-03-24",16.299999
"30","2010-03-25",16.049999
"31","2010-03-26",16.41
"32","2010-03-29",16.92
"33","2010-03-30",16.889999
"34","2010-03-31",17.01
"35","2010-04-01",16.690001
"36","2010-04-05",17.450001
"37","2010-04-06",17.799999
"38","2010-04-07",17.440001
"39","2010-04-08",17.09
"40","2010-04-09",16.459999
"41","2010-04-12",16.219999
"42","2010-04-13",16.139999
"43","2010-04-14",16.459999
"44","2010-04-15",16.879999
"45","2010-04-16",16.67
"46","2010-04-19",16.139999
"47","2010-04-20",16.02
"48","2010-04-21",15.69
"49","2010-04-22",16.1
"50","2010-04-23",16.610001
"51","2010-04-26",16.33
"52","2010-04-27",16
"53","2010-04-28",16.440001
"54","2010-04-29",16.889999
"55","2010-04-30",16.889999
"56","2010-05-03",17.639999
"57","2010-05-04",16.950001
"58","2010-05-05",15.72
"59","2010-05-06",15.51
"60","2010-05-07",15.43
"61","2010-05-10",16.959999
"62","2010-05-11",16.52
"63","2010-05-12",17.15
"64","2010-05-13",16.700001
"65","2010-05-14",16.35
"66","2010-05-17",16.84
"67","2010-05-18",16.610001
"68","2010-05-19",16.280001
"69","2010-05-20",15.28
"70","2010-05-21",14.99
"71","2010-05-24",14.75
"72","2010-05-25",14.92
"73","2010-05-26",14.96
"74","2010-05-27",14.81
"75","2010-05-28",13.89
"76","2010-06-01",13.8
"77","2010-06-02",13.95
"78","2010-06-03",14.01
"79","2010-06-04",13.25
"80","2010-06-07",12.83
"81","2010-06-08",12
"82","2010-06-09",12.14
"83","2010-06-10",12.28
"84","2010-06-11",12.45
"85","2010-06-14",11.83
"86","2010-06-15",11.93
"87","2010-06-16",12.01
"88","2010-06-17",12.33
"89","2010-06-18",12.8
"90","2010-06-21",13.01
"91","2010-06-22",12.85
"92","2010-06-23",12.65
"93","2010-06-24",12.35
"94","2010-06-25",12.24
"95","2010-06-28",12.2
"96","2010-06-29",11.88
"97","2010-06-30",11.51
"98","2010-07-01",11
"99","2010-07-02",10.98
"100","2010-07-06",10.8
"101","2010-07-07",11.85
"102","2010-07-08",11.81
"103","2010-07-09",11.99
"104","2010-07-12",11.5
"105","2010-07-13",11.93
"106","2010-07-14",12.04
"107","2010-07-15",12
"108","2010-07-16",11.96
"109","2010-07-19",12.11
"110","2010-07-20",12.36
"111","2010-07-21",12
"112","2010-07-22",12.69
"113","2010-07-23",13.01
"114","2010-07-26",13.09
"115","2010-07-27",12.98
"116","2010-07-28",12.82
"117","2010-07-29",12.43
"118","2010-07-30",12.05
"119","2010-08-02",11.59
"120","2010-08-03",11.07
"121","2010-08-04",11.67
"122","2010-08-05",10.61
"123","2010-08-06",10.07
"124","2010-08-09",10.01
"125","2010-08-10",10.63
"126","2010-08-11",10.41
"127","2010-08-12",10.64
"128","2010-08-13",10.56
"129","2010-08-16",10.64
"130","2010-08-17",10.66
"131","2010-08-18",10.9
"132","2010-08-19",11
"133","2010-08-20",10.99
"134","2010-08-23",10.75
"135","2010-08-24",10.55
"136","2010-08-25",10.55
"137","2010-08-26",10.49
"138","2010-08-27",10.54
"139","2010-08-30",10.5
"140","2010-08-31",10.73
