"","date","COUP"
"1","2016-10-06",33.279999
"2","2016-10-07",29.690001
"3","2016-10-10",28.16
"4","2016-10-11",27.74
"5","2016-10-12",29.25
"6","2016-10-13",30.530001
"7","2016-10-14",29.030001
"8","2016-10-17",27.43
"9","2016-10-18",27.17
"10","2016-10-19",26.450001
"11","2016-10-20",25.780001
"12","2016-10-21",25.299999
"13","2016-10-24",26.809999
"14","2016-10-25",27
"15","2016-10-26",26.780001
"16","2016-10-27",25.9
"17","2016-10-28",25.32
"18","2016-10-31",25
"19","2016-11-01",24.98
"20","2016-11-02",25.110001
"21","2016-11-03",25.059999
"22","2016-11-04",25.26
"23","2016-11-07",25.58
"24","2016-11-08",25.299999
"25","2016-11-09",25.49
"26","2016-11-10",25.790001
"27","2016-11-11",26.299999
"28","2016-11-14",27.719999
"29","2016-11-15",28.299999
"30","2016-11-16",29.5
"31","2016-11-17",29.639999
"32","2016-11-18",29.51
"33","2016-11-21",31.450001
"34","2016-11-22",31.42
"35","2016-11-23",32.25
"36","2016-11-25",32.84
"37","2016-11-28",31.309999
"38","2016-11-29",31.92
"39","2016-11-30",31.74
"40","2016-12-01",27.780001
"41","2016-12-02",26.290001
"42","2016-12-05",26.02
"43","2016-12-06",27.74
"44","2016-12-07",27.25
"45","2016-12-08",26.23
"46","2016-12-09",26.1
"47","2016-12-12",26.15
"48","2016-12-13",26.299999
"49","2016-12-14",25.450001
"50","2016-12-15",26.33
"51","2016-12-16",26.4
"52","2016-12-19",26.379999
"53","2016-12-20",25.26
"54","2016-12-21",25.17
"55","2016-12-22",25.040001
"56","2016-12-23",25.440001
"57","2016-12-27",25.809999
"58","2016-12-28",25.5
"59","2016-12-29",25.440001
"60","2016-12-30",25.01
"61","2017-01-03",24.620001
"62","2017-01-04",24.51
"63","2017-01-05",24.08
"64","2017-01-06",24.129999
"65","2017-01-09",23.91
"66","2017-01-10",24.799999
"67","2017-01-11",25.540001
"68","2017-01-12",24.860001
"69","2017-01-13",25.450001
"70","2017-01-17",25
"71","2017-01-18",25.16
"72","2017-01-19",25.33
"73","2017-01-20",25.110001
"74","2017-01-23",25
"75","2017-01-24",24.969999
"76","2017-01-25",26.32
"77","2017-01-26",25.84
"78","2017-01-27",26.370001
