"","date","ENG"
"1","2007-01-03",6.23
"2","2007-01-04",6.26
"3","2007-01-05",6.09
"4","2007-01-08",6
"5","2007-01-09",6.23
"6","2007-01-10",6.02
"7","2007-01-11",5.93
"8","2007-01-12",5.89
"9","2007-01-16",5.88
"10","2007-01-17",6.32
"11","2007-01-18",6.29
"12","2007-01-19",6.41
"13","2007-01-22",6.21
"14","2007-01-23",6.32
"15","2007-01-24",6.21
"16","2007-01-25",6.21
"17","2007-01-26",6.27
"18","2007-01-29",6.39
"19","2007-01-30",6.39
"20","2007-01-31",6.5
"21","2007-02-01",6.5
"22","2007-02-02",6.5
"23","2007-02-05",6.62
"24","2007-02-06",6.7
"25","2007-02-07",6.82
"26","2007-02-08",7.18
"27","2007-02-09",6.56
"28","2007-02-12",6.32
"29","2007-02-13",6.62
"30","2007-02-14",6.6
"31","2007-02-15",6.64
"32","2007-02-16",6.52
"33","2007-02-20",6.26
"34","2007-02-21",6.2
"35","2007-02-22",6.28
"36","2007-02-23",6.12
"37","2007-02-26",6.1
"38","2007-02-27",5.89
"39","2007-02-28",6.09
"40","2007-03-01",6.05
"41","2007-03-02",5.89
"42","2007-03-05",5.45
"43","2007-03-06",5.63
"44","2007-03-07",5.53
"45","2007-03-08",5.48
"46","2007-03-09",5.58
"47","2007-03-12",5.5
"48","2007-03-13",5.23
"49","2007-03-14",5.2
"50","2007-03-15",5.3
"51","2007-03-16",5.19
"52","2007-03-19",5.05
"53","2007-03-20",5.11
"54","2007-03-21",5.25
"55","2007-03-22",5.33
"56","2007-03-23",5.33
"57","2007-03-26",5.4
"58","2007-03-27",5.44
"59","2007-03-28",5.31
"60","2007-03-29",5.35
"61","2007-03-30",5.55
"62","2007-04-02",5.66
"63","2007-04-03",5.9
"64","2007-04-04",5.9
"65","2007-04-05",6.13
"66","2007-04-09",6
"67","2007-04-10",6.01
"68","2007-04-11",6.09
"69","2007-04-12",6.16
"70","2007-04-13",6.15
"71","2007-04-16",6.17
"72","2007-04-17",6.33
"73","2007-04-18",6.23
"74","2007-04-19",6.28
"75","2007-04-20",6.34
"76","2007-04-23",6.44
"77","2007-04-24",6.42
"78","2007-04-25",6.39
"79","2007-04-26",6.4
"80","2007-04-27",6.48
"81","2007-04-30",6.44
"82","2007-05-01",6.3
"83","2007-05-02",6.55
"84","2007-05-03",6.59
"85","2007-05-04",6.43
"86","2007-05-07",6.5
"87","2007-05-08",8.31
"88","2007-05-09",8.51
"89","2007-05-10",8.22
"90","2007-05-11",8.93
"91","2007-05-14",9.5
"92","2007-05-15",9.81
"93","2007-05-16",10.07
"94","2007-05-17",10.16
