"","date","GILT"
"1","2007-01-03",8.91
"2","2007-01-04",8.96
"3","2007-01-05",8.98
"4","2007-01-08",8.86
"5","2007-01-09",8.78
"6","2007-01-10",8.76
"7","2007-01-11",8.69
"8","2007-01-12",8.62
"9","2007-01-16",8.66
"10","2007-01-17",8.77
"11","2007-01-18",8.69
"12","2007-01-19",8.75
"13","2007-01-22",8.76
"14","2007-01-23",8.76
"15","2007-01-24",8.79
"16","2007-01-25",8.85
"17","2007-01-26",8.77
"18","2007-01-29",8.8
"19","2007-01-30",8.71
"20","2007-01-31",9.02
"21","2007-02-01",9.48
"22","2007-02-02",9.27
"23","2007-02-05",9.6
"24","2007-02-06",9.56
"25","2007-02-07",9.54
"26","2007-02-08",9.5
"27","2007-02-09",9.58
"28","2007-02-12",9.74
"29","2007-02-13",9.3
"30","2007-02-14",9.36
"31","2007-02-15",8.97
"32","2007-02-16",8.99
"33","2007-02-20",8.74
"34","2007-02-21",8.72
"35","2007-02-22",8.59
"36","2007-02-23",8.64
"37","2007-02-26",8.55
"38","2007-02-27",8.29
"39","2007-02-28",8.47
"40","2007-03-01",8.38
"41","2007-03-02",8.35
"42","2007-03-05",8.19
"43","2007-03-06",8.25
"44","2007-03-07",8.35
"45","2007-03-08",8.35
"46","2007-03-09",8.3
"47","2007-03-12",8.24
"48","2007-03-13",8.16
"49","2007-03-14",8.08
"50","2007-03-15",8
"51","2007-03-16",7.91
"52","2007-03-19",7.89
"53","2007-03-20",8.08
"54","2007-03-21",7.99
"55","2007-03-22",7.9
"56","2007-03-23",8.06
"57","2007-03-26",8.13
"58","2007-03-27",8.15
"59","2007-03-28",8.17
"60","2007-03-29",8.27
"61","2007-03-30",8.25
"62","2007-04-02",8.28
"63","2007-04-03",8.33
"64","2007-04-04",8.27
"65","2007-04-05",8.32
"66","2007-04-09",8.32
"67","2007-04-10",8.29
"68","2007-04-11",8.23
"69","2007-04-12",8.07
"70","2007-04-13",8.1
"71","2007-04-16",8.23
"72","2007-04-17",8.28
"73","2007-04-18",8.37
"74","2007-04-19",8.89
"75","2007-04-20",8.89
"76","2007-04-23",8.88
"77","2007-04-24",8.93
"78","2007-04-25",8.95
"79","2007-04-26",8.86
"80","2007-04-27",8.95
"81","2007-04-30",9.12
"82","2007-05-01",9.17
"83","2007-05-02",9.04
"84","2007-05-03",9.12
"85","2007-05-04",9.09
"86","2007-05-07",9.23
"87","2007-05-08",9.56
"88","2007-05-09",9.65
"89","2007-05-10",9.42
"90","2007-05-11",9.37
"91","2007-05-14",9.69
"92","2007-05-15",9.48
"93","2007-05-16",9.45
"94","2007-05-17",9.33
"95","2007-05-18",9.47
"96","2007-05-21",9.43
"97","2007-05-22",9.48
"98","2007-05-23",9.53
"99","2007-05-24",9.83
"100","2007-05-25",9.86
"101","2007-05-29",9.83
"102","2007-05-30",9.77
"103","2007-05-31",9.83
"104","2007-06-01",9.87
"105","2007-06-04",9.76
"106","2007-06-05",9.7
"107","2007-06-06",9.71
"108","2007-06-07",9.7
"109","2007-06-08",9.61
"110","2007-06-11",9.65
"111","2007-06-12",9.42
"112","2007-06-13",9.43
"113","2007-06-14",9.41
"114","2007-06-15",9.55
"115","2007-06-18",9.55
"116","2007-06-19",9.48
"117","2007-06-20",9.33
"118","2007-06-21",9.37
"119","2007-06-22",9.17
"120","2007-06-25",9.23
"121","2007-06-26",9.37
"122","2007-06-27",9.37
"123","2007-06-28",9.66
"124","2007-06-29",9.63
"125","2007-07-02",9.87
"126","2007-07-03",10.2
"127","2007-07-05",10.25
"128","2007-07-06",10
"129","2007-07-09",9.89
"130","2007-07-10",9.76
"131","2007-07-11",9.73
"132","2007-07-12",9.85
"133","2007-07-13",9.83
"134","2007-07-16",9.64
"135","2007-07-17",9.58
"136","2007-07-18",9.56
"137","2007-07-19",9.63
"138","2007-07-20",9.59
"139","2007-07-23",9.62
"140","2007-07-24",9.4
"141","2007-07-25",9.4
"142","2007-07-26",9
"143","2007-07-27",9.17
"144","2007-07-30",8.85
"145","2007-07-31",8.84
"146","2007-08-01",8.8
"147","2007-08-02",8.82
"148","2007-08-03",8.65
"149","2007-08-06",8.68
"150","2007-08-07",8.49
"151","2007-08-08",8.56
"152","2007-08-09",8.4
"153","2007-08-10",8.73
"154","2007-08-13",9.69
"155","2007-08-14",9.88
"156","2007-08-15",9.7
"157","2007-08-16",9.37
"158","2007-08-17",9.55
"159","2007-08-20",9.6
"160","2007-08-21",9.46
"161","2007-08-22",9.65
"162","2007-08-23",9.64
"163","2007-08-24",9.6
"164","2007-08-27",9.6
"165","2007-08-28",9.41
"166","2007-08-29",9.5
"167","2007-08-30",9.3
"168","2007-08-31",9.4
"169","2007-09-04",9.35
"170","2007-09-05",9.21
"171","2007-09-06",9.19
"172","2007-09-07",8.93
"173","2007-09-10",8.96
"174","2007-09-11",9.36
"175","2007-09-12",9.33
"176","2007-09-13",9.33
"177","2007-09-14",9.48
"178","2007-09-17",9.64
"179","2007-09-18",9.8
"180","2007-09-19",9.93
"181","2007-09-20",9.84
"182","2007-09-21",9.9
"183","2007-09-24",9.96
"184","2007-09-25",10.2
"185","2007-09-26",10.12
"186","2007-09-27",10.01
"187","2007-09-28",10.2
"188","2007-10-01",10.25
"189","2007-10-02",10.47
"190","2007-10-03",10.21
"191","2007-10-04",10.24
"192","2007-10-05",10.37
"193","2007-10-08",10.28
"194","2007-10-09",10.37
"195","2007-10-10",10.4
"196","2007-10-11",10.27
"197","2007-10-12",10.45
"198","2007-10-15",10.63
"199","2007-10-16",10.48
"200","2007-10-17",10.48
"201","2007-10-18",10.37
"202","2007-10-19",10.32
"203","2007-10-22",11.03
"204","2007-10-23",11
"205","2007-10-24",10.91
"206","2007-10-25",10.96
"207","2007-10-26",11.02
"208","2007-10-29",11.05
"209","2007-10-30",11.05
"210","2007-10-31",11.13
"211","2007-11-01",11.05
"212","2007-11-02",11.02
"213","2007-11-05",11.18
"214","2007-11-06",10.97
"215","2007-11-07",10.77
"216","2007-11-08",10.69
"217","2007-11-09",10.73
"218","2007-11-12",10.41
"219","2007-11-13",10.86
"220","2007-11-14",11.09
"221","2007-11-15",11.08
"222","2007-11-16",11.01
"223","2007-11-19",10.91
"224","2007-11-20",10.69
"225","2007-11-21",10.71
"226","2007-11-23",10.7
"227","2007-11-26",10.51
"228","2007-11-27",10.55
"229","2007-11-28",10.75
"230","2007-11-29",10.6
"231","2007-11-30",10.65
"232","2007-12-03",10.51
"233","2007-12-04",10.51
"234","2007-12-05",10.49
"235","2007-12-06",10.52
"236","2007-12-07",10.52
"237","2007-12-10",10.55
"238","2007-12-11",10.41
"239","2007-12-12",10.28
"240","2007-12-13",10.46
"241","2007-12-14",10.39
"242","2007-12-17",10.01
"243","2007-12-18",10.3
"244","2007-12-19",10.14
"245","2007-12-20",10.26
"246","2007-12-21",10.27
"247","2007-12-24",10.26
"248","2007-12-26",10.48
"249","2007-12-27",10.23
"250","2007-12-28",10.16
"251","2007-12-31",10.29
"252","2008-01-02",10.19
"253","2008-01-03",10.04
"254","2008-01-04",9.82
"255","2008-01-07",10.05
"256","2008-01-08",10.19
"257","2008-01-09",10.21
"258","2008-01-10",10.44
"259","2008-01-11",10.36
"260","2008-01-14",10.5
"261","2008-01-15",10.19
"262","2008-01-16",10.18
"263","2008-01-17",10.35
"264","2008-01-18",10
"265","2008-01-22",10.15
"266","2008-01-23",10.56
"267","2008-01-24",10.72
"268","2008-01-25",10.69
"269","2008-01-28",10.65
"270","2008-01-29",10.64
"271","2008-01-30",10.7
"272","2008-01-31",10.89
"273","2008-02-01",10.83
"274","2008-02-04",10.9
"275","2008-02-05",10.4
"276","2008-02-06",10.14
"277","2008-02-07",10.28
"278","2008-02-08",10.23
"279","2008-02-11",10.53
"280","2008-02-12",10.67
"281","2008-02-13",10.83
"282","2008-02-14",10.95
"283","2008-02-15",10.62
"284","2008-02-19",10.6
"285","2008-02-20",10.5
"286","2008-02-21",11.05
"287","2008-02-22",10.94
"288","2008-02-25",10.81
"289","2008-02-26",10.84
"290","2008-02-27",10.83
"291","2008-02-28",10.76
"292","2008-02-29",10.73
"293","2008-03-03",10.66
"294","2008-03-04",10.57
"295","2008-03-05",10.74
"296","2008-03-06",10.52
"297","2008-03-07",10.6
"298","2008-03-10",9.82
"299","2008-03-11",9.6
"300","2008-03-12",9.5
"301","2008-03-13",10.26
"302","2008-03-14",10.2
"303","2008-03-17",9.65
"304","2008-03-18",10
"305","2008-03-19",9.66
"306","2008-03-20",9.59
"307","2008-03-24",9.46
"308","2008-03-25",9.99
"309","2008-03-26",10.44
"310","2008-03-27",10.5
"311","2008-03-28",10.44
"312","2008-03-31",10.83
"313","2008-04-01",10.75
"314","2008-04-02",10.72
"315","2008-04-03",10.7
"316","2008-04-04",10.68
"317","2008-04-07",10.58
"318","2008-04-08",10.71
"319","2008-04-09",10.58
"320","2008-04-10",10.59
"321","2008-04-11",10.58
"322","2008-04-14",10.55
"323","2008-04-15",10.52
"324","2008-04-16",10.6
"325","2008-04-17",10.62
"326","2008-04-18",10.63
"327","2008-04-21",10.63
