"","date","WBT"
"1","2016-03-08",14.8
"2","2016-03-09",14.17
"3","2016-03-10",14.14
"4","2016-03-11",14.61
"5","2016-03-14",14.67
"6","2016-03-15",13.98
"7","2016-03-16",14.48
"8","2016-03-17",14.91
"9","2016-03-18",14.98
"10","2016-03-21",15.12
"11","2016-03-22",14.99
"12","2016-03-23",14.29
"13","2016-03-24",14.07
"14","2016-03-28",14.3
"15","2016-03-29",14.53
"16","2016-03-30",15
"17","2016-03-31",14.74
"18","2016-04-01",14.6
"19","2016-04-04",14.38
"20","2016-04-05",14.07
"21","2016-04-06",14.21
"22","2016-04-07",14.41
"23","2016-04-08",15.02
"24","2016-04-11",15.21
"25","2016-04-12",14.98
"26","2016-04-13",15.63
"27","2016-04-14",16.09
"28","2016-04-15",16.41
"29","2016-04-18",16.370001
"30","2016-04-19",16.4
"31","2016-04-20",15.18
"32","2016-04-21",15.48
"33","2016-04-22",15.45
"34","2016-04-25",15.55
"35","2016-04-26",15.57
"36","2016-04-27",15.41
"37","2016-04-28",14.93
"38","2016-04-29",15.01
"39","2016-05-02",15.15
"40","2016-05-03",15.03
"41","2016-05-04",14.85
"42","2016-05-05",14.9
"43","2016-05-06",14.81
"44","2016-05-09",15.16
"45","2016-05-10",15.78
"46","2016-05-11",15.54
"47","2016-05-12",15.79
"48","2016-05-13",15.72
"49","2016-05-16",15.76
"50","2016-05-17",16.02
"51","2016-05-18",16.040001
"52","2016-05-19",15.68
"53","2016-05-20",15.67
"54","2016-05-23",15.64
"55","2016-05-24",15.69
"56","2016-05-25",16.129999
"57","2016-05-26",16
"58","2016-05-27",16.33
"59","2016-05-31",16.469999
"60","2016-06-01",15.78
"61","2016-06-02",16.01
"62","2016-06-03",16.139999
"63","2016-06-06",16.93
"64","2016-06-07",17.26
"65","2016-06-08",17.27
"66","2016-06-09",17.08
"67","2016-06-10",17.280001
"68","2016-06-13",17.17
"69","2016-06-14",16.74
"70","2016-06-15",16.75
"71","2016-06-16",16.559999
"72","2016-06-17",16.83
"73","2016-06-20",17.16
"74","2016-06-21",17.25
"75","2016-06-22",17.389999
"76","2016-06-23",17.57
"77","2016-06-24",17.01
"78","2016-06-27",16.120001
"79","2016-06-28",16.549999
"80","2016-06-29",16.809999
"81","2016-06-30",17.620001
"82","2016-07-01",17.49
"83","2016-07-05",17.049999
"84","2016-07-06",17.120001
"85","2016-07-07",17.25
"86","2016-07-08",16.85
"87","2016-07-11",17.85
"88","2016-07-12",18.01
"89","2016-07-13",17.940001
"90","2016-07-14",17.58
"91","2016-07-15",17.9
"92","2016-07-18",17.950001
"93","2016-07-19",17.540001
"94","2016-07-20",17.75
"95","2016-07-21",17.700001
"96","2016-07-22",17.790001
"97","2016-07-25",17.780001
"98","2016-07-26",18.16
"99","2016-07-27",18.290001
"100","2016-07-28",18.309999
"101","2016-07-29",18.34
"102","2016-08-01",18.17
"103","2016-08-02",17.98
"104","2016-08-03",17.92
"105","2016-08-04",18.530001
"106","2016-08-05",18.709999
"107","2016-08-08",18.42
"108","2016-08-09",18.33
"109","2016-08-10",18.299999
"110","2016-08-11",17.18
"111","2016-08-12",17.33
"112","2016-08-15",17.27
"113","2016-08-16",16.959999
