"","date","ACI"
"1","2020-06-26",15.45
"2","2020-06-29",15.57
"3","2020-06-30",15.77
"4","2020-07-01",15.76
"5","2020-07-02",15.81
"6","2020-07-06",15.52
"7","2020-07-07",15.18
"8","2020-07-08",15.16
"9","2020-07-09",14.75
"10","2020-07-10",14.6
"11","2020-07-13",14
"12","2020-07-14",14.59
"13","2020-07-15",14.62
"14","2020-07-16",14.98
"15","2020-07-17",15.35
"16","2020-07-20",15.59
"17","2020-07-21",15.67
"18","2020-07-22",16
"19","2020-07-23",16.030001
"20","2020-07-24",16.110001
"21","2020-07-27",15.24
"22","2020-07-28",15.1
"23","2020-07-29",15.37
"24","2020-07-30",14.95
"25","2020-07-31",14.86
"26","2020-08-03",14.83
"27","2020-08-04",15.18
"28","2020-08-05",15.47
"29","2020-08-06",15.27
"30","2020-08-07",15.35
"31","2020-08-10",15.37
"32","2020-08-11",14.92
"33","2020-08-12",14.8
"34","2020-08-13",14.9
"35","2020-08-14",14.85
"36","2020-08-17",14.93
"37","2020-08-18",15.07
"38","2020-08-19",15.19
"39","2020-08-20",15.04
"40","2020-08-21",14.9
"41","2020-08-24",14.57
"42","2020-08-25",14.59
"43","2020-08-26",14.7
"44","2020-08-27",14.66
"45","2020-08-28",14.36
"46","2020-08-31",13.79
"47","2020-09-01",13.94
"48","2020-09-02",14
"49","2020-09-03",13.54
"50","2020-09-04",13.51
"51","2020-09-08",13.18
"52","2020-09-09",13.88
"53","2020-09-10",14.14
"54","2020-09-11",14.15
"55","2020-09-14",13.64
"56","2020-09-15",13.26
"57","2020-09-16",13.16
"58","2020-09-17",13.31
"59","2020-09-18",13.06
"60","2020-09-21",13.66
"61","2020-09-22",13.9
"62","2020-09-23",13.62
"63","2020-09-24",13.38
"64","2020-09-25",13.55
"65","2020-09-28",13.61
"66","2020-09-29",13.75
"67","2020-09-30",13.85
"68","2020-10-01",13.77
"69","2020-10-02",13.74
"70","2020-10-05",13.9
"71","2020-10-06",13.82
"72","2020-10-07",13.9
"73","2020-10-08",14.02
"74","2020-10-09",14.26
"75","2020-10-12",14.48
"76","2020-10-13",14.7
"77","2020-10-14",14.27
"78","2020-10-15",14.29
"79","2020-10-16",14.26
"80","2020-10-19",14.38
"81","2020-10-20",15.22
"82","2020-10-21",14.98
"83","2020-10-22",14.7
"84","2020-10-23",14.83
"85","2020-10-26",14.8
"86","2020-10-27",14.89
"87","2020-10-28",15.11
"88","2020-10-29",15.15
"89","2020-10-30",14.69
"90","2020-11-02",14.66
"91","2020-11-03",15.22
"92","2020-11-04",15.45
"93","2020-11-05",15.52
"94","2020-11-06",15.49
"95","2020-11-09",14.8
"96","2020-11-10",14.99
"97","2020-11-11",14.98
"98","2020-11-12",15.13
"99","2020-11-13",15.15
"100","2020-11-16",15.61
"101","2020-11-17",15.73
"102","2020-11-18",15.75
"103","2020-11-19",15.75
"104","2020-11-20",15.71
"105","2020-11-23",15.92
"106","2020-11-24",15.9
"107","2020-11-25",15.8
"108","2020-11-27",15.86
