"","date","INFI"
"1","2007-01-03",12.81
"2","2007-01-04",12.69
"3","2007-01-05",12.99
"4","2007-01-08",13.07
"5","2007-01-09",13.38
"6","2007-01-10",13.65
"7","2007-01-11",14
"8","2007-01-12",14.71
"9","2007-01-16",14.72
"10","2007-01-17",14.77
"11","2007-01-18",14.49
"12","2007-01-19",14.79
"13","2007-01-22",15
"14","2007-01-23",14.99
"15","2007-01-24",14.23
"16","2007-01-25",13.59
"17","2007-01-26",14.29
"18","2007-01-29",14.3
"19","2007-01-30",14.35
"20","2007-01-31",14.57
"21","2007-02-01",14.72
"22","2007-02-02",14.68
"23","2007-02-05",14.45
"24","2007-02-06",14.38
"25","2007-02-07",14.76
"26","2007-02-08",14.46
"27","2007-02-09",14.5
"28","2007-02-12",14.3
"29","2007-02-13",14.24
"30","2007-02-14",14.3
"31","2007-02-15",14.15
"32","2007-02-16",14.15
"33","2007-02-20",13.95
"34","2007-02-21",13.95
"35","2007-02-22",13.99
"36","2007-02-23",13.97
"37","2007-02-26",13.78
"38","2007-02-27",13.61
"39","2007-02-28",13.14
"40","2007-03-01",12.45
"41","2007-03-02",12.51
"42","2007-03-05",12.51
"43","2007-03-06",12.46
"44","2007-03-07",12.14
"45","2007-03-08",12.49
"46","2007-03-09",12.4
"47","2007-03-12",12.12
"48","2007-03-13",12
"49","2007-03-14",11.79
"50","2007-03-15",11.69
"51","2007-03-16",11.58
"52","2007-03-19",11.25
"53","2007-03-20",11.37
"54","2007-03-21",11.35
"55","2007-03-22",11.41
"56","2007-03-23",11.53
"57","2007-03-26",11.67
"58","2007-03-27",11.92
"59","2007-03-28",11.76
"60","2007-03-29",12
"61","2007-03-30",12.04
"62","2007-04-02",11.91
"63","2007-04-03",11.15
"64","2007-04-04",11.79
"65","2007-04-05",11.43
"66","2007-04-09",11.68
"67","2007-04-10",12
"68","2007-04-11",11.8
"69","2007-04-12",11.52
"70","2007-04-13",11.25
"71","2007-04-16",11.06
"72","2007-04-17",11.41
"73","2007-04-18",11.29
"74","2007-04-19",11.29
"75","2007-04-20",10.94
"76","2007-04-23",11.16
"77","2007-04-24",10.9
"78","2007-04-25",10.88
"79","2007-04-26",10.74
"80","2007-04-27",10.54
"81","2007-04-30",10.5
"82","2007-05-01",10.55
"83","2007-05-02",10.93
"84","2007-05-03",11.3
"85","2007-05-04",11.04
"86","2007-05-07",11.12
"87","2007-05-08",11.1
"88","2007-05-09",11.07
"89","2007-05-10",10.9
"90","2007-05-11",11.08
"91","2007-05-14",11.25
"92","2007-05-15",10.83
"93","2007-05-16",10.84
"94","2007-05-17",10.79
"95","2007-05-18",11.16
"96","2007-05-21",11.02
"97","2007-05-22",11.3
"98","2007-05-23",11.14
"99","2007-05-24",10.86
"100","2007-05-25",10.57
"101","2007-05-29",10.71
"102","2007-05-30",10.76
"103","2007-05-31",10.77
"104","2007-06-01",10.84
"105","2007-06-04",10.92
"106","2007-06-05",10.9
"107","2007-06-06",10.73
"108","2007-06-07",10.81
"109","2007-06-08",10.75
"110","2007-06-11",10.59
"111","2007-06-12",10.56
"112","2007-06-13",10.61
"113","2007-06-14",10.52
"114","2007-06-15",10.61
"115","2007-06-18",10.54
"116","2007-06-19",10.97
"117","2007-06-20",11.18
"118","2007-06-21",10.87
"119","2007-06-22",10.91
"120","2007-06-25",10.9
"121","2007-06-26",10.78
"122","2007-06-27",11.19
"123","2007-06-28",11.03
"124","2007-06-29",10.88
"125","2007-07-02",10.88
"126","2007-07-03",11.12
"127","2007-07-05",11.02
"128","2007-07-06",10.93
"129","2007-07-09",11.01
"130","2007-07-10",10.85
"131","2007-07-11",10.85
"132","2007-07-12",11.01
"133","2007-07-13",11
"134","2007-07-16",11.05
"135","2007-07-17",10.95
"136","2007-07-18",10.99
"137","2007-07-19",10.56
"138","2007-07-20",11.28
"139","2007-07-23",10.9
"140","2007-07-24",10.33
"141","2007-07-25",10.4
"142","2007-07-26",10.48
"143","2007-07-27",10.5
"144","2007-07-30",10.5
"145","2007-07-31",10.7
"146","2007-08-01",10.61
"147","2007-08-02",10.67
"148","2007-08-03",10.94
"149","2007-08-06",11.1
"150","2007-08-07",10.77
"151","2007-08-08",10.73
"152","2007-08-09",10.41
"153","2007-08-10",10.48
"154","2007-08-13",10.19
"155","2007-08-14",9.95
"156","2007-08-15",10.02
"157","2007-08-16",9.66
"158","2007-08-17",9.91
"159","2007-08-20",10.15
"160","2007-08-21",10.21
"161","2007-08-22",10
"162","2007-08-23",10.08
"163","2007-08-24",10.13
"164","2007-08-27",10.3
"165","2007-08-28",10.55
"166","2007-08-29",10.77
"167","2007-08-30",10.72
"168","2007-08-31",11
"169","2007-09-04",10
"170","2007-09-05",10.03
"171","2007-09-06",10
"172","2007-09-07",10.01
"173","2007-09-10",9.86
"174","2007-09-11",9.73
"175","2007-09-12",9.23
"176","2007-09-13",9.2
"177","2007-09-14",9.1
"178","2007-09-17",9
"179","2007-09-18",8.95
"180","2007-09-19",8.6
"181","2007-09-20",8.77
"182","2007-09-21",9.22
"183","2007-09-24",8.7
"184","2007-09-25",8.9
"185","2007-09-26",8.9
"186","2007-09-27",8.96
"187","2007-09-28",9.06
"188","2007-10-01",9.41
"189","2007-10-02",9.43
"190","2007-10-03",9.5
"191","2007-10-04",9.45
"192","2007-10-05",9.56
"193","2007-10-08",9.93
"194","2007-10-09",9.72
"195","2007-10-10",9.52
"196","2007-10-11",9.58
"197","2007-10-12",9.9
"198","2007-10-15",10.19
"199","2007-10-16",10.18
"200","2007-10-17",10.17
"201","2007-10-18",10.26
"202","2007-10-19",10.17
"203","2007-10-22",10.4
"204","2007-10-23",10.24
"205","2007-10-24",10.03
"206","2007-10-25",10.5
"207","2007-10-26",10.28
"208","2007-10-29",10.71
"209","2007-10-30",10.6
"210","2007-10-31",10.6
"211","2007-11-01",10.57
"212","2007-11-02",10.5
"213","2007-11-05",10.36
"214","2007-11-06",9.74
"215","2007-11-07",10.3
"216","2007-11-08",10
"217","2007-11-09",9.85
"218","2007-11-12",9.92
"219","2007-11-13",9.92
"220","2007-11-14",9.48
"221","2007-11-15",9.8
"222","2007-11-16",9.89
"223","2007-11-19",9.85
"224","2007-11-20",9.4
"225","2007-11-21",9.05
"226","2007-11-23",9.18
"227","2007-11-26",9.31
"228","2007-11-27",9.78
"229","2007-11-28",9.89
"230","2007-11-29",9.9
"231","2007-11-30",9.65
"232","2007-12-03",9.53
"233","2007-12-04",9.8
"234","2007-12-05",9.33
"235","2007-12-06",9.77
"236","2007-12-07",9.95
"237","2007-12-10",9.79
"238","2007-12-11",9.48
"239","2007-12-12",9.58
"240","2007-12-13",9.8
"241","2007-12-14",10.03
"242","2007-12-17",9.71
"243","2007-12-18",9.6
"244","2007-12-19",9.62
"245","2007-12-20",9.64
"246","2007-12-21",9.56
"247","2007-12-24",9.59
"248","2007-12-26",9.5
"249","2007-12-27",9.44
"250","2007-12-28",9.44
"251","2007-12-31",9.55
"252","2008-01-02",9.55
"253","2008-01-03",9.6
"254","2008-01-04",9.15
"255","2008-01-07",8.85
"256","2008-01-08",8.53
"257","2008-01-09",8.09
"258","2008-01-10",8.01
"259","2008-01-11",8
"260","2008-01-14",8.03
"261","2008-01-15",8.08
"262","2008-01-16",8
"263","2008-01-17",8.07
"264","2008-01-18",8
"265","2008-01-22",7.78
"266","2008-01-23",7.88
"267","2008-01-24",8
"268","2008-01-25",8.08
"269","2008-01-28",8.03
"270","2008-01-29",7.9
"271","2008-01-30",8.18
"272","2008-01-31",7.8
"273","2008-02-01",7.82
"274","2008-02-04",7.8
"275","2008-02-05",7.81
"276","2008-02-06",7.8
"277","2008-02-07",7.66
"278","2008-02-08",7.74
"279","2008-02-11",7.47
"280","2008-02-12",7.47
"281","2008-02-13",7.66
"282","2008-02-14",7.64
"283","2008-02-15",7.46
"284","2008-02-19",7.5
"285","2008-02-20",7.45
"286","2008-02-21",7.45
"287","2008-02-22",7.45
"288","2008-02-25",7.73
"289","2008-02-26",7.59
"290","2008-02-27",7.64
"291","2008-02-28",7.64
"292","2008-02-29",7.5
"293","2008-03-03",7.4
"294","2008-03-04",7.29
"295","2008-03-05",7.26
"296","2008-03-06",6.95
"297","2008-03-07",7
"298","2008-03-10",7.09
"299","2008-03-11",6.94
"300","2008-03-12",6.94
"301","2008-03-13",7.01
"302","2008-03-14",6.37
"303","2008-03-17",6.05
"304","2008-03-18",6.28
"305","2008-03-19",5.54
"306","2008-03-20",6
"307","2008-03-24",5.99
"308","2008-03-25",6.5
"309","2008-03-26",6.59
"310","2008-03-27",6.45
"311","2008-03-28",6.89
"312","2008-03-31",5.95
"313","2008-04-01",6.11
"314","2008-04-02",6.6
"315","2008-04-03",6.43
"316","2008-04-04",7.04
"317","2008-04-07",7.29
"318","2008-04-08",7.27
"319","2008-04-09",7.21
"320","2008-04-10",7.66
"321","2008-04-11",7.25
"322","2008-04-14",7.4
"323","2008-04-15",7.29
"324","2008-04-16",7.19
"325","2008-04-17",7.15
"326","2008-04-18",6.99
"327","2008-04-21",6.97
"328","2008-04-22",6.62
"329","2008-04-23",6.7
"330","2008-04-24",6.84
"331","2008-04-25",7.35
"332","2008-04-28",6.95
"333","2008-04-29",6.55
"334","2008-04-30",6.81
"335","2008-05-01",6.98
"336","2008-05-02",6.62
"337","2008-05-05",6.71
"338","2008-05-06",6.95
"339","2008-05-07",7.26
"340","2008-05-08",7.33
"341","2008-05-09",7.58
"342","2008-05-12",7.59
"343","2008-05-13",7.19
"344","2008-05-14",7.43
"345","2008-05-15",7.4
"346","2008-05-16",8.02
"347","2008-05-19",7.89
"348","2008-05-20",8
"349","2008-05-21",7.72
"350","2008-05-22",7.7
"351","2008-05-23",7.1
"352","2008-05-27",7.1
"353","2008-05-28",7.26
"354","2008-05-29",7.8
"355","2008-05-30",7.35
"356","2008-06-02",8.13
"357","2008-06-03",8.23
"358","2008-06-04",8
"359","2008-06-05",8.64
"360","2008-06-06",8.72
"361","2008-06-09",8.77
"362","2008-06-10",8.91
"363","2008-06-11",8.42
"364","2008-06-12",8.16
"365","2008-06-13",7.99
"366","2008-06-16",7.8
"367","2008-06-17",7.16
"368","2008-06-18",7.23
"369","2008-06-19",7.33
"370","2008-06-20",7.65
"371","2008-06-23",8
"372","2008-06-24",7.57
"373","2008-06-25",7.5
"374","2008-06-26",7.15
"375","2008-06-27",7.74
"376","2008-06-30",7.84
"377","2008-07-01",7.89
"378","2008-07-02",7.91
"379","2008-07-03",7.39
"380","2008-07-07",7.52
"381","2008-07-08",7.46
"382","2008-07-09",7.44
"383","2008-07-10",7.41
"384","2008-07-11",7.4
"385","2008-07-14",7.55
"386","2008-07-15",7.25
"387","2008-07-16",7.12
"388","2008-07-17",7.24
"389","2008-07-18",7.7
"390","2008-07-21",7.8
"391","2008-07-22",7.8
