"","date","DIN"
"1","2007-01-03",53.299999
"2","2007-01-04",53.119999
"3","2007-01-05",52.209999
"4","2007-01-08",52.310001
"5","2007-01-09",52.759998
"6","2007-01-10",52.790001
"7","2007-01-11",53.299999
"8","2007-01-12",53.959999
"9","2007-01-16",53.810001
"10","2007-01-17",53.200001
"11","2007-01-18",53.130001
"12","2007-01-19",53.549999
"13","2007-01-22",54.32
"14","2007-01-23",54.25
"15","2007-01-24",54.759998
"16","2007-01-25",53.880001
"17","2007-01-26",53.75
"18","2007-01-29",54.060001
"19","2007-01-30",53.939999
"20","2007-01-31",53.200001
"21","2007-02-01",54.259998
"22","2007-02-02",54.400002
"23","2007-02-05",53.400002
"24","2007-02-06",53.84
"25","2007-02-07",54.23
"26","2007-02-08",54.110001
"27","2007-02-09",53.66
"28","2007-02-12",53.34
"29","2007-02-13",53.650002
"30","2007-02-14",54.02
"31","2007-02-15",54.93
"32","2007-02-16",55.029999
"33","2007-02-20",55.02
"34","2007-02-21",55.27
"35","2007-02-22",58.049999
"36","2007-02-23",58.279999
"37","2007-02-26",57.27
"38","2007-02-27",55.259998
"39","2007-02-28",55.610001
"40","2007-03-01",55.830002
"41","2007-03-02",54.939999
"42","2007-03-05",54.689999
"43","2007-03-06",56.209999
"44","2007-03-07",55.759998
"45","2007-03-08",55.93
"46","2007-03-09",56.34
"47","2007-03-12",56.52
"48","2007-03-13",55.16
"49","2007-03-14",55.650002
"50","2007-03-15",55.700001
"51","2007-03-16",55.470001
"52","2007-03-19",55.98
"53","2007-03-20",56.209999
"54","2007-03-21",57.610001
"55","2007-03-22",58
"56","2007-03-23",58.52
"57","2007-03-26",58.43
"58","2007-03-27",57.75
"59","2007-03-28",57.34
"60","2007-03-29",58.200001
"61","2007-03-30",58.650002
"62","2007-04-02",59.470001
"63","2007-04-03",59.959999
"64","2007-04-04",59.880001
"65","2007-04-05",60
"66","2007-04-09",59.389999
"67","2007-04-10",59.549999
"68","2007-04-11",59.040001
"69","2007-04-12",59.5
"70","2007-04-13",59.299999
