"","date","BP"
"1","2007-01-03",65.980003
"2","2007-01-04",65.110001
"3","2007-01-05",64.970001
"4","2007-01-08",64.290001
"5","2007-01-09",62.439999
"6","2007-01-10",61.470001
"7","2007-01-11",61.59
"8","2007-01-12",64.639999
"9","2007-01-16",63.279999
"10","2007-01-17",63.59
"11","2007-01-18",63.610001
"12","2007-01-19",64.519997
"13","2007-01-22",63.91
"14","2007-01-23",65.220001
"15","2007-01-24",65.059998
"16","2007-01-25",63.650002
"17","2007-01-26",63.73
"18","2007-01-29",62.830002
"19","2007-01-30",63.599998
"20","2007-01-31",63.509998
"21","2007-02-01",63.759998
"22","2007-02-02",63.650002
"23","2007-02-05",63.790001
"24","2007-02-06",63.25
"25","2007-02-07",63.48
"26","2007-02-08",63.5
"27","2007-02-09",62.900002
"28","2007-02-12",62.18
"29","2007-02-13",62.810001
"30","2007-02-14",62.830002
"31","2007-02-15",63.09
"32","2007-02-16",62.66
"33","2007-02-20",62.25
"34","2007-02-21",61.5
"35","2007-02-22",61.790001
"36","2007-02-23",63.16
"37","2007-02-26",63.889999
"38","2007-02-27",61.869999
"39","2007-02-28",61.540001
"40","2007-03-01",61.060001
"41","2007-03-02",60.09
"42","2007-03-05",58.799999
"43","2007-03-06",59.529999
"44","2007-03-07",60.68
"45","2007-03-08",60.73
"46","2007-03-09",61.189999
"47","2007-03-12",60.970001
"48","2007-03-13",59.75
"49","2007-03-14",59.93
"50","2007-03-15",59.73
"51","2007-03-16",59.57
"52","2007-03-19",60.099998
"53","2007-03-20",60.279999
"54","2007-03-21",61.5
"55","2007-03-22",62.259998
"56","2007-03-23",63.700001
"57","2007-03-26",64.389999
"58","2007-03-27",64.25
"59","2007-03-28",64.699997
"60","2007-03-29",65.75
"61","2007-03-30",64.75
"62","2007-04-02",65.040001
"63","2007-04-03",65.18
"64","2007-04-04",65.089996
"65","2007-04-05",65.25
"66","2007-04-09",64.839996
"67","2007-04-10",65.82
"68","2007-04-11",66
"69","2007-04-12",67.410004
"70","2007-04-13",68.410004
"71","2007-04-16",68.760002
"72","2007-04-17",69.010002
"73","2007-04-18",68.940002
"74","2007-04-19",68.650002
"75","2007-04-20",68.669998
"76","2007-04-23",68.739998
"77","2007-04-24",67.760002
"78","2007-04-25",69
"79","2007-04-26",68.019997
"80","2007-04-27",67.720001
"81","2007-04-30",67.32
"82","2007-05-01",67.32
"83","2007-05-02",67.959999
"84","2007-05-03",68.610001
"85","2007-05-04",68.510002
"86","2007-05-07",68.620003
"87","2007-05-08",68.370003
"88","2007-05-09",67.620003
"89","2007-05-10",66
"90","2007-05-11",66.599998
"91","2007-05-14",66.730003
"92","2007-05-15",66.110001
"93","2007-05-16",66.379997
"94","2007-05-17",67.669998
"95","2007-05-18",68.900002
"96","2007-05-21",69.440002
"97","2007-05-22",68.18
"98","2007-05-23",68.139999
"99","2007-05-24",67.25
"100","2007-05-25",67.769997
"101","2007-05-29",67.25
"102","2007-05-30",67.529999
"103","2007-05-31",67.010002
"104","2007-06-01",67.610001
"105","2007-06-04",68.360001
"106","2007-06-05",67.459999
"107","2007-06-06",66.720001
"108","2007-06-07",66.18
"109","2007-06-08",66.970001
"110","2007-06-11",67.190002
"111","2007-06-12",66.949997
"112","2007-06-13",68.360001
"113","2007-06-14",68.860001
"114","2007-06-15",69.290001
"115","2007-06-18",69.269997
"116","2007-06-19",69.709999
"117","2007-06-20",68.889999
"118","2007-06-21",69.230003
"119","2007-06-22",69.760002
"120","2007-06-25",70.110001
"121","2007-06-26",70.400002
"122","2007-06-27",70.949997
"123","2007-06-28",71.800003
"124","2007-06-29",72.139999
"125","2007-07-02",73.300003
"126","2007-07-03",73.510002
"127","2007-07-05",72.919998
"128","2007-07-06",73.5
"129","2007-07-09",74.080002
"130","2007-07-10",73.620003
"131","2007-07-11",74
"132","2007-07-12",74.779999
"133","2007-07-13",75.010002
"134","2007-07-16",73.940002
"135","2007-07-17",73.93
"136","2007-07-18",74.529999
"137","2007-07-19",74.389999
