"","date","ABR"
"1","2007-01-03",29.889999
"2","2007-01-04",30.190001
"3","2007-01-05",29.559999
"4","2007-01-08",29.91
"5","2007-01-09",29.940001
"6","2007-01-10",29.950001
"7","2007-01-11",30.5
"8","2007-01-12",30.41
"9","2007-01-16",30.379999
"10","2007-01-17",30.52
"11","2007-01-18",30.49
"12","2007-01-19",31.16
"13","2007-01-22",31.040001
"14","2007-01-23",31.33
"15","2007-01-24",31.200001
"16","2007-01-25",31.200001
"17","2007-01-26",31.190001
"18","2007-01-29",31.530001
"19","2007-01-30",31.790001
"20","2007-01-31",31.91
"21","2007-02-01",31.83
"22","2007-02-02",31.780001
"23","2007-02-05",31.67
"24","2007-02-06",32.950001
"25","2007-02-07",32.849998
"26","2007-02-08",32.27
"27","2007-02-09",32.529999
"28","2007-02-12",32.380001
"29","2007-02-13",33.02
"30","2007-02-14",32.400002
"31","2007-02-15",33.110001
"32","2007-02-16",34.049999
"33","2007-02-20",34.029999
"34","2007-02-21",33.830002
"35","2007-02-22",33.75
"36","2007-02-23",33.099998
"37","2007-02-26",32.189999
"38","2007-02-27",31
"39","2007-02-28",30.790001
"40","2007-03-01",30.66
"41","2007-03-02",29.74
"42","2007-03-05",28.02
"43","2007-03-06",29.42
"44","2007-03-07",29.4
"45","2007-03-08",30.26
"46","2007-03-09",30.02
"47","2007-03-12",30.299999
"48","2007-03-13",29.049999
"49","2007-03-14",28.84
"50","2007-03-15",29.540001
"51","2007-03-16",29.639999
"52","2007-03-19",29.870001
"53","2007-03-20",30.290001
"54","2007-03-21",30.530001
"55","2007-03-22",30.65
"56","2007-03-23",30.530001
"57","2007-03-26",30.6
"58","2007-03-27",30.4
"59","2007-03-28",29.83
"60","2007-03-29",30.049999
"61","2007-03-30",30.440001
"62","2007-04-02",30.24
"63","2007-04-03",29.950001
"64","2007-04-04",29.799999
"65","2007-04-05",29.940001
"66","2007-04-09",30.200001
"67","2007-04-10",30.690001
"68","2007-04-11",30.42
"69","2007-04-12",30.58
"70","2007-04-13",30.98
"71","2007-04-16",31.27
"72","2007-04-17",31.790001
"73","2007-04-18",31.4
"74","2007-04-19",31.6
"75","2007-04-20",31.85
"76","2007-04-23",32.009998
"77","2007-04-24",31.559999
"78","2007-04-25",31.58
"79","2007-04-26",31.719999
"80","2007-04-27",31.629999
"81","2007-04-30",30.790001
"82","2007-05-01",30.9
"83","2007-05-02",30.99
"84","2007-05-03",30.940001
"85","2007-05-04",30.709999
"86","2007-05-07",30.48
"87","2007-05-08",29.780001
"88","2007-05-09",30.01
"89","2007-05-10",29.52
"90","2007-05-11",29.91
"91","2007-05-14",28.83
"92","2007-05-15",28.049999
"93","2007-05-16",28.549999
"94","2007-05-17",27.709999
"95","2007-05-18",27.549999
"96","2007-05-21",28.16
"97","2007-05-22",28.290001
"98","2007-05-23",28.379999
"99","2007-05-24",27.940001
"100","2007-05-25",27.92
"101","2007-05-29",28.219999
"102","2007-05-30",28.799999
