"","date","OFG"
"1","2007-01-03",12.89
"2","2007-01-04",13
"3","2007-01-05",12.99
"4","2007-01-08",12.9
"5","2007-01-09",12.76
"6","2007-01-10",12.31
"7","2007-01-11",12.85
"8","2007-01-12",12.97
"9","2007-01-16",12.78
"10","2007-01-17",12.68
"11","2007-01-18",12.58
"12","2007-01-19",12.8
"13","2007-01-22",12.72
"14","2007-01-23",12.7
"15","2007-01-24",12.51
"16","2007-01-25",12.47
"17","2007-01-26",12.41
"18","2007-01-29",12.99
"19","2007-01-30",12.94
"20","2007-01-31",12.82
"21","2007-02-01",12.95
"22","2007-02-02",12.9
"23","2007-02-05",12.68
"24","2007-02-06",12.74
"25","2007-02-07",12.91
"26","2007-02-08",12.95
"27","2007-02-09",12.83
"28","2007-02-12",12.99
"29","2007-02-13",12.98
"30","2007-02-14",12.94
"31","2007-02-15",12.86
"32","2007-02-16",13.28
"33","2007-02-20",13.27
"34","2007-02-21",13.86
"35","2007-02-22",14.04
"36","2007-02-23",13.95
"37","2007-02-26",13.63
"38","2007-02-27",13.15
"39","2007-02-28",12.81
"40","2007-03-01",12.86
"41","2007-03-02",12.49
"42","2007-03-05",12.07
"43","2007-03-06",12.33
"44","2007-03-07",12.23
"45","2007-03-08",12.19
"46","2007-03-09",12.19
"47","2007-03-12",12.24
"48","2007-03-13",11.89
"49","2007-03-14",12.01
"50","2007-03-15",12
"51","2007-03-16",11.88
"52","2007-03-19",12.07
"53","2007-03-20",11.97
"54","2007-03-21",12.41
"55","2007-03-22",12.62
"56","2007-03-23",12.38
"57","2007-03-26",12.43
"58","2007-03-27",12.26
"59","2007-03-28",11.88
"60","2007-03-29",11.65
"61","2007-03-30",11.78
"62","2007-04-02",11.62
"63","2007-04-03",11.82
"64","2007-04-04",11.69
"65","2007-04-05",11.56
"66","2007-04-09",11.46
"67","2007-04-10",11.53
"68","2007-04-11",11.38
"69","2007-04-12",11.17
"70","2007-04-13",11.11
"71","2007-04-16",11.58
"72","2007-04-17",11.78
"73","2007-04-18",11.57
"74","2007-04-19",11.2
"75","2007-04-20",11.45
"76","2007-04-23",11.56
"77","2007-04-24",11.5
"78","2007-04-25",11.4
"79","2007-04-26",11.51
"80","2007-04-27",11.69
"81","2007-04-30",11.57
"82","2007-05-01",11.54
"83","2007-05-02",11.57
"84","2007-05-03",11.64
"85","2007-05-04",11.88
"86","2007-05-07",12.33
"87","2007-05-08",12.42
"88","2007-05-09",12.28
"89","2007-05-10",11.79
"90","2007-05-11",12
"91","2007-05-14",11.87
"92","2007-05-15",11.8
"93","2007-05-16",11.85
"94","2007-05-17",11.71
"95","2007-05-18",11.67
"96","2007-05-21",11.79
"97","2007-05-22",11.98
"98","2007-05-23",12.09
"99","2007-05-24",12.06
"100","2007-05-25",11.86
"101","2007-05-29",12.09
"102","2007-05-30",11.99
"103","2007-05-31",12.09
"104","2007-06-01",12.24
"105","2007-06-04",12.23
"106","2007-06-05",11.75
"107","2007-06-06",11.84
"108","2007-06-07",11.66
"109","2007-06-08",11.81
"110","2007-06-11",11.52
"111","2007-06-12",11.15
"112","2007-06-13",11.35
"113","2007-06-14",11.35
"114","2007-06-15",11.26
"115","2007-06-18",11.29
"116","2007-06-19",11.05
"117","2007-06-20",11.07
"118","2007-06-21",11.15
"119","2007-06-22",11.05
"120","2007-06-25",11.02
"121","2007-06-26",11.11
"122","2007-06-27",10.81
"123","2007-06-28",11.13
"124","2007-06-29",10.91
"125","2007-07-02",11.05
"126","2007-07-03",11.1
"127","2007-07-05",10.92
"128","2007-07-06",10.86
"129","2007-07-09",11.1
"130","2007-07-10",10.54
"131","2007-07-11",10.45
"132","2007-07-12",10.69
"133","2007-07-13",10.62
"134","2007-07-16",10.3
"135","2007-07-17",10.1
"136","2007-07-18",10.02
"137","2007-07-19",10.03
"138","2007-07-20",9.96
"139","2007-07-23",10
"140","2007-07-24",9.61
"141","2007-07-25",9.4
"142","2007-07-26",9.03
"143","2007-07-27",8.64
"144","2007-07-30",8.59
"145","2007-07-31",8.92
"146","2007-08-01",9
"147","2007-08-02",9.01
"148","2007-08-03",8.57
"149","2007-08-06",8.96
"150","2007-08-07",9.03
"151","2007-08-08",9.31
"152","2007-08-09",8.97
"153","2007-08-10",9.24
"154","2007-08-13",9.01
"155","2007-08-14",8.75
"156","2007-08-15",8.92
"157","2007-08-16",10.05
"158","2007-08-17",10.24
"159","2007-08-20",10.26
"160","2007-08-21",10.29
"161","2007-08-22",10.54
"162","2007-08-23",10.34
"163","2007-08-24",10.55
"164","2007-08-27",10.37
"165","2007-08-28",10.31
"166","2007-08-29",10.69
"167","2007-08-30",10.44
"168","2007-08-31",10.42
"169","2007-09-04",10.28
"170","2007-09-05",10.05
"171","2007-09-06",10.18
"172","2007-09-07",10.06
"173","2007-09-10",9.97
"174","2007-09-11",10.16
"175","2007-09-12",10.07
"176","2007-09-13",9.95
"177","2007-09-14",10.07
"178","2007-09-17",9.91
"179","2007-09-18",10.4
"180","2007-09-19",11.02
"181","2007-09-20",11
"182","2007-09-21",10.96
"183","2007-09-24",11.1
"184","2007-09-25",11.02
"185","2007-09-26",11.26
"186","2007-09-27",11.63
"187","2007-09-28",11.5
"188","2007-10-01",11.9
"189","2007-10-02",12.23
"190","2007-10-03",12.04
"191","2007-10-04",12.2
"192","2007-10-05",12.21
"193","2007-10-08",12.02
"194","2007-10-09",12.14
"195","2007-10-10",12.35
"196","2007-10-11",12.41
"197","2007-10-12",12.16
"198","2007-10-15",11.86
"199","2007-10-16",11.6
"200","2007-10-17",11.57
"201","2007-10-18",11.43
"202","2007-10-19",11.36
"203","2007-10-22",11.66
"204","2007-10-23",11.51
"205","2007-10-24",11.49
"206","2007-10-25",11.23
"207","2007-10-26",11.49
"208","2007-10-29",12.3
"209","2007-10-30",12.12
"210","2007-10-31",12.49
"211","2007-11-01",11.73
"212","2007-11-02",11.62
"213","2007-11-05",11.89
"214","2007-11-06",11.89
"215","2007-11-07",11.33
"216","2007-11-08",11.45
"217","2007-11-09",11.4
"218","2007-11-12",11.86
"219","2007-11-13",12.21
"220","2007-11-14",11.94
"221","2007-11-15",11.68
"222","2007-11-16",11.38
"223","2007-11-19",11.12
"224","2007-11-20",12.23
"225","2007-11-21",12.44
"226","2007-11-23",12.8
"227","2007-11-26",12.69
"228","2007-11-27",13.1
"229","2007-11-28",13.89
"230","2007-11-29",13.67
"231","2007-11-30",13.48
"232","2007-12-03",12.91
"233","2007-12-04",12.91
"234","2007-12-05",13.66
"235","2007-12-06",13.89
"236","2007-12-07",13.8
"237","2007-12-10",14.16
"238","2007-12-11",13.92
"239","2007-12-12",13.3
"240","2007-12-13",13.9
"241","2007-12-14",13.39
"242","2007-12-17",13.58
"243","2007-12-18",14.02
"244","2007-12-19",14.12
"245","2007-12-20",14.15
"246","2007-12-21",14.6
"247","2007-12-24",14.42
"248","2007-12-26",14.7
"249","2007-12-27",13.82
"250","2007-12-28",13.64
"251","2007-12-31",13.41
"252","2008-01-02",13.23
"253","2008-01-03",13.24
"254","2008-01-04",12.97
"255","2008-01-07",13.09
"256","2008-01-08",12.79
"257","2008-01-09",13.36
"258","2008-01-10",13.9
"259","2008-01-11",13.54
"260","2008-01-14",13.91
"261","2008-01-15",14.15
"262","2008-01-16",14.66
"263","2008-01-17",14.09
"264","2008-01-18",13.43
"265","2008-01-22",14
"266","2008-01-23",14.98
"267","2008-01-24",14.95
"268","2008-01-25",14.33
"269","2008-01-28",15.01
"270","2008-01-29",14.93
"271","2008-01-30",15.09
"272","2008-01-31",15.97
"273","2008-02-01",15.82
"274","2008-02-04",16.459999
"275","2008-02-05",17.129999
"276","2008-02-06",16.879999
"277","2008-02-07",18.32
"278","2008-02-08",18.32
"279","2008-02-11",19.41
"280","2008-02-12",18.719999
"281","2008-02-13",20.24
"282","2008-02-14",19.459999
"283","2008-02-15",19.450001
"284","2008-02-19",19.549999
"285","2008-02-20",20.870001
"286","2008-02-21",20.459999
"287","2008-02-22",20.540001
"288","2008-02-25",21.02
"289","2008-02-26",21.02
"290","2008-02-27",21.889999
"291","2008-02-28",21.24
"292","2008-02-29",20.82
"293","2008-03-03",20.459999
"294","2008-03-04",20.540001
"295","2008-03-05",19.27
"296","2008-03-06",19.32
"297","2008-03-07",21
"298","2008-03-10",20.35
"299","2008-03-11",20.98
"300","2008-03-12",21.67
"301","2008-03-13",21.959999
"302","2008-03-14",20.450001
"303","2008-03-17",20.610001
"304","2008-03-18",22.07
"305","2008-03-19",21.860001
"306","2008-03-20",23.190001
"307","2008-03-24",23.26
"308","2008-03-25",23.280001
"309","2008-03-26",22.51
"310","2008-03-27",20.639999
"311","2008-03-28",19.809999
"312","2008-03-31",19.709999
"313","2008-04-01",20.15
"314","2008-04-02",19.950001
"315","2008-04-03",20
"316","2008-04-04",19.5
"317","2008-04-07",19.540001
"318","2008-04-08",19.950001
"319","2008-04-09",20
"320","2008-04-10",20.57
"321","2008-04-11",19.43
"322","2008-04-14",18.469999
"323","2008-04-15",18.75
"324","2008-04-16",19.58
"325","2008-04-17",19.76
"326","2008-04-18",20.24
"327","2008-04-21",19.43
"328","2008-04-22",19.219999
"329","2008-04-23",18.709999
"330","2008-04-24",19.719999
"331","2008-04-25",19.469999
"332","2008-04-28",19.33
"333","2008-04-29",19.030001
"334","2008-04-30",18.799999
"335","2008-05-01",19.15
"336","2008-05-02",19.23
"337","2008-05-05",19.790001
"338","2008-05-06",20.209999
"339","2008-05-07",19.889999
"340","2008-05-08",19.07
"341","2008-05-09",18.610001
"342","2008-05-12",19.25
"343","2008-05-13",19.700001
"344","2008-05-14",19.719999
"345","2008-05-15",19.200001
"346","2008-05-16",19.25
"347","2008-05-19",17.32
"348","2008-05-20",17.950001
"349","2008-05-21",17.67
"350","2008-05-22",17.969999
"351","2008-05-23",17.700001
"352","2008-05-27",17.9
"353","2008-05-28",17.780001
"354","2008-05-29",18.120001
"355","2008-05-30",18.200001
"356","2008-06-02",18.35
"357","2008-06-03",18.83
"358","2008-06-04",18.530001
"359","2008-06-05",18.9
"360","2008-06-06",18.200001
"361","2008-06-09",18.110001
"362","2008-06-10",18.09
"363","2008-06-11",17.780001
"364","2008-06-12",17.85
"365","2008-06-13",17.65
"366","2008-06-16",18.43
"367","2008-06-17",17.09
"368","2008-06-18",16.209999
"369","2008-06-19",17.030001
"370","2008-06-20",16.49
"371","2008-06-23",15.8
"372","2008-06-24",15.55
"373","2008-06-25",15.65
"374","2008-06-26",15.26
"375","2008-06-27",14.88
"376","2008-06-30",14.26
"377","2008-07-01",14.79
"378","2008-07-02",14.34
"379","2008-07-03",14.21
"380","2008-07-07",14.4
"381","2008-07-08",15.1
"382","2008-07-09",14.38
"383","2008-07-10",14.75
"384","2008-07-11",15.13
"385","2008-07-14",14.64
"386","2008-07-15",14.45
"387","2008-07-16",15.12
"388","2008-07-17",16.559999
"389","2008-07-18",16.09
"390","2008-07-21",16.030001
"391","2008-07-22",16.25
"392","2008-07-23",17.639999
"393","2008-07-24",16.93
"394","2008-07-25",16.790001
"395","2008-07-28",16.620001
"396","2008-07-29",17.33
"397","2008-07-30",17.549999
"398","2008-07-31",17.370001
"399","2008-08-01",18.280001
"400","2008-08-04",17.68
"401","2008-08-05",18.889999
"402","2008-08-06",18.780001
"403","2008-08-07",18.780001
"404","2008-08-08",19.280001
"405","2008-08-11",19.809999
"406","2008-08-12",19.92
"407","2008-08-13",19.200001
"408","2008-08-14",19
"409","2008-08-15",18.98
"410","2008-08-18",18.280001
"411","2008-08-19",17.75
"412","2008-08-20",17.27
"413","2008-08-21",16.9
"414","2008-08-22",17.85
"415","2008-08-25",17.26
"416","2008-08-26",16.969999
"417","2008-08-27",17.440001
"418","2008-08-28",17.49
"419","2008-08-29",17.280001
"420","2008-09-02",17.549999
"421","2008-09-03",17.85
"422","2008-09-04",17.139999
"423","2008-09-05",17.969999
"424","2008-09-08",18.49
"425","2008-09-09",18.469999
"426","2008-09-10",18.860001
"427","2008-09-11",18.799999
"428","2008-09-12",19.120001
"429","2008-09-15",18.370001
"430","2008-09-16",19.73
"431","2008-09-17",18.139999
"432","2008-09-18",20.99
"433","2008-09-19",19.24
"434","2008-09-22",17.26
"435","2008-09-23",17.9
"436","2008-09-24",18.68
"437","2008-09-25",19.190001
"438","2008-09-26",18.139999
