"","date","HOLX"
"1","2007-01-03",23.905001
"2","2007-01-04",23.969999
"3","2007-01-05",23.565001
"4","2007-01-08",23.59
"5","2007-01-09",23.5
"6","2007-01-10",23.139999
"7","2007-01-11",23.334999
"8","2007-01-12",24.295
"9","2007-01-16",24.135
"10","2007-01-17",24.525
"11","2007-01-18",24.73
"12","2007-01-19",25.190001
"13","2007-01-22",25.155001
"14","2007-01-23",25.205
"15","2007-01-24",25.635
"16","2007-01-25",25.014999
"17","2007-01-26",24.905001
"18","2007-01-29",24.75
"19","2007-01-30",24.355
"20","2007-01-31",27.725
"21","2007-02-01",28.58
"22","2007-02-02",27.969999
"23","2007-02-05",27.785
"24","2007-02-06",27.625
"25","2007-02-07",27.885
"26","2007-02-08",27.575001
"27","2007-02-09",26.844999
"28","2007-02-12",26.809999
"29","2007-02-13",27.135
"30","2007-02-14",27.965
"31","2007-02-15",28
"32","2007-02-16",28.129999
"33","2007-02-20",28.57
"34","2007-02-21",29.52
"35","2007-02-22",29.235001
"36","2007-02-23",29.32
"37","2007-02-26",29.035
"38","2007-02-27",27.35
"39","2007-02-28",27.525
"40","2007-03-01",27.18
"41","2007-03-02",26.815001
"42","2007-03-05",26.75
"43","2007-03-06",27.594999
"44","2007-03-07",27.25
"45","2007-03-08",27.315001
"46","2007-03-09",27.525
"47","2007-03-12",28.105
"48","2007-03-13",27.530001
"49","2007-03-14",27.709999
"50","2007-03-15",27.610001
"51","2007-03-16",27.059999
"52","2007-03-19",28.385
"53","2007-03-20",28.745001
"54","2007-03-21",29.334999
"55","2007-03-22",29.695
"56","2007-03-23",29.57
"57","2007-03-26",29.985001
"58","2007-03-27",29.610001
"59","2007-03-28",29.065001
"60","2007-03-29",28.965
"61","2007-03-30",28.82
"62","2007-04-02",30.65
"63","2007-04-03",30.575001
"64","2007-04-04",30.610001
"65","2007-04-05",29.98
"66","2007-04-09",29.77
"67","2007-04-10",29.665001
"68","2007-04-11",29.325001
"69","2007-04-12",29.725
"70","2007-04-13",29.764999
"71","2007-04-16",30.004999
"72","2007-04-17",29.709999
