"","date","PTSI"
"1","2007-01-03",22.48
"2","2007-01-04",22.799999
"3","2007-01-05",21.73
"4","2007-01-08",21.620001
"5","2007-01-09",22.73
"6","2007-01-10",21.52
"7","2007-01-11",21.57
"8","2007-01-12",22.370001
"9","2007-01-16",22.559999
"10","2007-01-17",22.25
"11","2007-01-18",21.6
"12","2007-01-19",21.09
"13","2007-01-22",20.940001
"14","2007-01-23",21.76
"15","2007-01-24",21.9
"16","2007-01-25",21.780001
"17","2007-01-26",21.700001
"18","2007-01-29",21.940001
"19","2007-01-30",21.77
"20","2007-01-31",21.98
"21","2007-02-01",21.889999
"22","2007-02-02",21.709999
"23","2007-02-05",22.1
"24","2007-02-06",22.33
"25","2007-02-07",25.08
"26","2007-02-08",23.58
"27","2007-02-09",23.309999
"28","2007-02-12",23.41
"29","2007-02-13",23.4
"30","2007-02-14",23.91
"31","2007-02-15",23.799999
"32","2007-02-16",23.52
"33","2007-02-20",24
"34","2007-02-21",24.52
"35","2007-02-22",24.690001
"36","2007-02-23",24.049999
"37","2007-02-26",23.280001
"38","2007-02-27",22.91
"39","2007-02-28",22.9
"40","2007-03-01",23.360001
"41","2007-03-02",22.6
"42","2007-03-05",22.280001
"43","2007-03-06",22.35
"44","2007-03-07",21.709999
"45","2007-03-08",21.1
"46","2007-03-09",21.01
"47","2007-03-12",21
"48","2007-03-13",19.65
"49","2007-03-14",19.92
"50","2007-03-15",20.5
"51","2007-03-16",20.200001
"52","2007-03-19",20.07
"53","2007-03-20",19.75
"54","2007-03-21",21.35
"55","2007-03-22",20.75
"56","2007-03-23",20.65
"57","2007-03-26",21.280001
"58","2007-03-27",21.16
"59","2007-03-28",20.809999
"60","2007-03-29",20.92
"61","2007-03-30",20.620001
"62","2007-04-02",20.77
"63","2007-04-03",21.48
"64","2007-04-04",20.76
"65","2007-04-05",20.290001
"66","2007-04-09",20.09
"67","2007-04-10",19.879999
"68","2007-04-11",20.24
"69","2007-04-12",19.940001
"70","2007-04-13",20.200001
"71","2007-04-16",21.26
"72","2007-04-17",20.870001
"73","2007-04-18",20.98
"74","2007-04-19",20.709999
"75","2007-04-20",20.200001
"76","2007-04-23",20.120001
"77","2007-04-24",20.24
"78","2007-04-25",19.959999
"79","2007-04-26",19.51
"80","2007-04-27",19.370001
"81","2007-04-30",19.07
"82","2007-05-01",18.91
"83","2007-05-02",20.309999
"84","2007-05-03",19.540001
"85","2007-05-04",18.93
"86","2007-05-07",18.950001
"87","2007-05-08",18.98
"88","2007-05-09",18.950001
"89","2007-05-10",18.049999
"90","2007-05-11",17.780001
"91","2007-05-14",17.51
"92","2007-05-15",17.4
"93","2007-05-16",17.290001
"94","2007-05-17",17.889999
"95","2007-05-18",18.030001
"96","2007-05-21",18.07
"97","2007-05-22",18.92
"98","2007-05-23",18.32
"99","2007-05-24",18.09
"100","2007-05-25",17.879999
"101","2007-05-29",18.51
"102","2007-05-30",18.83
"103","2007-05-31",18.360001
"104","2007-06-01",18.639999
"105","2007-06-04",18.549999
"106","2007-06-05",18.309999
"107","2007-06-06",18.18
"108","2007-06-07",18.139999
"109","2007-06-08",18.34
"110","2007-06-11",18.700001
"111","2007-06-12",19.16
"112","2007-06-13",19.780001
"113","2007-06-14",19.49
"114","2007-06-15",19.85
"115","2007-06-18",19.610001
"116","2007-06-19",19.1
