"","date","MFA"
"1","2007-01-03",7.64
"2","2007-01-04",7.64
"3","2007-01-05",7.4
"4","2007-01-08",7.42
"5","2007-01-09",7.44
"6","2007-01-10",7.43
"7","2007-01-11",7.47
"8","2007-01-12",7.45
"9","2007-01-16",7.38
"10","2007-01-17",7.32
"11","2007-01-18",7.3
"12","2007-01-19",7.4
"13","2007-01-22",7.31
"14","2007-01-23",7.35
"15","2007-01-24",7.43
"16","2007-01-25",7.36
"17","2007-01-26",7.38
"18","2007-01-29",7.34
"19","2007-01-30",7.53
"20","2007-01-31",7.44
"21","2007-02-01",7.44
"22","2007-02-02",7.45
"23","2007-02-05",7.37
"24","2007-02-06",7.4
"25","2007-02-07",7.44
"26","2007-02-08",7.34
"27","2007-02-09",7.13
"28","2007-02-12",7.24
"29","2007-02-13",7.24
"30","2007-02-14",7.2
"31","2007-02-15",7.13
"32","2007-02-16",7.24
"33","2007-02-20",7.33
"34","2007-02-21",7.22
"35","2007-02-22",7.27
"36","2007-02-23",7.24
"37","2007-02-26",7.27
"38","2007-02-27",7.25
"39","2007-02-28",7.41
"40","2007-03-01",7.4
"41","2007-03-02",7.19
"42","2007-03-05",7.01
"43","2007-03-06",7.3
"44","2007-03-07",7.09
"45","2007-03-08",7.12
"46","2007-03-09",7.12
"47","2007-03-12",7
"48","2007-03-13",6.82
"49","2007-03-14",7.01
"50","2007-03-15",7.14
"51","2007-03-16",7.03
"52","2007-03-19",7.08
"53","2007-03-20",7.13
"54","2007-03-21",7.38
"55","2007-03-22",7.46
"56","2007-03-23",7.35
"57","2007-03-26",7.35
"58","2007-03-27",7.42
"59","2007-03-28",7.67
"60","2007-03-29",7.64
"61","2007-03-30",7.7
"62","2007-04-02",7.84
"63","2007-04-03",7.89
"64","2007-04-04",7.88
"65","2007-04-05",7.91
"66","2007-04-09",7.65
"67","2007-04-10",7.53
"68","2007-04-11",7.6
"69","2007-04-12",7.69
"70","2007-04-13",7.73
"71","2007-04-16",7.71
"72","2007-04-17",7.72
"73","2007-04-18",7.62
"74","2007-04-19",7.45
"75","2007-04-20",7.48
"76","2007-04-23",7.48
"77","2007-04-24",7.49
"78","2007-04-25",7.49
"79","2007-04-26",7.42
"80","2007-04-27",7.39
"81","2007-04-30",7.3
"82","2007-05-01",7.32
"83","2007-05-02",7.64
"84","2007-05-03",7.7
"85","2007-05-04",7.69
"86","2007-05-07",7.7
"87","2007-05-08",7.71
"88","2007-05-09",7.7
"89","2007-05-10",7.56
"90","2007-05-11",7.64
"91","2007-05-14",7.57
"92","2007-05-15",7.5
"93","2007-05-16",7.59
"94","2007-05-17",7.46
"95","2007-05-18",7.42
"96","2007-05-21",7.46
"97","2007-05-22",7.56
"98","2007-05-23",7.5
"99","2007-05-24",7.3
"100","2007-05-25",7.41
"101","2007-05-29",7.47
"102","2007-05-30",7.47
"103","2007-05-31",7.52
"104","2007-06-01",7.41
"105","2007-06-04",7.37
"106","2007-06-05",7.24
"107","2007-06-06",7.17
"108","2007-06-07",7.1
"109","2007-06-08",7.21
"110","2007-06-11",7.1
"111","2007-06-12",7.01
"112","2007-06-13",7.2
"113","2007-06-14",7.33
"114","2007-06-15",7.3
"115","2007-06-18",7.35
"116","2007-06-19",7.37
"117","2007-06-20",7.22
"118","2007-06-21",7.22
"119","2007-06-22",7.25
"120","2007-06-25",7.04
"121","2007-06-26",7
"122","2007-06-27",7.19
"123","2007-06-28",7.28
"124","2007-06-29",7.28
"125","2007-07-02",7.32
"126","2007-07-03",7.4
"127","2007-07-05",7.32
"128","2007-07-06",7.28
"129","2007-07-09",7.31
"130","2007-07-10",7.14
"131","2007-07-11",7.07
"132","2007-07-12",7.22
"133","2007-07-13",7.1
"134","2007-07-16",7.12
"135","2007-07-17",7.18
"136","2007-07-18",7.18
"137","2007-07-19",7.22
"138","2007-07-20",7.12
"139","2007-07-23",7.18
"140","2007-07-24",7.12
"141","2007-07-25",7.13
"142","2007-07-26",7.16
"143","2007-07-27",7.2
"144","2007-07-30",7.05
"145","2007-07-31",7.02
"146","2007-08-01",7.03
"147","2007-08-02",7.06
"148","2007-08-03",6.97
"149","2007-08-06",7.15
"150","2007-08-07",6.84
"151","2007-08-08",7
"152","2007-08-09",7.08
"153","2007-08-10",7
"154","2007-08-13",6.86
"155","2007-08-14",6.4
"156","2007-08-15",6.01
"157","2007-08-16",6.47
"158","2007-08-17",6.98
"159","2007-08-20",7.41
"160","2007-08-21",7.7
"161","2007-08-22",7.8
"162","2007-08-23",7.4
"163","2007-08-24",7.5
"164","2007-08-27",7.57
"165","2007-08-28",7.44
"166","2007-08-29",7.62
"167","2007-08-30",7.65
"168","2007-08-31",7.75
"169","2007-09-04",7.7
"170","2007-09-05",7.46
"171","2007-09-06",7.39
"172","2007-09-07",7.71
"173","2007-09-10",7.91
"174","2007-09-11",8.04
"175","2007-09-12",7.81
"176","2007-09-13",7.82
"177","2007-09-14",7.79
"178","2007-09-17",7.77
"179","2007-09-18",8.16
"180","2007-09-19",8.4
"181","2007-09-20",8.14
"182","2007-09-21",8.26
"183","2007-09-24",7.95
"184","2007-09-25",7.9
"185","2007-09-26",7.96
"186","2007-09-27",7.95
"187","2007-09-28",8.05
"188","2007-10-01",8.19
"189","2007-10-02",8
"190","2007-10-03",8.2
"191","2007-10-04",8.25
"192","2007-10-05",8.27
"193","2007-10-08",8.2
"194","2007-10-09",8.05
"195","2007-10-10",8.14
"196","2007-10-11",8.13
"197","2007-10-12",8.13
"198","2007-10-15",8.07
"199","2007-10-16",8.07
"200","2007-10-17",8.14
"201","2007-10-18",8.5
"202","2007-10-19",8.56
"203","2007-10-22",8.74
"204","2007-10-23",8.7
"205","2007-10-24",8.6
"206","2007-10-25",8.64
"207","2007-10-26",8.68
"208","2007-10-29",8.6
"209","2007-10-30",8.69
"210","2007-10-31",8.56
"211","2007-11-01",8.38
"212","2007-11-02",8.17
"213","2007-11-05",8.42
"214","2007-11-06",8.26
"215","2007-11-07",7.95
"216","2007-11-08",8.09
"217","2007-11-09",8.05
"218","2007-11-12",8.02
"219","2007-11-13",8.09
"220","2007-11-14",8
"221","2007-11-15",8.1
"222","2007-11-16",8.09
"223","2007-11-19",8.11
"224","2007-11-20",7.8
"225","2007-11-21",7.91
"226","2007-11-23",7.99
"227","2007-11-26",7.86
"228","2007-11-27",8.11
"229","2007-11-28",8.35
"230","2007-11-29",8.19
