"","date","LC"
"1","2014-12-11",117.150002
"2","2014-12-12",123.449997
"3","2014-12-15",124.849998
"4","2014-12-16",130
"5","2014-12-17",139.5
"6","2014-12-18",134.699997
"7","2014-12-19",126.050003
"8","2014-12-22",120.300003
"9","2014-12-23",115.400002
"10","2014-12-24",126.599998
"11","2014-12-26",128.699997
"12","2014-12-29",124.900002
"13","2014-12-30",129.149994
"14","2014-12-31",126.5
"15","2015-01-02",124.650002
"16","2015-01-05",120
"17","2015-01-06",114.449997
"18","2015-01-07",114.400002
"19","2015-01-08",115.800003
"20","2015-01-09",115.050003
"21","2015-01-12",105.050003
"22","2015-01-13",105.650002
"23","2015-01-14",105.300003
"24","2015-01-15",110.449997
"25","2015-01-16",110.449997
"26","2015-01-20",110.349998
"27","2015-01-21",100.849998
"28","2015-01-22",97.449997
"29","2015-01-23",95.400002
"30","2015-01-26",99.949997
"31","2015-01-27",102.949997
"32","2015-01-28",100.400002
"33","2015-01-29",97.199997
"34","2015-01-30",93.849998
"35","2015-02-02",96.300003
"36","2015-02-03",101.449997
"37","2015-02-04",100.300003
"38","2015-02-05",101.400002
"39","2015-02-06",102.150002
"40","2015-02-09",108
"41","2015-02-10",106.300003
"42","2015-02-11",110.75
"43","2015-02-12",107.349998
"44","2015-02-13",109.75
"45","2015-02-17",112.5
"46","2015-02-18",113.400002
"47","2015-02-19",110.199997
"48","2015-02-20",114.449997
"49","2015-02-23",118.800003
"50","2015-02-24",118.25
"51","2015-02-25",102.550003
"52","2015-02-26",106.449997
"53","2015-02-27",101.849998
"54","2015-03-02",100
"55","2015-03-03",100.150002
"56","2015-03-04",100.400002
"57","2015-03-05",99.300003
"58","2015-03-06",100.099998
"59","2015-03-09",99.199997
"60","2015-03-10",97.599998
"61","2015-03-11",97.75
"62","2015-03-12",97.650002
"63","2015-03-13",95.349998
"64","2015-03-16",96.25
"65","2015-03-17",96
"66","2015-03-18",95.849998
"67","2015-03-19",99.599998
"68","2015-03-20",100.449997
"69","2015-03-23",104.099998
"70","2015-03-24",101.550003
"71","2015-03-25",98.650002
"72","2015-03-26",97.449997
"73","2015-03-27",97.75
"74","2015-03-30",96.800003
"75","2015-03-31",98.25
"76","2015-04-01",95.449997
"77","2015-04-02",96.300003
"78","2015-04-06",97
"79","2015-04-07",95.800003
"80","2015-04-08",95.300003
"81","2015-04-09",92
"82","2015-04-10",90.949997
"83","2015-04-13",90.199997
"84","2015-04-14",94
"85","2015-04-15",96.949997
"86","2015-04-16",97.550003
"87","2015-04-17",96.099998
"88","2015-04-20",96.949997
"89","2015-04-21",96.75
"90","2015-04-22",95.050003
"91","2015-04-23",94.150002
"92","2015-04-24",91.349998
"93","2015-04-27",90.25
"94","2015-04-28",90.099998
"95","2015-04-29",88.349998
"96","2015-04-30",87.25
"97","2015-05-01",89.349998
"98","2015-05-04",92.449997
"99","2015-05-05",87.900002
"100","2015-05-06",91.550003
"101","2015-05-07",86.5
"102","2015-05-08",81.150002
"103","2015-05-11",84.199997
"104","2015-05-12",85.800003
"105","2015-05-13",85.25
"106","2015-05-14",85.550003
"107","2015-05-15",86.050003
"108","2015-05-18",86.800003
"109","2015-05-19",88.099998
"110","2015-05-20",88.300003
"111","2015-05-21",89.5
"112","2015-05-22",92.150002
"113","2015-05-26",92.300003
"114","2015-05-27",95
"115","2015-05-28",95
"116","2015-05-29",96.050003
"117","2015-06-01",95.400002
"118","2015-06-02",94.900002
"119","2015-06-03",96.650002
"120","2015-06-04",91.599998
"121","2015-06-05",93.599998
"122","2015-06-08",87.300003
"123","2015-06-09",84.849998
"124","2015-06-10",87.099998
"125","2015-06-11",86.949997
"126","2015-06-12",86.400002
"127","2015-06-15",85.349998
"128","2015-06-16",86.199997
"129","2015-06-17",87.25
"130","2015-06-18",85.349998
"131","2015-06-19",86.5
"132","2015-06-22",84.300003
"133","2015-06-23",82.75
"134","2015-06-24",81.300003
"135","2015-06-25",80.300003
"136","2015-06-26",76.25
"137","2015-06-29",72.699997
"138","2015-06-30",73.75
"139","2015-07-01",72.849998
"140","2015-07-02",69.75
"141","2015-07-06",73.75
"142","2015-07-07",71.5
"143","2015-07-08",70.650002
"144","2015-07-09",71
"145","2015-07-10",70.25
"146","2015-07-13",71.349998
"147","2015-07-14",71.300003
"148","2015-07-15",71.5
"149","2015-07-16",73.75
"150","2015-07-17",74.75
"151","2015-07-20",73.099998
"152","2015-07-21",75.050003
