"","date","PSTX"
"1","2020-07-10",15.35
"2","2020-07-13",13.48
"3","2020-07-14",13.01
"4","2020-07-15",14.02
"5","2020-07-16",15.5
"6","2020-07-17",16.1
"7","2020-07-20",16.25
"8","2020-07-21",15.04
"9","2020-07-22",15.78
"10","2020-07-23",15.62
"11","2020-07-24",15.44
"12","2020-07-27",14.3
"13","2020-07-28",13.03
"14","2020-07-29",12.96
"15","2020-07-30",13.33
"16","2020-07-31",12.98
"17","2020-08-03",13.41
"18","2020-08-04",13.08
"19","2020-08-05",12.9
"20","2020-08-06",12.68
"21","2020-08-07",12.83
"22","2020-08-10",12.96
"23","2020-08-11",12
"24","2020-08-12",11.5
"25","2020-08-13",12.99
"26","2020-08-14",13.1
"27","2020-08-17",13
"28","2020-08-18",9.06
"29","2020-08-19",8.86
"30","2020-08-20",9.11
"31","2020-08-21",8.61
"32","2020-08-24",8.55
"33","2020-08-25",8.09
"34","2020-08-26",8.8
"35","2020-08-27",8.61
"36","2020-08-28",9.23
"37","2020-08-31",9.39
"38","2020-09-01",9.36
"39","2020-09-02",9.43
"40","2020-09-03",9.53
"41","2020-09-04",9.3
"42","2020-09-08",9.36
"43","2020-09-09",9.48
"44","2020-09-10",9.35
"45","2020-09-11",9.5
"46","2020-09-14",9.89
"47","2020-09-15",9.92
"48","2020-09-16",9.76
"49","2020-09-17",9.5
"50","2020-09-18",9.67
"51","2020-09-21",9.55
"52","2020-09-22",10.08
"53","2020-09-23",9.5
"54","2020-09-24",9.18
"55","2020-09-25",9.43
"56","2020-09-28",9.36
"57","2020-09-29",9
"58","2020-09-30",8.87
"59","2020-10-01",8.5
"60","2020-10-02",8.29
"61","2020-10-05",8.7
"62","2020-10-06",8.9
"63","2020-10-07",9.47
"64","2020-10-08",9.16
"65","2020-10-09",9.06
"66","2020-10-12",9.8
"67","2020-10-13",10.43
"68","2020-10-14",11
"69","2020-10-15",11.33
"70","2020-10-16",11.31
"71","2020-10-19",10.82
"72","2020-10-20",10.83
"73","2020-10-21",10
"74","2020-10-22",11
"75","2020-10-23",10.98
"76","2020-10-26",11.5
"77","2020-10-27",11.7
"78","2020-10-28",11.09
"79","2020-10-29",11.37
"80","2020-10-30",11.51
"81","2020-11-02",10.81
"82","2020-11-03",11
"83","2020-11-04",11.07
"84","2020-11-05",11.28
"85","2020-11-06",10.14
"86","2020-11-09",10.3
"87","2020-11-10",9.95
"88","2020-11-11",10.46
"89","2020-11-12",10.64
"90","2020-11-13",10.5
"91","2020-11-16",10.95
"92","2020-11-17",11.07
"93","2020-11-18",10.93
"94","2020-11-19",11.06
"95","2020-11-20",11.03
"96","2020-11-23",11.22
"97","2020-11-24",11.1
"98","2020-11-25",11.46
"99","2020-11-27",11.6
