"","date","WPF"
"1","2020-07-17",10.4
"2","2020-07-20",10.41
"3","2020-07-21",10.45
"4","2020-07-22",10.45
"5","2020-07-23",10.52
"6","2020-07-24",10.55
"7","2020-07-27",10.45
"8","2020-07-28",10.35
"9","2020-07-29",10.35
"10","2020-07-30",10.25
"11","2020-07-31",10.28
"12","2020-08-03",10.25
"13","2020-08-04",10.25
"14","2020-08-05",10.16
"15","2020-08-06",10.22
"16","2020-08-07",10.37
"17","2020-08-10",10.25
"18","2020-08-11",10.33
"19","2020-08-12",10.25
"20","2020-08-13",10.25
"21","2020-08-14",10.24
"22","2020-08-17",10.23
"23","2020-08-18",10.12
"24","2020-08-19",10.09
"25","2020-08-20",10.1
"26","2020-08-21",10.09
"27","2020-08-24",10.13
"28","2020-08-25",10.15
"29","2020-08-26",10.28
"30","2020-08-27",10.18
"31","2020-08-28",10.15
"32","2020-08-31",10.1
"33","2020-09-01",10.23
"34","2020-09-02",10.28
"35","2020-09-03",10.16
"36","2020-09-04",10.35
"37","2020-09-08",10.5
"38","2020-09-09",10.57
"39","2020-09-10",10.35
"40","2020-09-11",10.41
"41","2020-09-14",10.34
"42","2020-09-15",10.3
"43","2020-09-16",10.4
"44","2020-09-17",10.39
"45","2020-09-18",10.49
"46","2020-09-21",10.46
"47","2020-09-22",10.4
"48","2020-09-23",10.26
"49","2020-09-24",10.256
"50","2020-09-25",10.285
"51","2020-09-28",10.305
"52","2020-09-29",10.429
"53","2020-09-30",10.36
"54","2020-10-01",10.4
"55","2020-10-02",10.35
"56","2020-10-05",10.33
"57","2020-10-06",10.26
"58","2020-10-07",10.27
"59","2020-10-08",10.24
"60","2020-10-09",10.38
"61","2020-10-12",10.305
"62","2020-10-13",10.228
"63","2020-10-14",10.14
"64","2020-10-15",10.15
"65","2020-10-16",10.11
"66","2020-10-19",10.13
"67","2020-10-20",10.06
"68","2020-10-21",10.12
"69","2020-10-22",10.1
"70","2020-10-23",10.09
"71","2020-10-26",10.02
"72","2020-10-27",10.02
"73","2020-10-28",9.97
"74","2020-10-29",9.9
"75","2020-10-30",10.05
"76","2020-11-02",9.98
"77","2020-11-03",10
"78","2020-11-04",10
"79","2020-11-05",10
"80","2020-11-06",10.045
"81","2020-11-09",10.15
"82","2020-11-10",10
"83","2020-11-11",10.05
"84","2020-11-12",10
"85","2020-11-13",10.05
"86","2020-11-16",10.06
"87","2020-11-17",10.01
"88","2020-11-18",10.01
"89","2020-11-19",10
"90","2020-11-20",10.04
"91","2020-11-23",10.06
"92","2020-11-24",10.19
"93","2020-11-25",10.2
"94","2020-11-27",10.17
