"","date","AEO"
"1","2007-01-03",32.529999
"2","2007-01-04",32.98
"3","2007-01-05",32.32
"4","2007-01-08",32.59
"5","2007-01-09",32.799999
"6","2007-01-10",32.700001
"7","2007-01-11",33
"8","2007-01-12",33.759998
"9","2007-01-16",34.34
"10","2007-01-17",33.720001
"11","2007-01-18",34.139999
"12","2007-01-19",34.02
"13","2007-01-22",33.369999
"14","2007-01-23",32.849998
"15","2007-01-24",33.279999
"16","2007-01-25",32.389999
"17","2007-01-26",31.940001
"18","2007-01-29",31.82
"19","2007-01-30",31.43
"20","2007-01-31",32.380001
"21","2007-02-01",32.860001
"22","2007-02-02",32.279999
"23","2007-02-05",32.34
"24","2007-02-06",32.470001
"25","2007-02-07",32.669998
"26","2007-02-08",32.549999
"27","2007-02-09",31.65
"28","2007-02-12",31.309999
"29","2007-02-13",30.940001
"30","2007-02-14",31.74
"31","2007-02-15",32.110001
"32","2007-02-16",31.629999
"33","2007-02-20",32.23
"34","2007-02-21",32.080002
"35","2007-02-22",31.59
"36","2007-02-23",31.799999
"37","2007-02-26",31.290001
"38","2007-02-27",30.52
"39","2007-02-28",31.049999
"40","2007-03-01",30.82
"41","2007-03-02",29.799999
"42","2007-03-05",28.870001
"43","2007-03-06",29.83
"44","2007-03-07",28.969999
"45","2007-03-08",30.25
"46","2007-03-09",30.26
"47","2007-03-12",30.719999
"48","2007-03-13",29.58
"49","2007-03-14",30.5
"50","2007-03-15",29.98
"51","2007-03-16",29.889999
"52","2007-03-19",30
"53","2007-03-20",30.27
"54","2007-03-21",30.440001
"55","2007-03-22",30.52
"56","2007-03-23",30.9
"57","2007-03-26",30.629999
"58","2007-03-27",30.51
"59","2007-03-28",30.34
"60","2007-03-29",29.940001
"61","2007-03-30",29.99
"62","2007-04-02",29.940001
"63","2007-04-03",30.24
"64","2007-04-04",30.129999
"65","2007-04-05",29.9
"66","2007-04-09",29.629999
"67","2007-04-10",30.450001
"68","2007-04-11",30.07
"69","2007-04-12",31.18
"70","2007-04-13",30.51
"71","2007-04-16",30.67
"72","2007-04-17",30.370001
"73","2007-04-18",30.27
"74","2007-04-19",30.25
"75","2007-04-20",30.889999
"76","2007-04-23",30.5
"77","2007-04-24",30.139999
"78","2007-04-25",29.93
"79","2007-04-26",30.459999
"80","2007-04-27",29.93
"81","2007-04-30",29.469999
"82","2007-05-01",29.450001
"83","2007-05-02",29.559999
"84","2007-05-03",28.309999
"85","2007-05-04",28.780001
"86","2007-05-07",28.48
"87","2007-05-08",28
"88","2007-05-09",28.98
"89","2007-05-10",28.459999
"90","2007-05-11",29.139999
"91","2007-05-14",28.42
"92","2007-05-15",28.59
"93","2007-05-16",28.66
"94","2007-05-17",28.66
"95","2007-05-18",29.049999
"96","2007-05-21",29.33
"97","2007-05-22",28.059999
"98","2007-05-23",27.780001
"99","2007-05-24",27.389999
"100","2007-05-25",27.129999
"101","2007-05-29",26.940001
"102","2007-05-30",27.09
"103","2007-05-31",27
"104","2007-06-01",27.200001
"105","2007-06-04",26.93
"106","2007-06-05",26.629999
"107","2007-06-06",27.01
"108","2007-06-07",26.24
"109","2007-06-08",26.049999
"110","2007-06-11",26.209999
"111","2007-06-12",26.02
"112","2007-06-13",26.57
"113","2007-06-14",26.41
"114","2007-06-15",26.01
"115","2007-06-18",26.870001
"116","2007-06-19",26.959999
"117","2007-06-20",26.719999
"118","2007-06-21",26.42
"119","2007-06-22",26.120001
"120","2007-06-25",26.110001
"121","2007-06-26",25.629999
"122","2007-06-27",25.48
"123","2007-06-28",25.49
"124","2007-06-29",25.66
"125","2007-07-02",25.82
"126","2007-07-03",25.75
"127","2007-07-05",25.719999
"128","2007-07-06",26.559999
"129","2007-07-09",25.879999
"130","2007-07-10",26.41
"131","2007-07-11",26.030001
"132","2007-07-12",27.709999
"133","2007-07-13",27.620001
"134","2007-07-16",27.32
"135","2007-07-17",27.469999
"136","2007-07-18",26.85
"137","2007-07-19",27.82
"138","2007-07-20",27.33
"139","2007-07-23",27.26
"140","2007-07-24",26.6
"141","2007-07-25",25.93
"142","2007-07-26",25.26
"143","2007-07-27",24.76
"144","2007-07-30",24.85
"145","2007-07-31",24.26
"146","2007-08-01",24.58
"147","2007-08-02",24.700001
"148","2007-08-03",23.5
"149","2007-08-06",23.6
"150","2007-08-07",24.299999
"151","2007-08-08",23.84
"152","2007-08-09",22.4
"153","2007-08-10",22.629999
"154","2007-08-13",22.809999
"155","2007-08-14",22.450001
"156","2007-08-15",22.139999
"157","2007-08-16",22.040001
"158","2007-08-17",22.23
"159","2007-08-20",23.01
"160","2007-08-21",22.809999
"161","2007-08-22",23.809999
"162","2007-08-23",23.969999
"163","2007-08-24",25.85
"164","2007-08-27",25.200001
"165","2007-08-28",24.48
"166","2007-08-29",25.5
"167","2007-08-30",25.4
"168","2007-08-31",25.83
"169","2007-09-04",25.41
"170","2007-09-05",25.15
"171","2007-09-06",24.709999
"172","2007-09-07",23.82
"173","2007-09-10",23.17
"174","2007-09-11",25.309999
"175","2007-09-12",25.25
"176","2007-09-13",25.49
"177","2007-09-14",25.549999
"178","2007-09-17",25.610001
"179","2007-09-18",26.74
"180","2007-09-19",26.299999
"181","2007-09-20",25.620001
"182","2007-09-21",25.799999
"183","2007-09-24",25.75
"184","2007-09-25",25.07
"185","2007-09-26",26.43
"186","2007-09-27",26.219999
"187","2007-09-28",26.309999
"188","2007-10-01",25.860001
"189","2007-10-02",25.549999
"190","2007-10-03",24.99
"191","2007-10-04",24.440001
"192","2007-10-05",25.43
"193","2007-10-08",24.549999
"194","2007-10-09",24.9
"195","2007-10-10",24.58
"196","2007-10-11",24.950001
"197","2007-10-12",24.43
"198","2007-10-15",24.049999
"199","2007-10-16",23.620001
"200","2007-10-17",23.690001
"201","2007-10-18",23.299999
"202","2007-10-19",22.68
"203","2007-10-22",22.93
"204","2007-10-23",22.360001
"205","2007-10-24",22.309999
"206","2007-10-25",22.5
"207","2007-10-26",23.02
"208","2007-10-29",23.959999
"209","2007-10-30",24.07
"210","2007-10-31",23.780001
"211","2007-11-01",22.6
"212","2007-11-02",22.549999
"213","2007-11-05",21.93
"214","2007-11-06",22.57
"215","2007-11-07",21.870001
"216","2007-11-08",22.280001
"217","2007-11-09",21.6
"218","2007-11-12",22
"219","2007-11-13",23.18
"220","2007-11-14",22.809999
"221","2007-11-15",22.459999
"222","2007-11-16",22.15
"223","2007-11-19",21.51
"224","2007-11-20",21.52
"225","2007-11-21",21.26
"226","2007-11-23",22.049999
"227","2007-11-26",21.370001
"228","2007-11-27",21.219999
"229","2007-11-28",22.059999
"230","2007-11-29",21.879999
"231","2007-11-30",22.889999
"232","2007-12-03",22.940001
"233","2007-12-04",22.610001
"234","2007-12-05",22.110001
"235","2007-12-06",22.33
"236","2007-12-07",22.209999
"237","2007-12-10",22.860001
"238","2007-12-11",22.07
"239","2007-12-12",21.66
"240","2007-12-13",21.059999
"241","2007-12-14",20.27
"242","2007-12-17",21.139999
"243","2007-12-18",21.290001
"244","2007-12-19",21.209999
"245","2007-12-20",21.15
"246","2007-12-21",21.18
"247","2007-12-24",20.85
"248","2007-12-26",20.83
"249","2007-12-27",20.459999
"250","2007-12-28",20.549999
"251","2007-12-31",20.77
"252","2008-01-02",20.610001
"253","2008-01-03",19.639999
"254","2008-01-04",18.93
"255","2008-01-07",18.77
"256","2008-01-08",17.780001
"257","2008-01-09",17.719999
