"","date","GSKY"
"1","2018-05-25",24.77
"2","2018-05-29",24.950001
"3","2018-05-30",25.73
"4","2018-05-31",26.77
"5","2018-06-01",26.66
"6","2018-06-04",25.34
"7","2018-06-05",25.540001
"8","2018-06-06",24.51
"9","2018-06-07",22.950001
"10","2018-06-08",23.790001
"11","2018-06-11",24.07
"12","2018-06-12",24.26
"13","2018-06-13",24.129999
"14","2018-06-14",24.459999
"15","2018-06-15",24.24
"16","2018-06-18",24.43
"17","2018-06-19",23.99
"18","2018-06-20",23.75
"19","2018-06-21",23.690001
"20","2018-06-22",24.16
"21","2018-06-25",23.190001
"22","2018-06-26",22.040001
"23","2018-06-27",20.110001
"24","2018-06-28",21.190001
"25","2018-06-29",21.15
"26","2018-07-02",20.6
"27","2018-07-03",20.73
"28","2018-07-05",21.139999
"29","2018-07-06",21.360001
"30","2018-07-09",21.870001
"31","2018-07-10",21.799999
"32","2018-07-11",21.110001
"33","2018-07-12",20.309999
"34","2018-07-13",19.27
"35","2018-07-16",19.059999
"36","2018-07-17",18.84
"37","2018-07-18",19.865
"38","2018-07-19",19.709999
"39","2018-07-20",19.51
"40","2018-07-23",19.6
"41","2018-07-24",19.25
"42","2018-07-25",19.16
"43","2018-07-26",18.450001
"44","2018-07-27",17.799999
"45","2018-07-30",17.290001
"46","2018-07-31",17.299999
"47","2018-08-01",17.889999
"48","2018-08-02",17.9
"49","2018-08-03",17.85
"50","2018-08-06",21.23
"51","2018-08-07",18.91
"52","2018-08-08",18.16
"53","2018-08-09",16.860001
"54","2018-08-10",15.59
"55","2018-08-13",14.5
"56","2018-08-14",15.39
"57","2018-08-15",15.91
"58","2018-08-16",17.610001
"59","2018-08-17",18.26
"60","2018-08-20",17.91
"61","2018-08-21",18.25
"62","2018-08-22",18.129999
"63","2018-08-23",18.200001
"64","2018-08-24",19.450001
"65","2018-08-27",19.1
"66","2018-08-28",19.280001
"67","2018-08-29",19.73
"68","2018-08-30",19.959999
"69","2018-08-31",20.25
"70","2018-09-04",19.85
"71","2018-09-05",19.16
"72","2018-09-06",18.58
"73","2018-09-07",19
"74","2018-09-10",19.83
"75","2018-09-11",20.15
"76","2018-09-12",19.98
"77","2018-09-13",19.98
"78","2018-09-14",19.83
"79","2018-09-17",19.33
"80","2018-09-18",19.75
"81","2018-09-19",20.200001
"82","2018-09-20",19.860001
"83","2018-09-21",20.23
"84","2018-09-24",19.870001
"85","2018-09-25",19.73
"86","2018-09-26",18.790001
"87","2018-09-27",18.559999
"88","2018-09-28",18
"89","2018-10-01",18.01
"90","2018-10-02",17.790001
"91","2018-10-03",17.799999
"92","2018-10-04",17.389999
"93","2018-10-05",16.530001
"94","2018-10-08",16
"95","2018-10-09",16.15
"96","2018-10-10",15.25
"97","2018-10-11",15.37
"98","2018-10-12",15.33
"99","2018-10-15",15.5
"100","2018-10-16",16.07
"101","2018-10-17",16.040001
"102","2018-10-18",15.37
"103","2018-10-19",15.23
"104","2018-10-22",15
"105","2018-10-23",14.37
"106","2018-10-24",13.4
"107","2018-10-25",13.44
"108","2018-10-26",12.68
"109","2018-10-29",12.1
"110","2018-10-30",12.58
"111","2018-10-31",13.18
"112","2018-11-01",13.99
"113","2018-11-02",14.45
"114","2018-11-05",14.66
"115","2018-11-06",9.28
"116","2018-11-07",9.16
"117","2018-11-08",9.41
"118","2018-11-09",9.71
"119","2018-11-12",9.92
"120","2018-11-13",9.8
"121","2018-11-14",9.44
"122","2018-11-15",9.7
"123","2018-11-16",9.49
"124","2018-11-19",9.01
"125","2018-11-20",8.96
"126","2018-11-21",9.22
"127","2018-11-23",9.14
"128","2018-11-26",9.14
"129","2018-11-27",9.42
"130","2018-11-28",9.29
"131","2018-11-29",9.29
"132","2018-11-30",9.31
"133","2018-12-03",9.29
"134","2018-12-04",8.9
"135","2018-12-06",8.99
"136","2018-12-07",9
"137","2018-12-10",9.26
"138","2018-12-11",9
"139","2018-12-12",9.2
"140","2018-12-13",8.95
"141","2018-12-14",8.66
"142","2018-12-17",8.41
"143","2018-12-18",8.92
"144","2018-12-19",9.03
"145","2018-12-20",9
"146","2018-12-21",8.66
"147","2018-12-24",9.22
"148","2018-12-26",9.48
"149","2018-12-27",9.47
"150","2018-12-28",9.58
"151","2018-12-31",9.57
