"","date","PCVX"
"1","2020-06-12",26.15
"2","2020-06-15",28.52
"3","2020-06-16",32.900002
"4","2020-06-17",34
"5","2020-06-18",34.07
"6","2020-06-19",35.450001
"7","2020-06-22",32.360001
"8","2020-06-23",33.400002
"9","2020-06-24",32.119999
"10","2020-06-25",33.400002
"11","2020-06-26",32.889999
"12","2020-06-29",31.200001
"13","2020-06-30",31.610001
"14","2020-07-01",30.15
"15","2020-07-02",29.99
"16","2020-07-06",29.379999
"17","2020-07-07",28.77
"18","2020-07-08",29.73
"19","2020-07-09",29.35
"20","2020-07-10",29.58
"21","2020-07-13",29.209999
"22","2020-07-14",28.700001
"23","2020-07-15",26.5
"24","2020-07-16",26.610001
"25","2020-07-17",29
"26","2020-07-20",31.01
"27","2020-07-21",33.490002
"28","2020-07-22",31.73
"29","2020-07-23",32.5
"30","2020-07-24",30.82
"31","2020-07-27",31.360001
"32","2020-07-28",29.030001
"33","2020-07-29",30.68
"34","2020-07-30",31.98
"35","2020-07-31",31.41
"36","2020-08-03",34.650002
"37","2020-08-04",33.049999
"38","2020-08-05",33.720001
"39","2020-08-06",33.990002
"40","2020-08-07",35.310001
"41","2020-08-10",38.5
"42","2020-08-11",37.48
"43","2020-08-12",40.48
"44","2020-08-13",46.389999
"45","2020-08-14",50.43
"46","2020-08-17",49.09
"47","2020-08-18",49.240002
"48","2020-08-19",50.689999
"49","2020-08-20",54.380001
"50","2020-08-21",51.389999
"51","2020-08-24",51.02
"52","2020-08-25",48.849998
"53","2020-08-26",48.869999
"54","2020-08-27",44.990002
"55","2020-08-28",44.049999
"56","2020-08-31",45.279999
"57","2020-09-01",43.68
"58","2020-09-02",43.150002
"59","2020-09-03",40
"60","2020-09-04",38.849998
"61","2020-09-08",35.939999
"62","2020-09-09",36.82
"63","2020-09-10",37.130001
"64","2020-09-11",39.560001
"65","2020-09-14",41.52
"66","2020-09-15",42.509998
"67","2020-09-16",48.380001
"68","2020-09-17",49.419998
"69","2020-09-18",50.470001
"70","2020-09-21",52.48
"71","2020-09-22",55.220001
"72","2020-09-23",55.400002
"73","2020-09-24",50.529999
"74","2020-09-25",52
"75","2020-09-28",51.810001
"76","2020-09-29",51.5
"77","2020-09-30",49.380001
"78","2020-10-01",47.650002
"79","2020-10-02",48.849998
"80","2020-10-05",49.139999
"81","2020-10-06",51.740002
"82","2020-10-07",50.099998
"83","2020-10-08",48.889999
"84","2020-10-09",48.599998
"85","2020-10-12",48
"86","2020-10-13",49.869999
"87","2020-10-14",48.52
"88","2020-10-15",49.41
"89","2020-10-16",49.68
"90","2020-10-19",46.889999
"91","2020-10-20",43.310001
"92","2020-10-21",41.98
"93","2020-10-22",42.919998
"94","2020-10-23",43.549999
"95","2020-10-26",42.099998
"96","2020-10-27",39.419998
"97","2020-10-28",37.900002
"98","2020-10-29",36.990002
"99","2020-10-30",37.369999
"100","2020-11-02",37.049999
"101","2020-11-03",36.450001
"102","2020-11-04",37.75
"103","2020-11-05",37.599998
"104","2020-11-06",35.98
"105","2020-11-09",36.5
"106","2020-11-10",36.709999
"107","2020-11-11",36.580002
"108","2020-11-12",37.040001
"109","2020-11-13",38
"110","2020-11-16",36.709999
"111","2020-11-17",36.5
"112","2020-11-18",33.189999
"113","2020-11-19",34.98
"114","2020-11-20",34.720001
"115","2020-11-23",34.889999
"116","2020-11-24",34.599998
"117","2020-11-25",33.939999
"118","2020-11-27",34.639999
