"","date","CNTG"
"1","2019-11-07",12.49
"2","2019-11-08",12.99
"3","2019-11-11",13.92
"4","2019-11-12",13.76
"5","2019-11-13",14.6
"6","2019-11-14",14.19
"7","2019-11-15",14.04
"8","2019-11-18",14.33
"9","2019-11-19",14.07
"10","2019-11-20",13.85
"11","2019-11-21",13.7
"12","2019-11-22",13.35
"13","2019-11-25",13.35
"14","2019-11-26",13.05
"15","2019-11-27",12.615
"16","2019-11-29",12.971
"17","2019-12-02",12.25
"18","2019-12-03",12.2
"19","2019-12-04",12.75
"20","2019-12-05",10.65
"21","2019-12-06",9.81
"22","2019-12-09",8.1
"23","2019-12-10",9.05
"24","2019-12-11",11.2
"25","2019-12-12",11.28
"26","2019-12-13",11.34
"27","2019-12-16",10.88
"28","2019-12-17",10.99
"29","2019-12-18",10.56
"30","2019-12-19",10.66
"31","2019-12-20",10.46
"32","2019-12-23",10.62
"33","2019-12-24",10.6
"34","2019-12-26",10.48
"35","2019-12-27",9.84
"36","2019-12-30",9.99
"37","2019-12-31",10.07
"38","2020-01-02",10.93
"39","2020-01-03",10.8
"40","2020-01-06",10.77
"41","2020-01-07",11.48
"42","2020-01-08",11.7
"43","2020-01-09",12.99
"44","2020-01-10",14.46
"45","2020-01-13",14.26
"46","2020-01-14",14.49
"47","2020-01-15",13.83
"48","2020-01-16",13.97
"49","2020-01-17",13.66
"50","2020-01-21",13.42
"51","2020-01-22",13.42
"52","2020-01-23",13.24
"53","2020-01-24",13
"54","2020-01-27",12.3
"55","2020-01-28",11.45
"56","2020-01-29",11.15
"57","2020-01-30",10.03
"58","2020-01-31",9.76
"59","2020-02-03",10.12
"60","2020-02-04",10.2
"61","2020-02-05",10.4
"62","2020-02-06",10.69
"63","2020-02-07",10.13
"64","2020-02-10",10.69
"65","2020-02-11",10.865
"66","2020-02-12",10.895
"67","2020-02-13",10.67
"68","2020-02-14",11.02
"69","2020-02-18",11.46
"70","2020-02-19",11.29
"71","2020-02-20",11.79
"72","2020-02-21",11.73
"73","2020-02-24",13.05
"74","2020-02-25",12.35
"75","2020-02-26",12.31
"76","2020-02-27",11.44
"77","2020-02-28",13.3
"78","2020-03-02",13.5
"79","2020-03-03",13.71
"80","2020-03-04",15.2
"81","2020-03-05",15.49
"82","2020-03-06",15.98
"83","2020-03-09",17.190001
"84","2020-03-10",19.01
"85","2020-03-11",18.799999
"86","2020-03-12",17.25
"87","2020-03-13",16.309999
"88","2020-03-16",14.4
"89","2020-03-17",15.11
"90","2020-03-18",23.799999
"91","2020-03-19",22.67
"92","2020-03-20",21.049999
"93","2020-03-23",18.41
"94","2020-03-24",18
"95","2020-03-25",17.93
"96","2020-03-26",17
"97","2020-03-27",15.98
"98","2020-03-30",16.549999
"99","2020-03-31",20
"100","2020-04-01",19.52
"101","2020-04-02",20
"102","2020-04-03",17.65
"103","2020-04-06",19.74
"104","2020-04-07",20.4
"105","2020-04-08",19.5
"106","2020-04-09",19.9
"107","2020-04-13",18.290001
"108","2020-04-14",19.34
"109","2020-04-15",18.09
"110","2020-04-16",18.02
"111","2020-04-17",18.459999
"112","2020-04-20",16
"113","2020-04-21",19.190001
"114","2020-04-22",18.41
"115","2020-04-23",18.690001
"116","2020-04-24",18.66
"117","2020-04-27",19.059999
"118","2020-04-28",19.75
"119","2020-04-29",19.51
"120","2020-04-30",19.5
"121","2020-05-01",18.870001
"122","2020-05-04",18.01
"123","2020-05-05",18.25
"124","2020-05-06",18.6
"125","2020-05-07",19.24
"126","2020-05-08",19
"127","2020-05-11",19.33
"128","2020-05-12",18.01
"129","2020-05-13",18.280001
"130","2020-05-14",17.780001
"131","2020-05-15",18.190001
"132","2020-05-18",17.200001
"133","2020-05-19",16.690001
"134","2020-05-20",16.665001
"135","2020-05-21",16.9
"136","2020-05-22",16.719999
"137","2020-05-26",16.719999
"138","2020-05-27",18.790001
"139","2020-05-28",17.209999
"140","2020-05-29",17.620001
"141","2020-06-01",15.99
"142","2020-06-02",16.32
"143","2020-06-03",18.15
"144","2020-06-04",17.530001
"145","2020-06-05",19.360001
"146","2020-06-08",18.83
"147","2020-06-09",18.67
"148","2020-06-10",18.75
"149","2020-06-11",18.860001
"150","2020-06-12",21.32
"151","2020-06-15",20.73
"152","2020-06-16",20.25
"153","2020-06-17",19.25
"154","2020-06-18",20
"155","2020-06-19",19.059999
"156","2020-06-22",20.25
"157","2020-06-23",19.98
"158","2020-06-24",19.389999
"159","2020-06-25",19.91
"160","2020-06-26",19.610001
"161","2020-06-29",21.1
"162","2020-06-30",22.879999
"163","2020-07-01",25.16
"164","2020-07-02",24.5
"165","2020-07-06",23.040001
"166","2020-07-07",23.58
"167","2020-07-08",19.18
"168","2020-07-09",17.07
"169","2020-07-10",13.3
"170","2020-07-13",13.01
"171","2020-07-14",12.43
"172","2020-07-15",11.93
"173","2020-07-16",11.93
"174","2020-07-17",12.01
"175","2020-07-20",11.55
"176","2020-07-21",11.93
"177","2020-07-22",11.98
"178","2020-07-23",13.31
"179","2020-07-24",13.06
"180","2020-07-27",13.37
"181","2020-07-28",13.01
"182","2020-07-29",13.05
"183","2020-07-30",12.88
"184","2020-07-31",12.7
"185","2020-08-03",12.77
"186","2020-08-04",12.99
"187","2020-08-05",13.15
"188","2020-08-06",12.56
"189","2020-08-07",12.8
"190","2020-08-10",12.78
"191","2020-08-11",12.31
"192","2020-08-12",12.4
"193","2020-08-13",12.3
"194","2020-08-14",12.02
"195","2020-08-17",12.03
"196","2020-08-18",12.14
"197","2020-08-19",12.28
"198","2020-08-20",12.7
"199","2020-08-21",12.23
"200","2020-08-24",12.47
"201","2020-08-25",12.12
"202","2020-08-26",11.77
"203","2020-08-27",11.91
"204","2020-08-28",11.57
"205","2020-08-31",11.6
"206","2020-09-01",11
"207","2020-09-02",11.74
"208","2020-09-03",11.03
"209","2020-09-04",10.81
"210","2020-09-08",10.65
"211","2020-09-09",11.43
"212","2020-09-10",11.05
"213","2020-09-11",10.59
"214","2020-09-14",11.13
"215","2020-09-15",10.67
"216","2020-09-16",10.7
"217","2020-09-17",11.07
"218","2020-09-18",11.33
"219","2020-09-21",10.61
"220","2020-09-22",11.05
"221","2020-09-23",9.68
"222","2020-09-24",9.36
"223","2020-09-25",9.63
"224","2020-09-28",9.3
"225","2020-09-29",9.46
"226","2020-09-30",9.46
"227","2020-10-01",9.48
"228","2020-10-02",9.44
"229","2020-10-05",9.52
"230","2020-10-06",9.74
"231","2020-10-07",10.24
"232","2020-10-08",10.75
"233","2020-10-09",10.85
"234","2020-10-12",10.76
"235","2020-10-13",10.87
"236","2020-10-14",10.44
"237","2020-10-15",10.37
"238","2020-10-16",10.86
"239","2020-10-19",12.17
"240","2020-10-20",13.3
"241","2020-10-21",12.51
"242","2020-10-22",11.85
"243","2020-10-23",11.87
"244","2020-10-26",11.88
"245","2020-10-27",11.9
"246","2020-10-28",11.3
"247","2020-10-29",11.87
"248","2020-10-30",12.17
"249","2020-11-02",11.11
"250","2020-11-03",11.19
"251","2020-11-04",11.62
"252","2020-11-05",12.59
"253","2020-11-06",12.11
"254","2020-11-09",11.33
"255","2020-11-10",11.52
"256","2020-11-11",11.76
"257","2020-11-12",11.27
"258","2020-11-13",11.37
"259","2020-11-16",11.53
"260","2020-11-17",11.67
"261","2020-11-18",11.48
