"","date","NIU"
"1","2018-10-19",8.65
"2","2018-10-22",8.3
"3","2018-10-23",7.7
"4","2018-10-24",7.2
"5","2018-10-25",6.56
"6","2018-10-26",7.48
"7","2018-10-29",7.23
"8","2018-10-30",6.99
"9","2018-10-31",7.73
"10","2018-11-01",8.2
"11","2018-11-02",9.2
"12","2018-11-05",8.64
"13","2018-11-06",9.09
"14","2018-11-07",8.91
"15","2018-11-08",9.12
"16","2018-11-09",8.71
"17","2018-11-12",8.2
"18","2018-11-13",8.31
"19","2018-11-14",8.33
"20","2018-11-15",8.13
"21","2018-11-16",7.75
"22","2018-11-19",7.68
"23","2018-11-20",7.81
"24","2018-11-21",8.13
"25","2018-11-23",8.15
"26","2018-11-26",8.12
"27","2018-11-27",7.8
"28","2018-11-28",8
"29","2018-11-29",8.15
"30","2018-11-30",8.01
"31","2018-12-03",8.2
"32","2018-12-04",8
"33","2018-12-06",7.85
"34","2018-12-07",7.67
"35","2018-12-10",7.13
"36","2018-12-11",7.15
"37","2018-12-12",7
"38","2018-12-13",7.01
"39","2018-12-14",7.13
"40","2018-12-17",7.02
"41","2018-12-18",6.91
"42","2018-12-19",6.51
"43","2018-12-20",6.49
"44","2018-12-21",6.68
"45","2018-12-24",6.43
"46","2018-12-26",6.39
"47","2018-12-27",6.12
"48","2018-12-28",6.81
"49","2018-12-31",7
"50","2019-01-02",7.01
"51","2019-01-03",6.81
"52","2019-01-04",6.91
"53","2019-01-07",6.97
"54","2019-01-08",7.02
"55","2019-01-09",7.1
"56","2019-01-10",7.33
"57","2019-01-11",7.74
"58","2019-01-14",7.91
"59","2019-01-15",7.85
"60","2019-01-16",7.85
"61","2019-01-17",7.86
"62","2019-01-18",7.83
"63","2019-01-22",7.73
"64","2019-01-23",7.64
"65","2019-01-24",7.51
"66","2019-01-25",7.61
"67","2019-01-28",7.54
"68","2019-01-29",7.57
"69","2019-01-30",7.56
"70","2019-01-31",7.53
"71","2019-02-01",7.77
"72","2019-02-04",8
"73","2019-02-05",8.14
"74","2019-02-06",7.8
"75","2019-02-07",7.65
"76","2019-02-08",7.65
"77","2019-02-11",7.56
"78","2019-02-12",7.62
"79","2019-02-13",7.67
"80","2019-02-14",7.43
"81","2019-02-15",7.55
"82","2019-02-19",7.52
"83","2019-02-20",7.65
"84","2019-02-21",7.54
"85","2019-02-22",7.59
"86","2019-02-25",8.36
"87","2019-02-26",8.18
"88","2019-02-27",8.41
"89","2019-02-28",8.28
"90","2019-03-01",8.18
"91","2019-03-04",8.06
"92","2019-03-05",8.33
"93","2019-03-06",8.17
"94","2019-03-07",7.58
"95","2019-03-08",7.24
"96","2019-03-11",7.2
"97","2019-03-12",7.3
"98","2019-03-13",7.8
"99","2019-03-14",8.25
"100","2019-03-15",8.15
"101","2019-03-18",8.18
"102","2019-03-19",7.9
"103","2019-03-20",8.18
"104","2019-03-21",7.97
"105","2019-03-22",7.89
"106","2019-03-25",7.93
"107","2019-03-26",7.99
"108","2019-03-27",8.1
"109","2019-03-28",8.18
"110","2019-03-29",8.11
"111","2019-04-01",8.34
"112","2019-04-02",9.06
"113","2019-04-03",9.5
"114","2019-04-04",9.7
"115","2019-04-05",10.55
"116","2019-04-08",13.44
"117","2019-04-09",12.47
"118","2019-04-10",11.99
"119","2019-04-11",11.85
"120","2019-04-12",11.76
"121","2019-04-15",10.85
"122","2019-04-16",10.5
"123","2019-04-17",11.49
"124","2019-04-18",9.3
"125","2019-04-22",9.2
"126","2019-04-23",9.88
"127","2019-04-24",10.51
"128","2019-04-25",9.98
"129","2019-04-26",9.67
"130","2019-04-29",9.3
"131","2019-04-30",8.61
"132","2019-05-01",8.6
"133","2019-05-02",8.79
"134","2019-05-03",8.79
"135","2019-05-06",8.93
"136","2019-05-07",8.93
"137","2019-05-08",8.31
"138","2019-05-09",8.44
"139","2019-05-10",8.56
"140","2019-05-13",8.86
"141","2019-05-14",8.56
"142","2019-05-15",9
"143","2019-05-16",8.76
"144","2019-05-17",8.38
"145","2019-05-20",8.54
"146","2019-05-21",8.56
"147","2019-05-22",8.28
"148","2019-05-23",7.84
"149","2019-05-24",7.8
"150","2019-05-28",7.64
"151","2019-05-29",7.66
"152","2019-05-30",7.63
"153","2019-05-31",7.58
"154","2019-06-03",7.2
"155","2019-06-04",7.12
"156","2019-06-05",7.13
"157","2019-06-06",6.76
"158","2019-06-07",6.76
"159","2019-06-10",6.63
"160","2019-06-11",6.44
"161","2019-06-12",6.18
"162","2019-06-13",6.06
"163","2019-06-14",5.86
"164","2019-06-17",6.28
"165","2019-06-18",6.2
"166","2019-06-19",6.52
"167","2019-06-20",6.2
"168","2019-06-21",6.18
"169","2019-06-24",6.13
"170","2019-06-25",6.12
"171","2019-06-26",6.33
"172","2019-06-27",6.14
"173","2019-06-28",5.91
"174","2019-07-01",6.95
"175","2019-07-02",6.53
"176","2019-07-03",6.57
"177","2019-07-05",6.04
"178","2019-07-08",6.03
"179","2019-07-09",5.99
"180","2019-07-10",5.9
"181","2019-07-11",5.96
"182","2019-07-12",5.95
"183","2019-07-15",5.8
"184","2019-07-16",5.79
"185","2019-07-17",5.7
"186","2019-07-18",5.58
"187","2019-07-19",6
"188","2019-07-22",5.5
"189","2019-07-23",5.69
"190","2019-07-24",5.64
"191","2019-07-25",5.93
"192","2019-07-26",6.38
"193","2019-07-29",6.59
"194","2019-07-30",6.65
"195","2019-07-31",6.58
"196","2019-08-01",6.85
"197","2019-08-02",7.14
"198","2019-08-05",7.26
"199","2019-08-06",7.75
"200","2019-08-07",8.17
"201","2019-08-08",8.33
"202","2019-08-09",8.13
"203","2019-08-12",7.99
"204","2019-08-13",7.55
"205","2019-08-14",7.16
"206","2019-08-15",7.18
"207","2019-08-16",7.38
"208","2019-08-19",7.7
"209","2019-08-20",8.23
"210","2019-08-21",8.72
"211","2019-08-22",8.94
"212","2019-08-23",8.61
"213","2019-08-26",8.33
"214","2019-08-27",7.81
"215","2019-08-28",7.67
"216","2019-08-29",7.98
"217","2019-08-30",7.89
"218","2019-09-03",7.6
"219","2019-09-04",7.86
"220","2019-09-05",8.22
"221","2019-09-06",8.05
"222","2019-09-09",8.19
"223","2019-09-10",8.45
"224","2019-09-11",8.4
"225","2019-09-12",8.43
"226","2019-09-13",8.58
"227","2019-09-16",8.55
"228","2019-09-17",8.52
"229","2019-09-18",8.41
"230","2019-09-19",8.29
"231","2019-09-20",8.4
"232","2019-09-23",8.08
"233","2019-09-24",8.07
"234","2019-09-25",8.18
"235","2019-09-26",8.16
"236","2019-09-27",8.23
"237","2019-09-30",8.44
"238","2019-10-01",8.4
"239","2019-10-02",8.5
"240","2019-10-03",8.53
"241","2019-10-04",8.56
"242","2019-10-07",9
"243","2019-10-08",8.97
"244","2019-10-09",8.94
"245","2019-10-10",8.97
"246","2019-10-11",9.18
"247","2019-10-14",8.95
"248","2019-10-15",9.1
"249","2019-10-16",9.11
"250","2019-10-17",9.55
"251","2019-10-18",9.13
"252","2019-10-21",9.13
"253","2019-10-22",9.41
"254","2019-10-23",9.4
"255","2019-10-24",9.5
"256","2019-10-25",9.37
"257","2019-10-28",9.48
"258","2019-10-29",9.4
"259","2019-10-30",9.5
"260","2019-10-31",9.39
"261","2019-11-01",9.21
"262","2019-11-04",9.22
"263","2019-11-05",9.23
"264","2019-11-06",9.47
"265","2019-11-07",9.97
"266","2019-11-08",9.72
"267","2019-11-11",9.58
"268","2019-11-12",9.66
"269","2019-11-13",9.66
"270","2019-11-14",9.67
"271","2019-11-15",8.97
"272","2019-11-18",8.98
"273","2019-11-19",8.97
"274","2019-11-20",8.77
"275","2019-11-21",8.88
"276","2019-11-22",8.93
"277","2019-11-25",9
"278","2019-11-26",8.9
"279","2019-11-27",8.72
"280","2019-11-29",8.98
"281","2019-12-02",8.66
"282","2019-12-03",8.41
"283","2019-12-04",8.43
"284","2019-12-05",8.49
"285","2019-12-06",8.5
"286","2019-12-09",8.5
"287","2019-12-10",8.5
"288","2019-12-11",8.49
"289","2019-12-12",8.48
"290","2019-12-13",8.39
"291","2019-12-16",8.36
"292","2019-12-17",8.41
"293","2019-12-18",8.5
"294","2019-12-19",8.45
"295","2019-12-20",8.5
"296","2019-12-23",8.5
"297","2019-12-24",8.57
"298","2019-12-26",8.55
"299","2019-12-27",8.46
"300","2019-12-30",8.49
"301","2019-12-31",8.53
"302","2020-01-02",8.73
"303","2020-01-03",8.58
"304","2020-01-06",8.5
"305","2020-01-07",8.48
"306","2020-01-08",8.27
"307","2020-01-09",8.1
"308","2020-01-10",8.09
"309","2020-01-13",8.39
"310","2020-01-14",8.5
"311","2020-01-15",8.52
"312","2020-01-16",8.64
"313","2020-01-17",9.1
"314","2020-01-21",9.17
"315","2020-01-22",9.34
"316","2020-01-23",9.33
"317","2020-01-24",9.32
"318","2020-01-27",8.98
