"","date","MDT"
"1","2007-01-03",52.57
"2","2007-01-04",53.200001
"3","2007-01-05",53.360001
"4","2007-01-08",53.700001
"5","2007-01-09",53.849998
"6","2007-01-10",54.209999
"7","2007-01-11",53.950001
"8","2007-01-12",53.720001
"9","2007-01-16",54.509998
"10","2007-01-17",54.299999
"11","2007-01-18",54.139999
"12","2007-01-19",53.77
"13","2007-01-22",53.18
"14","2007-01-23",52.830002
"15","2007-01-24",53.439999
"16","2007-01-25",53.389999
"17","2007-01-26",53.139999
"18","2007-01-29",52.709999
"19","2007-01-30",53.119999
"20","2007-01-31",53.450001
"21","2007-02-01",53.34
"22","2007-02-02",53.700001
"23","2007-02-05",53.310001
"24","2007-02-06",53.240002
"25","2007-02-07",53.240002
"26","2007-02-08",53.900002
"27","2007-02-09",53.779999
"28","2007-02-12",53.59
"29","2007-02-13",54.419998
"30","2007-02-14",54.580002
"31","2007-02-15",54.060001
"32","2007-02-16",54.130001
"33","2007-02-20",54.540001
"34","2007-02-21",52.02
"35","2007-02-22",51.25
"36","2007-02-23",51.349998
"37","2007-02-26",50.919998
"38","2007-02-27",49.939999
"39","2007-02-28",50.360001
"40","2007-03-01",50.150002
"41","2007-03-02",49.150002
"42","2007-03-05",49.099998
"43","2007-03-06",49.5
"44","2007-03-07",49.580002
"45","2007-03-08",49.919998
"46","2007-03-09",49.919998
"47","2007-03-12",49.639999
"48","2007-03-13",49.25
"49","2007-03-14",49.630001
"50","2007-03-15",49.330002
"51","2007-03-16",48.869999
"52","2007-03-19",49.18
"53","2007-03-20",49.360001
"54","2007-03-21",49.759998
"55","2007-03-22",49.790001
"56","2007-03-23",49.919998
"57","2007-03-26",49.830002
"58","2007-03-27",48.68
"59","2007-03-28",48.669998
"60","2007-03-29",48.970001
"61","2007-03-30",49.060001
"62","2007-04-02",48.860001
"63","2007-04-03",49.400002
"64","2007-04-04",49.25
"65","2007-04-05",49.130001
"66","2007-04-09",48.950001
"67","2007-04-10",49.470001
"68","2007-04-11",50.009998
"69","2007-04-12",50.959999
"70","2007-04-13",50.790001
