"","date","UPS"
"1","2007-01-03",74.970001
"2","2007-01-04",75.089996
"3","2007-01-05",74.150002
"4","2007-01-08",74.379997
"5","2007-01-09",74.080002
"6","2007-01-10",73.629997
"7","2007-01-11",73.650002
"8","2007-01-12",74.440002
"9","2007-01-16",74.879997
"10","2007-01-17",75
"11","2007-01-18",74.809998
"12","2007-01-19",75.019997
"13","2007-01-22",74.279999
"14","2007-01-23",73.620003
"15","2007-01-24",74.449997
"16","2007-01-25",73.610001
"17","2007-01-26",72.489998
"18","2007-01-29",73.650002
"19","2007-01-30",72.699997
"20","2007-01-31",72.279999
"21","2007-02-01",73.639999
"22","2007-02-02",74.169998
"23","2007-02-05",73.68
"24","2007-02-06",73.93
"25","2007-02-07",73.919998
"26","2007-02-08",73.330002
"27","2007-02-09",73.559998
"28","2007-02-12",73.870003
"29","2007-02-13",74.389999
"30","2007-02-14",75.019997
"31","2007-02-15",74.480003
"32","2007-02-16",74.040001
"33","2007-02-20",73.900002
"34","2007-02-21",73.800003
"35","2007-02-22",73.400002
"36","2007-02-23",73.339996
"37","2007-02-26",72.790001
"38","2007-02-27",70.230003
"39","2007-02-28",70.190002
"40","2007-03-01",70.120003
"41","2007-03-02",69.470001
"42","2007-03-05",69.699997
"43","2007-03-06",69.910004
"44","2007-03-07",70
"45","2007-03-08",69.870003
"46","2007-03-09",70.629997
"47","2007-03-12",71.150002
"48","2007-03-13",69.910004
"49","2007-03-14",70.230003
"50","2007-03-15",69.410004
"51","2007-03-16",69.260002
"52","2007-03-19",69.480003
"53","2007-03-20",70.25
"54","2007-03-21",71.279999
"55","2007-03-22",71.089996
"56","2007-03-23",71.470001
"57","2007-03-26",71.309998
"58","2007-03-27",70.900002
"59","2007-03-28",70.400002
"60","2007-03-29",70.160004
"61","2007-03-30",70.099998
"62","2007-04-02",69.860001
"63","2007-04-03",69.959999
"64","2007-04-04",69.879997
"65","2007-04-05",70.260002
"66","2007-04-09",70.089996
"67","2007-04-10",70.790001
"68","2007-04-11",70.470001
"69","2007-04-12",70.379997
"70","2007-04-13",70.309998
"71","2007-04-16",71.080002
"72","2007-04-17",71.639999
"73","2007-04-18",71.400002
"74","2007-04-19",71.989998
"75","2007-04-20",72.82
"76","2007-04-23",71.940002
"77","2007-04-24",71.93
"78","2007-04-25",73
"79","2007-04-26",71.910004
"80","2007-04-27",71.5
"81","2007-04-30",70.43
"82","2007-05-01",69.940002
