"","date","CMRX"
"1","2013-04-11",18.790001
"2","2013-04-12",18.17
"3","2013-04-15",18.42
"4","2013-04-16",19.25
"5","2013-04-17",18.75
"6","2013-04-18",18.870001
"7","2013-04-19",18.82
"8","2013-04-22",18.92
"9","2013-04-23",19.33
"10","2013-04-24",19.35
"11","2013-04-25",19.1
"12","2013-04-26",18.9
"13","2013-04-29",19.02
"14","2013-04-30",19.93
"15","2013-05-01",20.450001
"16","2013-05-02",20.49
"17","2013-05-03",20.950001
"18","2013-05-06",20.92
"19","2013-05-07",20.52
"20","2013-05-08",19.940001
"21","2013-05-09",19.6
"22","2013-05-10",20.049999
"23","2013-05-13",20.469999
"24","2013-05-14",20.700001
"25","2013-05-15",20.25
"26","2013-05-16",20.07
"27","2013-05-17",19.780001
"28","2013-05-20",20.01
"29","2013-05-21",20.120001
"30","2013-05-22",20.389999
"31","2013-05-23",20.74
"32","2013-05-24",21.809999
"33","2013-05-28",21.9
"34","2013-05-29",21.959999
"35","2013-05-30",22.07
"36","2013-05-31",21.5
"37","2013-06-03",21.99
"38","2013-06-04",21.969999
"39","2013-06-05",21.75
"40","2013-06-06",22.07
"41","2013-06-07",22.24
"42","2013-06-10",22.9
"43","2013-06-11",23.719999
"44","2013-06-12",23.9
"45","2013-06-13",22.959999
"46","2013-06-14",21.790001
"47","2013-06-17",20.6
"48","2013-06-18",21.35
"49","2013-06-19",22.870001
"50","2013-06-20",22.32
"51","2013-06-21",22.67
"52","2013-06-24",22.049999
"53","2013-06-25",22.17
"54","2013-06-26",23.25
"55","2013-06-27",23.91
"56","2013-06-28",24.24
"57","2013-07-01",24.24
"58","2013-07-02",24.23
"59","2013-07-03",24.5
"60","2013-07-05",24.32
"61","2013-07-08",24.370001
"62","2013-07-09",24.49
"63","2013-07-10",24.35
"64","2013-07-11",24.129999
"65","2013-07-12",24.01
"66","2013-07-15",24.440001
"67","2013-07-16",24.43
"68","2013-07-17",24.51
"69","2013-07-18",24.26
"70","2013-07-19",24.549999
"71","2013-07-22",24.85
"72","2013-07-23",24.75
"73","2013-07-24",24.93
"74","2013-07-25",25.049999
"75","2013-07-26",25.1
"76","2013-07-29",24.27
"77","2013-07-30",24.02
"78","2013-07-31",22.74
"79","2013-08-01",22.040001
"80","2013-08-02",21.280001
"81","2013-08-05",20.639999
"82","2013-08-06",20.41
"83","2013-08-07",19.25
"84","2013-08-08",19.190001
"85","2013-08-09",18.049999
"86","2013-08-12",18.6
"87","2013-08-13",18.360001
"88","2013-08-14",17.559999
"89","2013-08-15",17.450001
"90","2013-08-16",17.68
"91","2013-08-19",17.51
"92","2013-08-20",17.780001
"93","2013-08-21",18.120001
"94","2013-08-22",18.02
"95","2013-08-23",17.690001
"96","2013-08-26",17.200001
"97","2013-08-27",16.77
"98","2013-08-28",15.94
"99","2013-08-29",16
"100","2013-08-30",15.76
"101","2013-09-03",16.07
"102","2013-09-04",15.97
"103","2013-09-05",15.87
"104","2013-09-06",16.34
"105","2013-09-09",19.07
"106","2013-09-10",19.030001
"107","2013-09-11",17.799999
"108","2013-09-12",18.41
"109","2013-09-13",19.42
"110","2013-09-16",18.68
"111","2013-09-17",19.969999
"112","2013-09-18",19.940001
"113","2013-09-19",19.82
"114","2013-09-20",19.870001
"115","2013-09-23",19.84
"116","2013-09-24",19.76
"117","2013-09-25",20.01
"118","2013-09-26",20.299999
"119","2013-09-27",20.6
"120","2013-09-30",21.98
"121","2013-10-01",21.799999
"122","2013-10-02",22
"123","2013-10-03",21.870001
"124","2013-10-04",22.49
"125","2013-10-07",21.91
"126","2013-10-08",18.440001
"127","2013-10-09",16.07
"128","2013-10-10",16.879999
"129","2013-10-11",16.549999
"130","2013-10-14",17.719999
"131","2013-10-15",16.48
"132","2013-10-16",17.139999
"133","2013-10-17",17
"134","2013-10-18",16.82
"135","2013-10-21",16.370001
"136","2013-10-22",16.66
"137","2013-10-23",16.360001
"138","2013-10-24",16.35
"139","2013-10-25",15.71
"140","2013-10-28",15.43
"141","2013-10-29",15.57
"142","2013-10-30",15.37
"143","2013-10-31",15.15
"144","2013-11-01",15.14
"145","2013-11-04",15.26
"146","2013-11-05",14.88
"147","2013-11-06",13.55
"148","2013-11-07",13.01
"149","2013-11-08",14.84
"150","2013-11-11",15
"151","2013-11-12",14.96
"152","2013-11-13",14.69
"153","2013-11-14",16.4
"154","2013-11-15",15.5
"155","2013-11-18",15.47
"156","2013-11-19",15.07
"157","2013-11-20",15.57
"158","2013-11-21",15.79
"159","2013-11-22",15.56
"160","2013-11-25",15.1
"161","2013-11-26",16.360001
"162","2013-11-27",16.09
"163","2013-11-29",16.02
"164","2013-12-02",15.97
"165","2013-12-03",16.049999
"166","2013-12-04",15.93
"167","2013-12-05",15.05
"168","2013-12-06",14.26
"169","2013-12-09",14.25
"170","2013-12-10",14.5
"171","2013-12-11",13.72
"172","2013-12-12",14.14
"173","2013-12-13",13.95
"174","2013-12-16",14.71
"175","2013-12-17",14.34
"176","2013-12-18",14.56
"177","2013-12-19",14.18
"178","2013-12-20",14.21
"179","2013-12-23",15.04
"180","2013-12-24",15.09
"181","2013-12-26",15.2
"182","2013-12-27",15.14
"183","2013-12-30",15.32
"184","2013-12-31",15.11
"185","2014-01-02",15.7
"186","2014-01-03",15.85
"187","2014-01-06",15.54
"188","2014-01-07",15.93
"189","2014-01-08",15.85
"190","2014-01-09",16.280001
"191","2014-01-10",16.99
"192","2014-01-13",16.77
"193","2014-01-14",18.139999
"194","2014-01-15",18.379999
"195","2014-01-16",19.25
"196","2014-01-17",19.23
"197","2014-01-21",19.6
