"","date","ANCN"
"1","2019-02-12",10.8
"2","2019-02-13",9.15
"3","2019-02-14",9.2
"4","2019-02-15",9.3
"5","2019-02-19",9
"6","2019-02-20",8.9
"7","2019-02-21",9.05
"8","2019-02-22",9.06
"9","2019-02-25",8.39
"10","2019-02-26",8.2
"11","2019-02-27",7.99
"12","2019-02-28",8
"13","2019-03-01",7.985
"14","2019-03-04",8.01
"15","2019-03-05",7.981
"16","2019-03-06",7.79
"17","2019-03-07",7.835
"18","2019-03-08",7.715
"19","2019-03-11",7.689
"20","2019-03-12",7.7
"21","2019-03-13",7.56
"22","2019-03-14",7.2
"23","2019-03-15",6.99
"24","2019-03-18",7.05
"25","2019-03-19",7
"26","2019-03-20",6.75
"27","2019-03-21",6.869
"28","2019-03-22",6.96
"29","2019-03-25",7
"30","2019-03-26",6.75
"31","2019-03-27",7.09
"32","2019-03-28",7
"33","2019-03-29",6.795
"34","2019-04-01",6.96
"35","2019-04-02",6.69
"36","2019-04-03",6.9
"37","2019-04-04",6.6
"38","2019-04-05",6.5
"39","2019-04-08",6.855
"40","2019-04-09",6.52
"41","2019-04-10",6.67
"42","2019-04-11",6.36
"43","2019-04-12",6.3
"44","2019-04-15",6.26
"45","2019-04-16",6.64
"46","2019-04-17",5.99
"47","2019-04-18",6.1
"48","2019-04-22",5.78
"49","2019-04-23",5.86
"50","2019-04-24",5.8
"51","2019-04-25",5.862
"52","2019-04-26",5.86
"53","2019-04-29",5.96
"54","2019-04-30",5.825
"55","2019-05-01",6
"56","2019-05-02",5.996
"57","2019-05-03",5.73
"58","2019-05-06",5.73
"59","2019-05-07",5.95
"60","2019-05-08",5.922
"61","2019-05-09",5.54
"62","2019-05-10",5.54
"63","2019-05-13",5.7
"64","2019-05-14",5.649
"65","2019-05-15",5.653
"66","2019-05-16",5.63
"67","2019-05-17",5.291
"68","2019-05-20",5.15
"69","2019-05-21",5.44
"70","2019-05-22",5.241
"71","2019-05-23",5.02
"72","2019-05-24",4.95
"73","2019-05-28",4.795
"74","2019-05-29",4.91
"75","2019-05-30",4.98
"76","2019-05-31",5
"77","2019-06-03",4.9
"78","2019-06-04",4.8
"79","2019-06-05",4.97
"80","2019-06-06",4.64
"81","2019-06-07",4.59
"82","2019-06-10",4.65
"83","2019-06-11",4.31
"84","2019-06-12",3.86
"85","2019-06-13",4.379
"86","2019-06-14",4.25
"87","2019-06-17",4.3
"88","2019-06-18",4.6
"89","2019-06-19",4.6
"90","2019-06-20",4.5
"91","2019-06-21",4.5
"92","2019-06-24",4.45
"93","2019-06-25",4.25
"94","2019-06-26",4.29
"95","2019-06-27",4.44
"96","2019-06-28",4.48
"97","2019-07-01",4.48
"98","2019-07-02",4.26
"99","2019-07-03",4.476
"100","2019-07-05",4.452
"101","2019-07-08",4.452
"102","2019-07-09",4.42
"103","2019-07-10",4.56
"104","2019-07-11",4.55
"105","2019-07-12",4.64
"106","2019-07-15",4.3
"107","2019-07-16",4.23
"108","2019-07-17",4.23
"109","2019-07-18",4.3
"110","2019-07-19",4.25
"111","2019-07-22",4.53
"112","2019-07-23",4.1
"113","2019-07-24",3.82
"114","2019-07-25",3.6
"115","2019-07-26",3.58
"116","2019-07-29",3.35
"117","2019-07-30",3.155
"118","2019-07-31",2.97
"119","2019-08-01",2.83
"120","2019-08-02",3.19
"121","2019-08-05",3.25
"122","2019-08-06",3.005
"123","2019-08-07",3.15
"124","2019-08-08",2.81
"125","2019-08-09",2.72
"126","2019-08-12",2.57
"127","2019-08-13",2.79
"128","2019-08-14",2.55
"129","2019-08-15",2.345
"130","2019-08-16",2.37
"131","2019-08-19",2.12
"132","2019-08-20",2.379
"133","2019-08-21",2.43
"134","2019-08-22",2.44
"135","2019-08-23",2.37
"136","2019-08-26",2.3
"137","2019-08-27",2.29
"138","2019-08-28",2.3
"139","2019-08-29",2.24
"140","2019-08-30",2.47
"141","2019-09-03",2.41
"142","2019-09-04",2.4
"143","2019-09-05",2.46
"144","2019-09-06",2.47
"145","2019-09-09",2.32
"146","2019-09-10",2.547
"147","2019-09-11",2.68
"148","2019-09-12",2.6
"149","2019-09-13",2.53
"150","2019-09-16",2.431
