"","date","NPA"
"1","2019-11-01",9.77
"2","2019-11-04",9.77
"3","2019-11-05",9.77
"4","2019-11-06",9.77
"5","2019-11-07",9.77
"6","2019-11-08",9.77
"7","2019-11-11",9.77
"8","2019-11-12",9.78
"9","2019-11-13",10.125
"10","2019-11-14",10.125
"11","2019-11-15",10.14
"12","2019-11-18",10.16
"13","2019-11-19",9.8
"14","2019-11-20",9.82
"15","2019-11-21",9.83
"16","2019-11-22",9.83
"17","2019-11-25",9.83
"18","2019-11-26",9.83
"19","2019-11-27",9.83
"20","2019-11-29",9.818
"21","2019-12-02",9.83
"22","2019-12-03",9.83
"23","2019-12-04",9.85
"24","2019-12-05",9.85
"25","2019-12-06",9.85
"26","2019-12-09",9.83
"27","2019-12-10",9.83
"28","2019-12-11",9.83
"29","2019-12-12",9.84
"30","2019-12-13",9.84
"31","2019-12-16",9.85
"32","2019-12-17",9.86
"33","2019-12-18",9.85
"34","2019-12-19",9.87
"35","2019-12-20",9.87
"36","2019-12-23",9.87
"37","2019-12-24",9.87
"38","2019-12-26",9.87
"39","2019-12-27",9.87
"40","2019-12-30",9.87
"41","2019-12-31",9.87
"42","2020-01-02",9.87
"43","2020-01-03",9.89
"44","2020-01-06",9.89
"45","2020-01-07",9.92
"46","2020-01-08",9.92
"47","2020-01-09",9.92
"48","2020-01-10",9.9
"49","2020-01-13",9.9
"50","2020-01-14",9.94
"51","2020-01-15",9.94
"52","2020-01-16",9.95
"53","2020-01-17",9.95
"54","2020-01-21",9.98
"55","2020-01-22",10
"56","2020-01-23",9.99
"57","2020-01-24",9.99
"58","2020-01-27",9.99
"59","2020-01-28",10.04
"60","2020-01-29",10.01
"61","2020-01-30",10.01
"62","2020-01-31",10
"63","2020-02-03",10.01
"64","2020-02-04",10
"65","2020-02-05",10
"66","2020-02-06",10
"67","2020-02-07",10
"68","2020-02-10",10.01
"69","2020-02-11",10
"70","2020-02-12",10
"71","2020-02-13",10.01
"72","2020-02-14",10
"73","2020-02-18",10.01
"74","2020-02-19",10.01
"75","2020-02-20",10.01
"76","2020-02-21",10.01
"77","2020-02-24",10.01
"78","2020-02-25",10
"79","2020-02-26",10.01
"80","2020-02-27",9.98
"81","2020-02-28",9.98
"82","2020-03-02",9.98
"83","2020-03-03",9.98
"84","2020-03-04",9.98
"85","2020-03-05",9.97
"86","2020-03-06",9.973
"87","2020-03-09",9.95
"88","2020-03-10",9.91
"89","2020-03-11",9.91
"90","2020-03-12",9.795
"91","2020-03-13",9.8
"92","2020-03-16",9.6
"93","2020-03-17",9.6
"94","2020-03-18",9.52
"95","2020-03-19",9.51
"96","2020-03-20",9.51
"97","2020-03-23",9.51
"98","2020-03-24",9.629
