"","date","RMED"
"1","2018-09-27",500
"2","2018-09-28",455
"3","2018-10-01",370.25
"4","2018-10-02",357.25
"5","2018-10-03",362.25
"6","2018-10-04",347.5
"7","2018-10-05",335.5
"8","2018-10-08",325
"9","2018-10-09",317.5
"10","2018-10-10",306.25
"11","2018-10-11",305
"12","2018-10-12",301.75
"13","2018-10-15",281
"14","2018-10-16",285
"15","2018-10-17",280
"16","2018-10-18",298.75
"17","2018-10-19",333.75
"18","2018-10-22",300.25
"19","2018-10-23",287.5
"20","2018-10-24",282.5
"21","2018-10-25",269.25
"22","2018-10-26",280
"23","2018-10-29",267.75
"24","2018-10-30",265
"25","2018-10-31",267.5
"26","2018-11-01",263.75
"27","2018-11-02",271.25
"28","2018-11-05",260.25
"29","2018-11-06",249.25
"30","2018-11-07",243.75
"31","2018-11-08",220.25
"32","2018-11-09",222.75
"33","2018-11-12",210.25
"34","2018-11-13",205.75
"35","2018-11-14",212
"36","2018-11-15",213.75
"37","2018-11-16",203.5
"38","2018-11-19",207.75
"39","2018-11-20",204.25
"40","2018-11-21",210
"41","2018-11-23",194.75
"42","2018-11-26",202.5
"43","2018-11-27",198
"44","2018-11-28",208
"45","2018-11-29",224.75
"46","2018-11-30",250
"47","2018-12-03",249
"48","2018-12-04",242.5
"49","2018-12-06",229.75
"50","2018-12-07",225.75
"51","2018-12-10",221
"52","2018-12-11",210.5
"53","2018-12-12",201.75
"54","2018-12-13",201.5
"55","2018-12-14",195
"56","2018-12-17",192.5
"57","2018-12-18",199.5
"58","2018-12-19",199.25
"59","2018-12-20",200.75
"60","2018-12-21",199.25
"61","2018-12-24",186.5
"62","2018-12-26",188.25
"63","2018-12-27",183.75
"64","2018-12-28",189.75
"65","2018-12-31",198.75
"66","2019-01-02",205.75
"67","2019-01-03",207
"68","2019-01-04",211.75
"69","2019-01-07",232.5
"70","2019-01-08",241.5
"71","2019-01-09",242.5
"72","2019-01-10",238.75
"73","2019-01-11",244.75
"74","2019-01-14",242.25
"75","2019-01-15",243
"76","2019-01-16",237
"77","2019-01-17",225.5
"78","2019-01-18",215.75
"79","2019-01-22",207.5
"80","2019-01-23",215
"81","2019-01-24",211.25
"82","2019-01-25",204.25
"83","2019-01-28",203
"84","2019-01-29",193
"85","2019-01-30",183
"86","2019-01-31",184.5
"87","2019-02-01",183.75
"88","2019-02-04",186
"89","2019-02-05",183.75
"90","2019-02-06",176
"91","2019-02-07",167.5
"92","2019-02-08",178
"93","2019-02-11",173.25
"94","2019-02-12",170.75
"95","2019-02-13",174
