"","date","BDSI"
"1","2007-01-03",3.09
"2","2007-01-04",2.92
"3","2007-01-05",2.65
"4","2007-01-08",2.6
"5","2007-01-09",2.44
"6","2007-01-10",2.58
"7","2007-01-11",2.7
"8","2007-01-12",2.91
"9","2007-01-16",2.76
"10","2007-01-17",2.74
"11","2007-01-18",2.58
"12","2007-01-19",2.34
"13","2007-01-22",2.44
"14","2007-01-23",2.34
"15","2007-01-24",2.44
"16","2007-01-25",2.47
"17","2007-01-26",2.42
"18","2007-01-29",2.56
"19","2007-01-30",2.46
"20","2007-01-31",2.44
"21","2007-02-01",2.64
"22","2007-02-02",2.78
"23","2007-02-05",2.8
"24","2007-02-06",2.72
"25","2007-02-07",2.56
"26","2007-02-08",2.78
"27","2007-02-09",2.79
"28","2007-02-12",2.7
"29","2007-02-13",2.73
"30","2007-02-14",2.82
"31","2007-02-15",2.85
"32","2007-02-16",2.9
"33","2007-02-20",3.68
"34","2007-02-21",3.79
"35","2007-02-22",4.6
"36","2007-02-23",4.52
"37","2007-02-26",4.71
"38","2007-02-27",4.3
"39","2007-02-28",4.3
"40","2007-03-01",4.4
"41","2007-03-02",4.79
"42","2007-03-05",4.93
"43","2007-03-06",4.76
"44","2007-03-07",4.86
"45","2007-03-08",4.9
"46","2007-03-09",5
"47","2007-03-12",5.27
"48","2007-03-13",5.5
"49","2007-03-14",5.45
"50","2007-03-15",5.32
"51","2007-03-16",5.41
"52","2007-03-19",5.43
"53","2007-03-20",5.05
"54","2007-03-21",5.2
"55","2007-03-22",5.34
"56","2007-03-23",5.48
"57","2007-03-26",5.46
"58","2007-03-27",5.49
"59","2007-03-28",5.49
"60","2007-03-29",5.2
"61","2007-03-30",5.31
"62","2007-04-02",5.55
"63","2007-04-03",5.97
"64","2007-04-04",5.89
"65","2007-04-05",5.83
"66","2007-04-09",6.3
"67","2007-04-10",6.25
"68","2007-04-11",6.01
"69","2007-04-12",5.95
"70","2007-04-13",6.03
"71","2007-04-16",6.06
"72","2007-04-17",5.9
"73","2007-04-18",5.17
"74","2007-04-19",4.88
"75","2007-04-20",4.85
"76","2007-04-23",4.76
"77","2007-04-24",4.64
"78","2007-04-25",6.05
"79","2007-04-26",6.24
"80","2007-04-27",5.91
"81","2007-04-30",5.54
"82","2007-05-01",5.5
"83","2007-05-02",5.69
"84","2007-05-03",5.46
"85","2007-05-04",4.96
"86","2007-05-07",4.89
"87","2007-05-08",4.67
"88","2007-05-09",4.93
"89","2007-05-10",4.92
"90","2007-05-11",4.66
"91","2007-05-14",4.92
"92","2007-05-15",4.96
"93","2007-05-16",5.15
"94","2007-05-17",5.1
"95","2007-05-18",4.96
"96","2007-05-21",5.05
"97","2007-05-22",4.97
"98","2007-05-23",5
"99","2007-05-24",5
"100","2007-05-25",5.02
"101","2007-05-29",5.22
"102","2007-05-30",5.07
"103","2007-05-31",5.28
"104","2007-06-01",5.2
"105","2007-06-04",5.18
"106","2007-06-05",5.11
"107","2007-06-06",4.97
"108","2007-06-07",4.9
"109","2007-06-08",4.9
"110","2007-06-11",4.91
"111","2007-06-12",4.9
"112","2007-06-13",4.77
"113","2007-06-14",4.75
"114","2007-06-15",4.72
"115","2007-06-18",4.38
"116","2007-06-19",4.18
"117","2007-06-20",4.06
"118","2007-06-21",4.07
"119","2007-06-22",4.03
"120","2007-06-25",4.07
"121","2007-06-26",3.94
"122","2007-06-27",4.12
"123","2007-06-28",4.25
"124","2007-06-29",4.39
"125","2007-07-02",4.26
"126","2007-07-03",4.19
"127","2007-07-05",4.48
"128","2007-07-06",4.75
"129","2007-07-09",4.8
"130","2007-07-10",4.65
"131","2007-07-11",4.74
"132","2007-07-12",4.95
"133","2007-07-13",4.62
"134","2007-07-16",4.42
"135","2007-07-17",4.37
