"","date","HBNC"
"1","2007-01-03",5.382716
"2","2007-01-04",5.382716
"3","2007-01-05",5.382716
"4","2007-01-08",5.382716
"5","2007-01-09",5.382716
"6","2007-01-10",5.382716
"7","2007-01-11",5.382716
"8","2007-01-12",5.477531
"9","2007-01-16",5.402469
"10","2007-01-17",5.402469
"11","2007-01-18",5.530864
"12","2007-01-19",5.461729
"13","2007-01-22",5.461729
"14","2007-01-23",5.461729
"15","2007-01-24",5.530864
"16","2007-01-25",5.40642
"17","2007-01-26",5.432099
"18","2007-01-29",5.432099
"19","2007-01-30",5.432099
"20","2007-01-31",5.438025
"21","2007-02-01",5.432099
"22","2007-02-02",5.432099
"23","2007-02-05",5.432099
"24","2007-02-06",5.534815
"25","2007-02-07",5.538765
"26","2007-02-08",5.530864
"27","2007-02-09",5.481482
"28","2007-02-12",5.481482
"29","2007-02-13",5.540741
"30","2007-02-14",5.540741
"31","2007-02-15",5.487407
"32","2007-02-16",5.540741
"33","2007-02-20",5.540741
"34","2007-02-21",5.530864
"35","2007-02-22",5.481482
"36","2007-02-23",5.481482
"37","2007-02-26",5.481482
"38","2007-02-27",5.481482
"39","2007-02-28",5.522963
"40","2007-03-01",5.461729
"41","2007-03-02",5.461729
"42","2007-03-05",5.465679
"43","2007-03-06",5.461729
"44","2007-03-07",5.461729
"45","2007-03-08",5.412346
"46","2007-03-09",5.404444
"47","2007-03-12",5.41037
"48","2007-03-13",5.41037
"49","2007-03-14",5.333333
"50","2007-03-15",5.333333
"51","2007-03-16",5.335309
"52","2007-03-19",5.333333
"53","2007-03-20",5.333333
"54","2007-03-21",5.333333
"55","2007-03-22",5.333333
"56","2007-03-23",5.254321
"57","2007-03-26",5.254321
"58","2007-03-27",5.254321
"59","2007-03-28",5.254321
"60","2007-03-29",5.254321
"61","2007-03-30",5.315556
"62","2007-04-02",5.353086
"63","2007-04-03",5.333333
"64","2007-04-04",5.293827
"65","2007-04-05",5.303704
"66","2007-04-09",5.307654
"67","2007-04-10",5.37679
"68","2007-04-11",5.432099
"69","2007-04-12",5.402469
"70","2007-04-13",5.333333
"71","2007-04-16",5.424198
"72","2007-04-17",5.424198
"73","2007-04-18",5.303704
"74","2007-04-19",5.303704
"75","2007-04-20",5.341235
"76","2007-04-23",5.31358
