"","date","OLED"
"1","2007-01-03",14.6
"2","2007-01-04",14.57
"3","2007-01-05",14.54
"4","2007-01-08",14.71
"5","2007-01-09",14.61
"6","2007-01-10",14.42
"7","2007-01-11",14.47
"8","2007-01-12",14.16
"9","2007-01-16",14.26
"10","2007-01-17",14.23
"11","2007-01-18",13.8
"12","2007-01-19",13.61
"13","2007-01-22",13.55
"14","2007-01-23",13.5
"15","2007-01-24",13.79
"16","2007-01-25",13.43
"17","2007-01-26",13.42
"18","2007-01-29",13.09
"19","2007-01-30",13.33
"20","2007-01-31",13.47
"21","2007-02-01",13.5
"22","2007-02-02",13.78
"23","2007-02-05",13.82
"24","2007-02-06",14.12
"25","2007-02-07",13.76
"26","2007-02-08",13.71
"27","2007-02-09",13.15
"28","2007-02-12",13.1
"29","2007-02-13",13.26
"30","2007-02-14",13.43
"31","2007-02-15",13.43
"32","2007-02-16",13.46
"33","2007-02-20",13.98
"34","2007-02-21",13.75
"35","2007-02-22",13.74
"36","2007-02-23",13.86
"37","2007-02-26",13.91
"38","2007-02-27",13.07
"39","2007-02-28",13.02
"40","2007-03-01",12.64
"41","2007-03-02",12.26
"42","2007-03-05",12.03
"43","2007-03-06",12.26
"44","2007-03-07",12.19
"45","2007-03-08",12.41
"46","2007-03-09",12.38
"47","2007-03-12",12.7
"48","2007-03-13",12.12
"49","2007-03-14",12.5
"50","2007-03-15",12.57
"51","2007-03-16",12.27
"52","2007-03-19",12.51
"53","2007-03-20",12.94
"54","2007-03-21",13.24
"55","2007-03-22",14
"56","2007-03-23",14.81
"57","2007-03-26",14.71
"58","2007-03-27",14.51
"59","2007-03-28",14.62
"60","2007-03-29",15.8
"61","2007-03-30",15.09
"62","2007-04-02",14.8
"63","2007-04-03",15.12
"64","2007-04-04",15.86
"65","2007-04-05",15.94
"66","2007-04-09",15.51
"67","2007-04-10",15.84
"68","2007-04-11",15.93
"69","2007-04-12",16.34
"70","2007-04-13",16.33
"71","2007-04-16",16.68
"72","2007-04-17",17.639999
"73","2007-04-18",17.700001
"74","2007-04-19",16.700001
"75","2007-04-20",16.9
"76","2007-04-23",16.950001
"77","2007-04-24",17
"78","2007-04-25",17.379999
"79","2007-04-26",16.65
"80","2007-04-27",16.139999
"81","2007-04-30",15.58
"82","2007-05-01",16.01
"83","2007-05-02",16.5
"84","2007-05-03",16.76
"85","2007-05-04",16.940001
"86","2007-05-07",17.309999
"87","2007-05-08",17.35
"88","2007-05-09",16.91
"89","2007-05-10",16.35
"90","2007-05-11",16.1
"91","2007-05-14",15.56
"92","2007-05-15",15.59
"93","2007-05-16",15.6
"94","2007-05-17",16.120001
"95","2007-05-18",16.040001
"96","2007-05-21",16.32
"97","2007-05-22",16
"98","2007-05-23",15.39
"99","2007-05-24",14.65
"100","2007-05-25",15.42
"101","2007-05-29",15.83
"102","2007-05-30",16.26
"103","2007-05-31",15.61
"104","2007-06-01",15.34
"105","2007-06-04",15.47
"106","2007-06-05",15.18
"107","2007-06-06",15.02
"108","2007-06-07",14.61
"109","2007-06-08",14.88
"110","2007-06-11",14.59
"111","2007-06-12",14.72
"112","2007-06-13",14.96
"113","2007-06-14",15.5
"114","2007-06-15",15.56
"115","2007-06-18",15.23
"116","2007-06-19",16.790001
"117","2007-06-20",16.530001
"118","2007-06-21",16.48
"119","2007-06-22",16.299999
"120","2007-06-25",16.09
"121","2007-06-26",16.030001
"122","2007-06-27",16.379999
"123","2007-06-28",16.110001
"124","2007-06-29",15.71
"125","2007-07-02",15.98
"126","2007-07-03",16.09
"127","2007-07-05",15.6
"128","2007-07-06",15.54
"129","2007-07-09",15.39
"130","2007-07-10",15.1
"131","2007-07-11",15.18
"132","2007-07-12",15.3
"133","2007-07-13",15.36
"134","2007-07-16",15.16
"135","2007-07-17",15.21
"136","2007-07-18",15.66
"137","2007-07-19",15.91
"138","2007-07-20",15.95
"139","2007-07-23",15.78
"140","2007-07-24",15.15
"141","2007-07-25",14.79
"142","2007-07-26",14.14
"143","2007-07-27",13.8
"144","2007-07-30",13.86
"145","2007-07-31",15.02
"146","2007-08-01",15.04
"147","2007-08-02",15.96
"148","2007-08-03",14.81
"149","2007-08-06",15.76
"150","2007-08-07",17
"151","2007-08-08",18.440001
"152","2007-08-09",18.030001
"153","2007-08-10",16.84
"154","2007-08-13",15.6
"155","2007-08-14",15.05
"156","2007-08-15",14.82
"157","2007-08-16",16.01
"158","2007-08-17",16.25
"159","2007-08-20",16.299999
"160","2007-08-21",15.64
"161","2007-08-22",15.59
"162","2007-08-23",14.94
"163","2007-08-24",15.25
"164","2007-08-27",14.94
"165","2007-08-28",14.4
"166","2007-08-29",15
"167","2007-08-30",15.11
"168","2007-08-31",14.76
"169","2007-09-04",15.03
"170","2007-09-05",14.88
"171","2007-09-06",15.29
"172","2007-09-07",14.8
"173","2007-09-10",15.06
"174","2007-09-11",15.41
"175","2007-09-12",15.19
"176","2007-09-13",15.35
"177","2007-09-14",15.2
"178","2007-09-17",15.13
"179","2007-09-18",16.4
"180","2007-09-19",16.299999
"181","2007-09-20",16.18
"182","2007-09-21",16.07
"183","2007-09-24",16.07
