"","date","HYLN"
"1","2020-01-02",9.95
"2","2020-01-03",9.95
"3","2020-01-06",9.99
"4","2020-01-07",10.02
"5","2020-01-08",10.03
"6","2020-01-09",10.03
"7","2020-01-10",10.03
"8","2020-01-13",10.03
"9","2020-01-14",10.03
"10","2020-01-15",10.03
"11","2020-01-16",10.05
"12","2020-01-17",10.04
"13","2020-01-21",10.03
"14","2020-01-22",10.03
"15","2020-01-23",10.07
"16","2020-01-24",10.03
"17","2020-01-27",10.02
"18","2020-01-28",10.03
"19","2020-01-29",10.035
"20","2020-01-30",10.03
"21","2020-01-31",10.03
"22","2020-02-03",10.03
"23","2020-02-04",10.07
"24","2020-02-05",10.07
"25","2020-02-06",10.03
"26","2020-02-07",10.03
"27","2020-02-10",10.03
"28","2020-02-11",10.03
"29","2020-02-12",10.05
"30","2020-02-13",10.05
"31","2020-02-14",10.05
"32","2020-02-18",10.04
"33","2020-02-19",10.04
"34","2020-02-20",10.04
"35","2020-02-21",10.05
"36","2020-02-24",10.05
"37","2020-02-25",10.047
"38","2020-02-26",10.04
"39","2020-02-27",10.03
"40","2020-02-28",10.03
"41","2020-03-02",10.07
"42","2020-03-03",10.02
"43","2020-03-04",10.02
"44","2020-03-05",10.05
"45","2020-03-06",10.07
"46","2020-03-09",10.07
"47","2020-03-10",10.05
"48","2020-03-11",10.05
"49","2020-03-12",9.95
"50","2020-03-13",9.85
"51","2020-03-16",9.701
"52","2020-03-17",9.676
"53","2020-03-18",9.55
"54","2020-03-19",9.62
"55","2020-03-20",9.62
"56","2020-03-23",9.62
"57","2020-03-24",9.65
"58","2020-03-25",9.7
"59","2020-03-26",9.8
"60","2020-03-27",9.83
"61","2020-03-30",9.83
"62","2020-03-31",9.83
"63","2020-04-01",9.9
"64","2020-04-02",9.9
"65","2020-04-03",9.9
"66","2020-04-06",9.84
"67","2020-04-07",9.9
"68","2020-04-08",9.91
"69","2020-04-09",9.91
"70","2020-04-13",9.91
"71","2020-04-14",9.94
"72","2020-04-15",9.94
"73","2020-04-16",9.94
"74","2020-04-17",9.93
"75","2020-04-20",9.93
"76","2020-04-21",9.93
"77","2020-04-22",9.93
"78","2020-04-23",9.93
"79","2020-04-24",9.93
"80","2020-04-27",9.94
"81","2020-04-28",9.94
"82","2020-04-29",9.94
"83","2020-04-30",9.94
"84","2020-05-01",9.94
"85","2020-05-04",9.94
"86","2020-05-05",9.94
"87","2020-05-06",9.89
"88","2020-05-07",9.94
"89","2020-05-08",9.94
"90","2020-05-11",9.96
"91","2020-05-12",9.9
"92","2020-05-13",9.9
"93","2020-05-14",9.945
"94","2020-05-15",9.945
"95","2020-05-18",9.945
"96","2020-05-19",9.945
"97","2020-05-20",9.92
"98","2020-05-21",9.92
"99","2020-05-22",9.92
"100","2020-05-26",9.92
"101","2020-05-27",9.92
"102","2020-05-28",9.96
"103","2020-05-29",10
"104","2020-06-01",10.05
"105","2020-06-02",10.05
