"","date","CAT"
"1","2007-01-03",61.16
"2","2007-01-04",61
"3","2007-01-05",60.220001
"4","2007-01-08",60.290001
"5","2007-01-09",60.619999
"6","2007-01-10",60.32
"7","2007-01-11",60
"8","2007-01-12",59.740002
"9","2007-01-16",59.240002
"10","2007-01-17",59.91
"11","2007-01-18",59.900002
"12","2007-01-19",59.369999
"13","2007-01-22",58.169998
"14","2007-01-23",59.560001
"15","2007-01-24",59.73
"16","2007-01-25",59.630001
"17","2007-01-26",61.09
"18","2007-01-29",61.700001
"19","2007-01-30",62.880001
"20","2007-01-31",64.07
"21","2007-02-01",64.989998
"22","2007-02-02",65.25
"23","2007-02-05",64.489998
"24","2007-02-06",64.419998
"25","2007-02-07",65.639999
"26","2007-02-08",65.629997
"27","2007-02-09",64.800003
"28","2007-02-12",64.599998
"29","2007-02-13",64.730003
"30","2007-02-14",66.160004
"31","2007-02-15",67.620003
"32","2007-02-16",67.669998
"33","2007-02-20",67.93
"34","2007-02-21",68.209999
"35","2007-02-22",67.779999
"36","2007-02-23",67.260002
"37","2007-02-26",67.260002
"38","2007-02-27",64.830002
"39","2007-02-28",64.43
"40","2007-03-01",63.900002
"41","2007-03-02",63.040001
"42","2007-03-05",63.169998
"43","2007-03-06",63.619999
"44","2007-03-07",64.230003
"45","2007-03-08",64.300003
"46","2007-03-09",64.400002
"47","2007-03-12",64.57
"48","2007-03-13",63.34
"49","2007-03-14",63.639999
"50","2007-03-15",63.459999
"51","2007-03-16",63.16
"52","2007-03-19",64.169998
"53","2007-03-20",64.860001
"54","2007-03-21",66.209999
"55","2007-03-22",66.540001
"56","2007-03-23",66.879997
"57","2007-03-26",66.839996
"58","2007-03-27",66.879997
"59","2007-03-28",66.239998
"60","2007-03-29",66.190002
"61","2007-03-30",67.029999
"62","2007-04-02",66.75
"63","2007-04-03",67.239998
"64","2007-04-04",67.480003
"65","2007-04-05",67.629997
"66","2007-04-09",67.339996
"67","2007-04-10",66.949997
"68","2007-04-11",66.349998
"69","2007-04-12",66.639999
"70","2007-04-13",66.790001
"71","2007-04-16",66.900002
"72","2007-04-17",67.660004
"73","2007-04-18",69.370003
"74","2007-04-19",68.620003
"75","2007-04-20",71.82
"76","2007-04-23",71.849998
"77","2007-04-24",72.809998
"78","2007-04-25",73.230003
"79","2007-04-26",73
"80","2007-04-27",73.760002
"81","2007-04-30",72.620003
"82","2007-05-01",73.239998
"83","2007-05-02",73.400002
"84","2007-05-03",73.360001
"85","2007-05-04",73.099998
"86","2007-05-07",72.669998
"87","2007-05-08",73.43
"88","2007-05-09",74.75
"89","2007-05-10",73.809998
"90","2007-05-11",74.879997
"91","2007-05-14",76.300003
"92","2007-05-15",76.010002
"93","2007-05-16",75.949997
"94","2007-05-17",74.839996
"95","2007-05-18",74.769997
"96","2007-05-21",74.849998
"97","2007-05-22",75.510002
"98","2007-05-23",76.029999
"99","2007-05-24",75.43
"100","2007-05-25",75.709999
"101","2007-05-29",75.75
"102","2007-05-30",78.480003
"103","2007-05-31",78.580002
"104","2007-06-01",78.139999
"105","2007-06-04",78.290001
"106","2007-06-05",78.650002
"107","2007-06-06",78.68
"108","2007-06-07",77.309998
"109","2007-06-08",78.519997
"110","2007-06-11",78.75
"111","2007-06-12",78.080002
"112","2007-06-13",79.93
"113","2007-06-14",80.730003
"114","2007-06-15",81.110001
"115","2007-06-18",81.849998
"116","2007-06-19",82.489998
"117","2007-06-20",81.379997
"118","2007-06-21",81.470001
"119","2007-06-22",80.900002
"120","2007-06-25",80.699997
"121","2007-06-26",80.290001
"122","2007-06-27",79.510002
"123","2007-06-28",79.089996
"124","2007-06-29",78.300003
"125","2007-07-02",80.449997
"126","2007-07-03",77.989998
"127","2007-07-05",77.489998
