"","date","IEA"
"1","2016-10-06",9.61
"2","2016-10-07",9.61
"3","2016-10-10",9.61
"4","2016-10-11",9.61
"5","2016-10-12",9.62
"6","2016-10-13",9.62
"7","2016-10-14",9.62
"8","2016-10-17",9.62
"9","2016-10-18",9.62
"10","2016-10-19",9.62
"11","2016-10-20",9.62
"12","2016-10-21",9.62
"13","2016-10-24",9.62
"14","2016-10-25",9.62
"15","2016-10-26",9.62
"16","2016-10-27",9.62
"17","2016-10-28",9.62
"18","2016-10-31",9.65
"19","2016-11-01",9.61
"20","2016-11-02",9.61
"21","2016-11-03",9.61
"22","2016-11-04",9.61
"23","2016-11-07",9.65
"24","2016-11-08",9.43
"25","2016-11-09",9.43
"26","2016-11-10",9.43
"27","2016-11-11",9.43
"28","2016-11-14",9.43
"29","2016-11-15",9.75
"30","2016-11-16",9.75
"31","2016-11-17",9.75
"32","2016-11-18",9.7
"33","2016-11-21",9.75
"34","2016-11-22",9.72
"35","2016-11-23",9.69
"36","2016-11-25",9.69
"37","2016-11-28",9.73
"38","2016-11-29",9.73
"39","2016-11-30",9.73
"40","2016-12-01",9.73
"41","2016-12-02",9.65
"42","2016-12-05",9.65
"43","2016-12-06",9.65
"44","2016-12-07",9.65
"45","2016-12-08",9.65
"46","2016-12-09",9.65
"47","2016-12-12",9.65
"48","2016-12-13",9.65
"49","2016-12-14",9.67
"50","2016-12-15",9.67
"51","2016-12-16",9.7
"52","2016-12-19",9.7
"53","2016-12-20",9.7
"54","2016-12-21",9.7
"55","2016-12-22",9.72
"56","2016-12-23",9.75
"57","2016-12-27",9.7
"58","2016-12-28",9.7
"59","2016-12-29",9.7
"60","2016-12-30",9.75
"61","2017-01-03",9.65
"62","2017-01-04",9.715
"63","2017-01-05",9.7
"64","2017-01-06",9.7
"65","2017-01-09",9.7
"66","2017-01-10",9.72
"67","2017-01-11",9.71
"68","2017-01-12",9.74
"69","2017-01-13",9.73
"70","2017-01-17",9.734
"71","2017-01-18",9.73
"72","2017-01-19",9.77
"73","2017-01-20",9.77
"74","2017-01-23",9.77
"75","2017-01-24",9.77
"76","2017-01-25",9.77
"77","2017-01-26",9.77
"78","2017-01-27",9.77
"79","2017-01-30",9.77
"80","2017-01-31",9.77
"81","2017-02-01",9.77
"82","2017-02-02",9.77
"83","2017-02-03",9.77
"84","2017-02-06",9.77
"85","2017-02-07",9.77
"86","2017-02-08",9.73
"87","2017-02-09",9.73
"88","2017-02-10",9.73
"89","2017-02-13",9.73
"90","2017-02-14",9.73
"91","2017-02-15",9.81
"92","2017-02-16",9.81
"93","2017-02-17",9.81
"94","2017-02-21",9.81
"95","2017-02-22",9.81
"96","2017-02-23",9.81
"97","2017-02-24",9.81
"98","2017-02-27",9.81
"99","2017-02-28",9.82
"100","2017-03-01",9.82
"101","2017-03-02",9.82
"102","2017-03-03",9.82
"103","2017-03-06",9.82
"104","2017-03-07",9.82
"105","2017-03-08",9.82
"106","2017-03-09",9.75
"107","2017-03-10",9.75
"108","2017-03-13",9.76
"109","2017-03-14",9.76
"110","2017-03-15",9.79
"111","2017-03-16",9.82
"112","2017-03-17",9.82
"113","2017-03-20",9.78
"114","2017-03-21",9.82
"115","2017-03-22",9.78
"116","2017-03-23",9.78
"117","2017-03-24",9.78
"118","2017-03-27",9.78
"119","2017-03-28",9.81
"120","2017-03-29",9.81
"121","2017-03-30",9.801
"122","2017-03-31",9.801
"123","2017-04-03",9.82
"124","2017-04-04",9.82
"125","2017-04-05",9.84
"126","2017-04-06",9.79
"127","2017-04-07",9.85
"128","2017-04-10",9.85
"129","2017-04-11",9.85
"130","2017-04-12",9.85
"131","2017-04-13",9.85
"132","2017-04-17",9.9
"133","2017-04-18",9.9
"134","2017-04-19",9.9
"135","2017-04-20",9.84
"136","2017-04-21",9.84
"137","2017-04-24",9.81
"138","2017-04-25",9.87
"139","2017-04-26",9.87
"140","2017-04-27",9.87
"141","2017-04-28",9.87
"142","2017-05-01",9.87
"143","2017-05-02",9.87
"144","2017-05-03",9.82
"145","2017-05-04",9.82
"146","2017-05-05",9.82
"147","2017-05-08",9.82
"148","2017-05-09",9.82
