"","date","NVMI"
"1","2007-01-03",2.6
"2","2007-01-04",2.59
"3","2007-01-05",2.7
"4","2007-01-08",2.6
"5","2007-01-09",2.47
"6","2007-01-10",2.42
"7","2007-01-11",2.59
"8","2007-01-12",2.57
"9","2007-01-16",2.54
"10","2007-01-17",2.55
"11","2007-01-18",2.48
"12","2007-01-19",2.48
"13","2007-01-22",2.51
"14","2007-01-23",2.55
"15","2007-01-24",2.55
"16","2007-01-25",2.55
"17","2007-01-26",2.55
"18","2007-01-29",2.5
"19","2007-01-30",2.55
"20","2007-01-31",2.56
"21","2007-02-01",2.56
"22","2007-02-02",2.51
"23","2007-02-05",2.46
"24","2007-02-06",2.54
"25","2007-02-07",2.67
"26","2007-02-08",2.68
"27","2007-02-09",2.68
"28","2007-02-12",2.68
"29","2007-02-13",2.68
"30","2007-02-14",2.69
"31","2007-02-15",2.7
"32","2007-02-16",2.82
"33","2007-02-20",2.89
"34","2007-02-21",2.87
"35","2007-02-22",2.84
"36","2007-02-23",3.02
"37","2007-02-26",3.02
"38","2007-02-27",2.94
"39","2007-02-28",2.99
"40","2007-03-01",2.99
"41","2007-03-02",2.85
"42","2007-03-05",2.83
"43","2007-03-06",2.7
"44","2007-03-07",2.65
"45","2007-03-08",2.65
"46","2007-03-09",2.62
"47","2007-03-12",2.55
"48","2007-03-13",2.55
"49","2007-03-14",2.61
"50","2007-03-15",2.67
"51","2007-03-16",2.71
"52","2007-03-19",2.79
"53","2007-03-20",2.85
"54","2007-03-21",2.85
"55","2007-03-22",2.89
"56","2007-03-23",2.88
"57","2007-03-26",2.88
"58","2007-03-27",2.9
"59","2007-03-28",2.77
"60","2007-03-29",2.85
"61","2007-03-30",2.89
"62","2007-04-02",2.8
"63","2007-04-03",2.88
"64","2007-04-04",2.87
"65","2007-04-05",2.88
"66","2007-04-09",2.87
"67","2007-04-10",2.88
"68","2007-04-11",2.87
"69","2007-04-12",2.8
"70","2007-04-13",2.78
"71","2007-04-16",2.7
"72","2007-04-17",2.74
"73","2007-04-18",2.56
"74","2007-04-19",2.68
"75","2007-04-20",2.78
"76","2007-04-23",2.79
"77","2007-04-24",2.8
"78","2007-04-25",2.79
"79","2007-04-26",2.8
"80","2007-04-27",2.8
"81","2007-04-30",2.8
"82","2007-05-01",2.79
"83","2007-05-02",2.79
"84","2007-05-03",2.71
"85","2007-05-04",2.78
"86","2007-05-07",2.8
"87","2007-05-08",2.83
"88","2007-05-09",2.95
"89","2007-05-10",2.94
"90","2007-05-11",2.94
"91","2007-05-14",2.88
"92","2007-05-15",2.8
"93","2007-05-16",2.81
"94","2007-05-17",2.9
"95","2007-05-18",2.94
"96","2007-05-21",2.89
"97","2007-05-22",2.9
"98","2007-05-23",2.9
"99","2007-05-24",2.85
"100","2007-05-25",2.8
"101","2007-05-29",2.66
"102","2007-05-30",2.85
"103","2007-05-31",2.89
"104","2007-06-01",2.93
"105","2007-06-04",2.98
"106","2007-06-05",2.97
"107","2007-06-06",2.87
"108","2007-06-07",2.99
"109","2007-06-08",2.95
"110","2007-06-11",2.97
"111","2007-06-12",2.94
"112","2007-06-13",2.89
"113","2007-06-14",2.84
"114","2007-06-15",2.84
"115","2007-06-18",2.81
"116","2007-06-19",2.83
"117","2007-06-20",2.83
"118","2007-06-21",2.9
"119","2007-06-22",2.89
"120","2007-06-25",2.9
"121","2007-06-26",2.78
"122","2007-06-27",2.76
"123","2007-06-28",2.65
"124","2007-06-29",2.65
"125","2007-07-02",2.49
"126","2007-07-03",2.4
"127","2007-07-05",2.45
"128","2007-07-06",2.45
"129","2007-07-09",2.66
"130","2007-07-10",2.63
"131","2007-07-11",2.6
"132","2007-07-12",2.62
"133","2007-07-13",2.62
"134","2007-07-16",2.57
"135","2007-07-17",2.6
"136","2007-07-18",2.5
"137","2007-07-19",2.49
"138","2007-07-20",2.49
"139","2007-07-23",2.72
"140","2007-07-24",2.68
"141","2007-07-25",2.68
"142","2007-07-26",2.56
"143","2007-07-27",2.5
"144","2007-07-30",2.7
"145","2007-07-31",2.71
"146","2007-08-01",2.77
"147","2007-08-02",2.86
"148","2007-08-03",2.82
"149","2007-08-06",2.65
"150","2007-08-07",2.65
"151","2007-08-08",2.69
"152","2007-08-09",2.59
"153","2007-08-10",2.44
"154","2007-08-13",2.48
"155","2007-08-14",2.36
"156","2007-08-15",2.55
"157","2007-08-16",2.5
"158","2007-08-17",2.56
"159","2007-08-20",2.56
"160","2007-08-21",2.48
"161","2007-08-22",2.47
"162","2007-08-23",2.47
"163","2007-08-24",2.54
"164","2007-08-27",2.5
"165","2007-08-28",2.47
"166","2007-08-29",2.57
"167","2007-08-30",2.57
"168","2007-08-31",2.56
"169","2007-09-04",2.54
"170","2007-09-05",2.48
"171","2007-09-06",2.54
"172","2007-09-07",2.51
"173","2007-09-10",2.53
"174","2007-09-11",2.55
"175","2007-09-12",2.55
"176","2007-09-13",2.54
"177","2007-09-14",2.55
"178","2007-09-17",2.45
"179","2007-09-18",2.5
"180","2007-09-19",2.75
"181","2007-09-20",2.69
"182","2007-09-21",2.64
"183","2007-09-24",2.68
"184","2007-09-25",2.7
"185","2007-09-26",2.7
"186","2007-09-27",2.71
"187","2007-09-28",2.71
"188","2007-10-01",2.71
"189","2007-10-02",2.71
"190","2007-10-03",2.73
"191","2007-10-04",2.79
"192","2007-10-05",2.79
"193","2007-10-08",2.78
"194","2007-10-09",2.79
"195","2007-10-10",2.8
"196","2007-10-11",2.83
"197","2007-10-12",2.81
"198","2007-10-15",2.86
"199","2007-10-16",2.85
"200","2007-10-17",2.86
"201","2007-10-18",2.87
"202","2007-10-19",2.86
"203","2007-10-22",2.85
"204","2007-10-23",2.82
"205","2007-10-24",2.83
"206","2007-10-25",2.87
"207","2007-10-26",2.87
"208","2007-10-29",2.84
"209","2007-10-30",2.84
"210","2007-10-31",2.79
"211","2007-11-01",2.77
"212","2007-11-02",2.77
"213","2007-11-05",2.81
"214","2007-11-06",2.84
"215","2007-11-07",2.7
"216","2007-11-08",2.54
"217","2007-11-09",2.4
"218","2007-11-12",2.35
"219","2007-11-13",2.5
"220","2007-11-14",2.3
"221","2007-11-15",2.38
"222","2007-11-16",2.44
"223","2007-11-19",2.3
"224","2007-11-20",2.3
"225","2007-11-21",2.37
"226","2007-11-23",2.3
"227","2007-11-26",2.32
"228","2007-11-27",2.39
"229","2007-11-28",2.3
"230","2007-11-29",2.55
"231","2007-11-30",2.59
