"","date","GNLN"
"1","2019-04-18",21.1
"2","2019-04-22",19.49
"3","2019-04-23",20.700001
"4","2019-04-24",19.85
"5","2019-04-25",19.049999
"6","2019-04-26",18.049999
"7","2019-04-29",17.49
"8","2019-04-30",17
"9","2019-05-01",14.84
"10","2019-05-02",13.34
"11","2019-05-03",14.23
"12","2019-05-06",15.53
"13","2019-05-07",16.190001
"14","2019-05-08",16.5
"15","2019-05-09",17.27
"16","2019-05-10",16.25
"17","2019-05-13",15.54
"18","2019-05-14",16.32
"19","2019-05-15",16.610001
"20","2019-05-16",16
"21","2019-05-17",15.53
"22","2019-05-20",15.8
"23","2019-05-21",15.65
"24","2019-05-22",15.74
"25","2019-05-23",15.17
"26","2019-05-24",15.21
"27","2019-05-28",15.38
"28","2019-05-29",15.18
"29","2019-05-30",15.15
"30","2019-05-31",15.24
"31","2019-06-03",15.58
"32","2019-06-04",15.75
"33","2019-06-05",15.27
"34","2019-06-06",15.08
"35","2019-06-07",15.55
"36","2019-06-10",15.01
"37","2019-06-11",15.02
"38","2019-06-12",14.5
"39","2019-06-13",14.02
"40","2019-06-14",13.91
"41","2019-06-17",13.51
"42","2019-06-18",13.27
"43","2019-06-19",11
"44","2019-06-20",11.25
"45","2019-06-21",10.32
"46","2019-06-24",9.32
"47","2019-06-25",9.65
"48","2019-06-26",9.06
"49","2019-06-27",9.95
"50","2019-06-28",9.59
"51","2019-07-01",9.03
"52","2019-07-02",8.49
"53","2019-07-03",7.96
"54","2019-07-05",8.32
"55","2019-07-08",8.02
"56","2019-07-09",8.08
"57","2019-07-10",8.11
"58","2019-07-11",8
"59","2019-07-12",7.77
"60","2019-07-15",7.71
"61","2019-07-16",7.75
"62","2019-07-17",8
"63","2019-07-18",8.25
"64","2019-07-19",7.92
"65","2019-07-22",7.69
"66","2019-07-23",7.61
"67","2019-07-24",7.47
"68","2019-07-25",7.38
"69","2019-07-26",7.76
"70","2019-07-29",7.84
"71","2019-07-30",8.26
"72","2019-07-31",8.43
"73","2019-08-01",7.98
"74","2019-08-02",8.01
"75","2019-08-05",7.85
"76","2019-08-06",7.95
"77","2019-08-07",7.97
"78","2019-08-08",9.08
"79","2019-08-09",8.57
"80","2019-08-12",8.86
"81","2019-08-13",7.59
