"","date","TPIC"
"1","2016-07-22",13.56
"2","2016-07-25",13.25
"3","2016-07-26",13.83
"4","2016-07-27",14.31
"5","2016-07-28",14.23
"6","2016-07-29",14.625
"7","2016-08-01",14.885
"8","2016-08-02",14.685
"9","2016-08-03",14.79
"10","2016-08-04",15.8
"11","2016-08-05",15.5
"12","2016-08-08",14.95
"13","2016-08-09",14.94
"14","2016-08-10",15.05
"15","2016-08-11",16.290001
"16","2016-08-12",16.25
"17","2016-08-15",16.969999
"18","2016-08-16",18.6
"19","2016-08-17",18.889999
"20","2016-08-18",19.200001
"21","2016-08-19",18.950001
"22","2016-08-22",18.93
"23","2016-08-23",18.57
"24","2016-08-24",18.07
"25","2016-08-25",17.68
"26","2016-08-26",17.530001
"27","2016-08-29",20.450001
"28","2016-08-30",20.32
"29","2016-08-31",19.889999
"30","2016-09-01",19.790001
"31","2016-09-02",19.52
"32","2016-09-06",19.540001
"33","2016-09-07",19.780001
"34","2016-09-08",20.309999
"35","2016-09-09",18.15
"36","2016-09-12",18.700001
"37","2016-09-13",18.35
"38","2016-09-14",18.469999
"39","2016-09-15",18.59
"40","2016-09-16",19.73
"41","2016-09-19",20.73
"42","2016-09-20",20.059999
"43","2016-09-21",20.74
"44","2016-09-22",21.059999
"45","2016-09-23",21.32
"46","2016-09-26",20.66
"47","2016-09-27",21.290001
"48","2016-09-28",22.110001
"49","2016-09-29",20.969999
"50","2016-09-30",21.26
"51","2016-10-03",20.889999
"52","2016-10-04",21.85
"53","2016-10-05",21.379999
"54","2016-10-06",21.77
"55","2016-10-07",22.67
"56","2016-10-10",22.440001
"57","2016-10-11",18.48
"58","2016-10-12",17.48
"59","2016-10-13",17.43
"60","2016-10-14",17.99
"61","2016-10-17",17.76
"62","2016-10-18",17.719999
"63","2016-10-19",18.200001
"64","2016-10-20",17.84
"65","2016-10-21",17.91
"66","2016-10-24",17.91
"67","2016-10-25",17.68
"68","2016-10-26",16.959999
"69","2016-10-27",15.31
"70","2016-10-28",16.15
"71","2016-10-31",15.92
"72","2016-11-01",15.23
"73","2016-11-02",14.55
"74","2016-11-03",13.9
"75","2016-11-04",14.72
"76","2016-11-07",15.11
"77","2016-11-08",15.23
"78","2016-11-09",15.58
"79","2016-11-10",14.97
"80","2016-11-11",14.45
"81","2016-11-14",13.89
"82","2016-11-15",13.36
"83","2016-11-16",13.93
"84","2016-11-17",14.48
"85","2016-11-18",14.94
"86","2016-11-21",14.23
"87","2016-11-22",14.55
"88","2016-11-23",14.77
"89","2016-11-25",15.8
"90","2016-11-28",15.21
"91","2016-11-29",14.91
"92","2016-11-30",15.17
"93","2016-12-01",14.83
"94","2016-12-02",14.69
"95","2016-12-05",14.69
"96","2016-12-06",14.76
"97","2016-12-07",15.19
"98","2016-12-08",15.13
"99","2016-12-09",15.25
"100","2016-12-12",14.38
"101","2016-12-13",14.83
"102","2016-12-14",14.9
"103","2016-12-15",15.01
"104","2016-12-16",15.06
"105","2016-12-19",14.85
"106","2016-12-20",15.56
"107","2016-12-21",15.12
"108","2016-12-22",15.9
"109","2016-12-23",15.68
"110","2016-12-27",16.389999
"111","2016-12-28",16.4
"112","2016-12-29",16.24
"113","2016-12-30",16.040001
"114","2017-01-03",15.42
"115","2017-01-04",15.83
"116","2017-01-05",16.879999
"117","2017-01-06",16.690001
"118","2017-01-09",16.610001
"119","2017-01-10",17.26
"120","2017-01-11",17.41
"121","2017-01-12",17.309999
"122","2017-01-13",17.48
"123","2017-01-17",17.26
"124","2017-01-18",17.85
"125","2017-01-19",17.74
"126","2017-01-20",17.620001
"127","2017-01-23",18.18
"128","2017-01-24",18.209999
"129","2017-01-25",18.68
"130","2017-01-26",18.969999
"131","2017-01-27",18.790001
"132","2017-01-30",18.16
"133","2017-01-31",19.41
"134","2017-02-01",19.09
"135","2017-02-02",18.790001
"136","2017-02-03",18.629999
"137","2017-02-06",18.58
"138","2017-02-07",18.450001
"139","2017-02-08",18.93
"140","2017-02-09",19.299999
"141","2017-02-10",19.32
"142","2017-02-13",19.25
"143","2017-02-14",19.219999
"144","2017-02-15",19.200001
"145","2017-02-16",19.15
"146","2017-02-17",19.15
"147","2017-02-21",19.84
"148","2017-02-22",20.32
"149","2017-02-23",19.34
"150","2017-02-24",18.950001
"151","2017-02-27",18.139999
"152","2017-02-28",17.450001
"153","2017-03-01",17.85
"154","2017-03-02",17.76
"155","2017-03-03",17.360001
"156","2017-03-06",17.200001
"157","2017-03-07",17.290001
"158","2017-03-08",17.440001
"159","2017-03-09",17.1
"160","2017-03-10",16.67
"161","2017-03-13",16.6
"162","2017-03-14",16.299999
"163","2017-03-15",17.15
"164","2017-03-16",17.24
"165","2017-03-17",17.4
"166","2017-03-20",16.99
"167","2017-03-21",16.34
"168","2017-03-22",16.49
"169","2017-03-23",16.5
"170","2017-03-24",16.459999
"171","2017-03-27",16.059999
"172","2017-03-28",17.4
"173","2017-03-29",18.33
"174","2017-03-30",18.290001
"175","2017-03-31",19.01
"176","2017-04-03",18.889999
"177","2017-04-04",19.35
"178","2017-04-05",19.07
"179","2017-04-06",19.43
"180","2017-04-07",19.200001
"181","2017-04-10",19.98
"182","2017-04-11",19.889999
"183","2017-04-12",19.360001
"184","2017-04-13",19.469999
"185","2017-04-17",19.73
"186","2017-04-18",19.719999
"187","2017-04-19",20.35
"188","2017-04-20",20.34
"189","2017-04-21",20.25
"190","2017-04-24",20.49
"191","2017-04-25",20.129999
"192","2017-04-26",19.84
"193","2017-04-27",19.57
"194","2017-04-28",19.65
"195","2017-05-01",19.17
"196","2017-05-02",17.809999
"197","2017-05-03",17.52
"198","2017-05-04",18
"199","2017-05-05",17.969999
"200","2017-05-08",18.049999
"201","2017-05-09",18.6
"202","2017-05-10",16.799999
"203","2017-05-11",16.700001
"204","2017-05-12",16.32
"205","2017-05-15",16.73
"206","2017-05-16",16.040001
"207","2017-05-17",15.57
"208","2017-05-18",15.75
"209","2017-05-19",15.87
"210","2017-05-22",16.110001
"211","2017-05-23",16.24
"212","2017-05-24",16.32
"213","2017-05-25",16.360001
"214","2017-05-26",17.030001
"215","2017-05-30",16.59
"216","2017-05-31",17.02
"217","2017-06-01",17
"218","2017-06-02",17.24
"219","2017-06-05",16.889999
"220","2017-06-06",16.809999
"221","2017-06-07",16.73
"222","2017-06-08",17.299999
"223","2017-06-09",17.27
"224","2017-06-12",17.190001
"225","2017-06-13",17.17
"226","2017-06-14",17.219999
"227","2017-06-15",17.879999
"228","2017-06-16",17.5
"229","2017-06-19",17.41
