"","date","IPWR"
"1","2013-11-22",53.5
"2","2013-11-25",69
"3","2013-11-26",69.599998
"4","2013-11-27",69.5
"5","2013-11-29",70
"6","2013-12-02",70
"7","2013-12-03",70.5
"8","2013-12-04",69.800003
"9","2013-12-05",63.5
"10","2013-12-06",59.5
"11","2013-12-09",65.800003
"12","2013-12-10",62.700001
"13","2013-12-11",61
"14","2013-12-12",60
"15","2013-12-13",59.5
"16","2013-12-16",57.700001
"17","2013-12-17",57
"18","2013-12-18",55.799999
"19","2013-12-19",56.400002
"20","2013-12-20",54
"21","2013-12-23",54.5
"22","2013-12-24",54.5
"23","2013-12-26",54.799999
"24","2013-12-27",53.5
"25","2013-12-30",52.700001
"26","2013-12-31",53.099998
"27","2014-01-02",54.900002
"28","2014-01-03",53.099998
"29","2014-01-06",56.099998
"30","2014-01-07",58.400002
"31","2014-01-08",71.400002
"32","2014-01-09",78.800003
"33","2014-01-10",80
"34","2014-01-13",70.300003
"35","2014-01-14",77.699997
"36","2014-01-15",74.330002
"37","2014-01-16",74.5
"38","2014-01-17",72.739998
"39","2014-01-21",70
"40","2014-01-22",70.300003
"41","2014-01-23",70
"42","2014-01-24",71
"43","2014-01-27",68.199997
"44","2014-01-28",68.5
"45","2014-01-29",67.300003
"46","2014-01-30",67.699997
"47","2014-01-31",66
"48","2014-02-03",69.099998
"49","2014-02-04",70.099998
"50","2014-02-05",70.900002
"51","2014-02-06",68.800003
"52","2014-02-07",69.599998
"53","2014-02-10",70
"54","2014-02-11",69
"55","2014-02-12",68.800003
"56","2014-02-13",69.800003
"57","2014-02-14",69.099998
"58","2014-02-18",69.800003
"59","2014-02-19",68
"60","2014-02-20",68.199997
"61","2014-02-21",69.099998
"62","2014-02-24",69
"63","2014-02-25",70.400002
"64","2014-02-26",71.5
"65","2014-02-27",75.699997
"66","2014-02-28",78.400002
"67","2014-03-03",77.900002
"68","2014-03-04",75.5
"69","2014-03-05",86.5
"70","2014-03-06",96
"71","2014-03-07",95
"72","2014-03-10",112.5
"73","2014-03-11",97.5
"74","2014-03-12",98.5
