"","date","CPST"
"1","2007-01-03",230
"2","2007-01-04",230
"3","2007-01-05",230
"4","2007-01-08",220
"5","2007-01-09",218
"6","2007-01-10",212
"7","2007-01-11",218
"8","2007-01-12",218
"9","2007-01-16",224
"10","2007-01-17",218
"11","2007-01-18",214
"12","2007-01-19",204
"13","2007-01-22",194
"14","2007-01-23",190
"15","2007-01-24",190
"16","2007-01-25",180
"17","2007-01-26",180
"18","2007-01-29",192
"19","2007-01-30",188
"20","2007-01-31",184
"21","2007-02-01",180
"22","2007-02-02",182
"23","2007-02-05",172
"24","2007-02-06",176
"25","2007-02-07",176
"26","2007-02-08",178
"27","2007-02-09",178
"28","2007-02-12",178
"29","2007-02-13",180
"30","2007-02-14",180
"31","2007-02-15",176
"32","2007-02-16",178
"33","2007-02-20",176
"34","2007-02-21",198
"35","2007-02-22",210
"36","2007-02-23",202
"37","2007-02-26",196
"38","2007-02-27",180
"39","2007-02-28",176
"40","2007-03-01",178
"41","2007-03-02",180
"42","2007-03-05",154
"43","2007-03-06",160
"44","2007-03-07",160
"45","2007-03-08",170
"46","2007-03-09",174
"47","2007-03-12",180
"48","2007-03-13",172
"49","2007-03-14",170
"50","2007-03-15",170
"51","2007-03-16",166
"52","2007-03-19",170
"53","2007-03-20",170
"54","2007-03-21",172
"55","2007-03-22",184
"56","2007-03-23",204
"57","2007-03-26",194
"58","2007-03-27",196
"59","2007-03-28",202
"60","2007-03-29",212
"61","2007-03-30",212
"62","2007-04-02",202
"63","2007-04-03",204
"64","2007-04-04",198
"65","2007-04-05",198
"66","2007-04-09",206
"67","2007-04-10",232
"68","2007-04-11",240
"69","2007-04-12",242
"70","2007-04-13",226
"71","2007-04-16",238
"72","2007-04-17",236
"73","2007-04-18",228
"74","2007-04-19",234
"75","2007-04-20",244
"76","2007-04-23",234
"77","2007-04-24",236
"78","2007-04-25",232
"79","2007-04-26",222
"80","2007-04-27",208
"81","2007-04-30",200
"82","2007-05-01",190
"83","2007-05-02",206
"84","2007-05-03",198
"85","2007-05-04",194
"86","2007-05-07",190
"87","2007-05-08",186
"88","2007-05-09",180
"89","2007-05-10",174
"90","2007-05-11",190
"91","2007-05-14",180
"92","2007-05-15",180
"93","2007-05-16",180
"94","2007-05-17",180
"95","2007-05-18",180
"96","2007-05-21",182
"97","2007-05-22",184
"98","2007-05-23",184
"99","2007-05-24",180
"100","2007-05-25",180
"101","2007-05-29",184
"102","2007-05-30",188
"103","2007-05-31",192
"104","2007-06-01",202
"105","2007-06-04",208
"106","2007-06-05",208
"107","2007-06-06",200
"108","2007-06-07",194
"109","2007-06-08",204
"110","2007-06-11",214
"111","2007-06-12",210
"112","2007-06-13",224
"113","2007-06-14",206
"114","2007-06-15",198
"115","2007-06-18",202
"116","2007-06-19",210
"117","2007-06-20",214
"118","2007-06-21",216
"119","2007-06-22",220
"120","2007-06-25",216
"121","2007-06-26",226
"122","2007-06-27",228
"123","2007-06-28",220
"124","2007-06-29",216
"125","2007-07-02",218
"126","2007-07-03",218
"127","2007-07-05",214
"128","2007-07-06",226
"129","2007-07-09",246
"130","2007-07-10",240
"131","2007-07-11",268
"132","2007-07-12",282
"133","2007-07-13",264
"134","2007-07-16",258
"135","2007-07-17",256
"136","2007-07-18",244
"137","2007-07-19",266
"138","2007-07-20",260
"139","2007-07-23",254
"140","2007-07-24",238
"141","2007-07-25",240
"142","2007-07-26",232
"143","2007-07-27",226
"144","2007-07-30",232
"145","2007-07-31",230
"146","2007-08-01",214
"147","2007-08-02",208
"148","2007-08-03",204
"149","2007-08-06",192
"150","2007-08-07",216
"151","2007-08-08",220
"152","2007-08-09",214
"153","2007-08-10",208
"154","2007-08-13",206
"155","2007-08-14",204
"156","2007-08-15",202
"157","2007-08-16",204
"158","2007-08-17",202
"159","2007-08-20",202
"160","2007-08-21",198
"161","2007-08-22",194
"162","2007-08-23",202
"163","2007-08-24",198
"164","2007-08-27",218
"165","2007-08-28",220
"166","2007-08-29",220
"167","2007-08-30",230
"168","2007-08-31",220
"169","2007-09-04",228
"170","2007-09-05",246
"171","2007-09-06",248
"172","2007-09-07",238
"173","2007-09-10",218
"174","2007-09-11",232
"175","2007-09-12",228
"176","2007-09-13",224
"177","2007-09-14",240
"178","2007-09-17",246
"179","2007-09-18",250
"180","2007-09-19",244
"181","2007-09-20",238
"182","2007-09-21",230
"183","2007-09-24",234
