"","date","TSRI"
"1","2007-01-03",8.46
"2","2007-01-04",8.42
"3","2007-01-05",8.98
"4","2007-01-08",8.26
"5","2007-01-09",8.42
"6","2007-01-10",8.6
"7","2007-01-11",8.74
"8","2007-01-12",8.86
"9","2007-01-16",9.06
"10","2007-01-17",9.38
"11","2007-01-18",8.8
"12","2007-01-19",8.88
"13","2007-01-22",8.84
"14","2007-01-23",8.78
"15","2007-01-24",8.68
"16","2007-01-25",8.68
"17","2007-01-26",8.74
"18","2007-01-29",8.52
"19","2007-01-30",8.02
"20","2007-01-31",8.22
"21","2007-02-01",8.1
"22","2007-02-02",8.46
"23","2007-02-05",8.26
"24","2007-02-06",8.32
"25","2007-02-07",8.36
"26","2007-02-08",8.46
"27","2007-02-09",8.52
"28","2007-02-12",8.54
"29","2007-02-13",8.72
"30","2007-02-14",8.86
"31","2007-02-15",8.76
"32","2007-02-16",8.36
"33","2007-02-20",8.52
"34","2007-02-21",8.48
"35","2007-02-22",8.74
"36","2007-02-23",8.78
"37","2007-02-26",8.62
"38","2007-02-27",8.6
"39","2007-02-28",8.52
"40","2007-03-01",8.52
"41","2007-03-02",8.72
"42","2007-03-05",8.6
"43","2007-03-06",8.92
"44","2007-03-07",8.8
"45","2007-03-08",8.8
"46","2007-03-09",8.86
"47","2007-03-12",9
"48","2007-03-13",8.88
"49","2007-03-14",8.88
"50","2007-03-15",8.7
"51","2007-03-16",8.74
"52","2007-03-19",8.9
"53","2007-03-20",8.62
"54","2007-03-21",8.86
"55","2007-03-22",8.74
"56","2007-03-23",8.76
"57","2007-03-26",8.48
"58","2007-03-27",8.5
"59","2007-03-28",8.38
"60","2007-03-29",8.48
"61","2007-03-30",8.44
"62","2007-04-02",8.22
"63","2007-04-03",8.12
"64","2007-04-04",8.1
"65","2007-04-05",8
"66","2007-04-09",7.9
"67","2007-04-10",7.72
"68","2007-04-11",7.86
"69","2007-04-12",8
"70","2007-04-13",8.1
"71","2007-04-16",7.9
"72","2007-04-17",8.06
"73","2007-04-18",8.06
"74","2007-04-19",7.9
"75","2007-04-20",7.98
"76","2007-04-23",8.1
"77","2007-04-24",8.04
"78","2007-04-25",8.04
"79","2007-04-26",8.04
"80","2007-04-27",7.9
"81","2007-04-30",7.98
"82","2007-05-01",7.82
"83","2007-05-02",7.82
"84","2007-05-03",7.86
"85","2007-05-04",7.98
"86","2007-05-07",7.92
"87","2007-05-08",7.9
"88","2007-05-09",7.94
"89","2007-05-10",7.94
"90","2007-05-11",7.92
"91","2007-05-14",8
"92","2007-05-15",7.9
"93","2007-05-16",7.76
"94","2007-05-17",7.98
"95","2007-05-18",7.66
"96","2007-05-21",7.6
"97","2007-05-22",7.78
"98","2007-05-23",7.76
"99","2007-05-24",7.78
"100","2007-05-25",7.82
"101","2007-05-29",7.9
"102","2007-05-30",7.82
"103","2007-05-31",7.82
"104","2007-06-01",7.8
"105","2007-06-04",7.74
"106","2007-06-05",7.96
"107","2007-06-06",7.98
"108","2007-06-07",7.94
"109","2007-06-08",8
"110","2007-06-11",8.02
"111","2007-06-12",8.16
"112","2007-06-13",8.04
"113","2007-06-14",7.9
"114","2007-06-15",7.9
"115","2007-06-18",7.92
"116","2007-06-19",7.88
"117","2007-06-20",8.02
"118","2007-06-21",7.98
"119","2007-06-22",7.8
"120","2007-06-25",7.86
"121","2007-06-26",7.76
"122","2007-06-27",7.8
"123","2007-06-28",7.82
"124","2007-06-29",7.82
"125","2007-07-02",8.08
"126","2007-07-03",7.96
"127","2007-07-05",7.96
"128","2007-07-06",7.8
"129","2007-07-09",7.9
"130","2007-07-10",7.92
"131","2007-07-11",7.94
"132","2007-07-12",8.06
"133","2007-07-13",8
"134","2007-07-16",7.88
"135","2007-07-17",7.94
"136","2007-07-18",8.12
"137","2007-07-19",8.08
"138","2007-07-20",7.86
"139","2007-07-23",7.98
"140","2007-07-24",7.72
