"","date","EB"
"1","2018-09-20",36.5
"2","2018-09-21",34.25
"3","2018-09-24",34.209999
"4","2018-09-25",36.220001
"5","2018-09-26",37.459999
"6","2018-09-27",36.650002
"7","2018-09-28",37.970001
"8","2018-10-01",37.080002
"9","2018-10-02",34.34
"10","2018-10-03",34.880001
"11","2018-10-04",33.700001
"12","2018-10-05",31.639999
"13","2018-10-08",29.799999
"14","2018-10-09",29.41
"15","2018-10-10",27.9
"16","2018-10-11",27.92
"17","2018-10-12",28
"18","2018-10-15",27.860001
"19","2018-10-16",28.59
"20","2018-10-17",30.549999
"21","2018-10-18",29.059999
"22","2018-10-19",26.77
"23","2018-10-22",26.08
"24","2018-10-23",27.08
"25","2018-10-24",25.120001
"26","2018-10-25",26.48
"27","2018-10-26",25.540001
"28","2018-10-29",25.879999
"29","2018-10-30",28.43
"30","2018-10-31",28.299999
"31","2018-11-01",28.25
"32","2018-11-02",30.110001
"33","2018-11-05",30.049999
"34","2018-11-06",30.440001
"35","2018-11-07",31.790001
"36","2018-11-08",33.860001
"37","2018-11-09",32.52
"38","2018-11-12",30.98
"39","2018-11-13",28.950001
"40","2018-11-14",26.92
"41","2018-11-15",29
"42","2018-11-16",30.690001
"43","2018-11-19",29.07
"44","2018-11-20",28.049999
"45","2018-11-21",27.99
"46","2018-11-23",28.42
"47","2018-11-26",28.389999
"48","2018-11-27",29.51
"49","2018-11-28",30
"50","2018-11-29",31.280001
"51","2018-11-30",29.709999
"52","2018-12-03",28.6
"53","2018-12-04",28.82
"54","2018-12-06",29.01
"55","2018-12-07",30.24
"56","2018-12-10",31.440001
"57","2018-12-11",31.030001
"58","2018-12-12",31.860001
"59","2018-12-13",31.700001
"60","2018-12-14",32.240002
"61","2018-12-17",30.92
"62","2018-12-18",32.349998
"63","2018-12-19",32.860001
"64","2018-12-20",28.52
"65","2018-12-21",26.299999
"66","2018-12-24",27.76
"67","2018-12-26",28.77
"68","2018-12-27",29.360001
"69","2018-12-28",28.41
"70","2018-12-31",27.809999
"71","2019-01-02",27.799999
"72","2019-01-03",27.42
"73","2019-01-04",29.530001
"74","2019-01-07",30.49
"75","2019-01-08",30.49
"76","2019-01-09",31.290001
"77","2019-01-10",32
"78","2019-01-11",30.5
"79","2019-01-14",30.450001
"80","2019-01-15",30.74
"81","2019-01-16",31.08
