"","date","SFTW"
"1","2019-12-20",9.8
"2","2019-12-23",9.73
"3","2019-12-24",9.75
"4","2019-12-26",9.75
"5","2019-12-27",9.75
"6","2019-12-30",9.75
"7","2019-12-31",9.75
"8","2020-01-02",9.78
"9","2020-01-03",9.79
"10","2020-01-06",9.79
"11","2020-01-07",9.79
"12","2020-01-08",9.79
"13","2020-01-09",9.79
"14","2020-01-10",9.9
"15","2020-01-13",9.98
"16","2020-01-14",9.9
"17","2020-01-15",9.9
"18","2020-01-16",9.915
"19","2020-01-17",9.98
"20","2020-01-21",9.91
"21","2020-01-22",9.91
"22","2020-01-23",9.9
"23","2020-01-24",9.942
"24","2020-01-27",9.95
"25","2020-01-28",9.95
"26","2020-01-29",9.91
"27","2020-01-30",9.94
"28","2020-01-31",9.94
"29","2020-02-03",10.33
"30","2020-02-04",9.94
"31","2020-02-05",9.95
"32","2020-02-06",9.9
"33","2020-02-07",9.95
"34","2020-02-10",9.95
"35","2020-02-11",9.96
"36","2020-02-12",9.98
"37","2020-02-13",9.95
"38","2020-02-14",9.95
"39","2020-02-18",9.9
"40","2020-02-19",9.92
"41","2020-02-20",9.915
"42","2020-02-21",9.915
"43","2020-02-24",9.93
"44","2020-02-25",9.92
"45","2020-02-26",9.92
"46","2020-02-27",9.92
"47","2020-02-28",9.9
"48","2020-03-02",9.9
"49","2020-03-03",9.9
"50","2020-03-04",9.93
"51","2020-03-05",9.92
"52","2020-03-06",9.92
"53","2020-03-09",9.92
"54","2020-03-10",9.92
"55","2020-03-11",9.93
"56","2020-03-12",9.75
"57","2020-03-13",9.8
"58","2020-03-16",9.6
"59","2020-03-17",9.69
"60","2020-03-18",9.25
"61","2020-03-19",9.25
"62","2020-03-20",9.11
"63","2020-03-23",9.33
"64","2020-03-24",9.5
"65","2020-03-25",9.5
"66","2020-03-26",9.67
"67","2020-03-27",9.7
"68","2020-03-30",9.7
"69","2020-03-31",9.72
"70","2020-04-01",9.74
"71","2020-04-02",9.65
"72","2020-04-03",9.73
"73","2020-04-06",9.63
"74","2020-04-07",9.7
"75","2020-04-08",9.62
"76","2020-04-09",9.8
"77","2020-04-13",9.71
"78","2020-04-14",9.77
"79","2020-04-15",9.7
"80","2020-04-16",9.72
"81","2020-04-17",9.7
"82","2020-04-20",9.76
"83","2020-04-21",9.76
"84","2020-04-22",9.73
"85","2020-04-23",9.89
"86","2020-04-24",9.74
"87","2020-04-27",9.75
"88","2020-04-28",9.89
"89","2020-04-29",9.89
"90","2020-04-30",9.89
"91","2020-05-01",9.795
"92","2020-05-04",9.795
"93","2020-05-05",9.8
"94","2020-05-06",9.75
"95","2020-05-07",9.74
"96","2020-05-08",9.73
"97","2020-05-11",9.73
"98","2020-05-12",9.71
"99","2020-05-13",9.73
"100","2020-05-14",9.6
"101","2020-05-15",9.6
"102","2020-05-18",9.66
"103","2020-05-19",9.68
"104","2020-05-20",9.65
