"","date","CNF"
"1","2018-11-07",7.6
"2","2018-11-08",7.4
"3","2018-11-09",7.26
"4","2018-11-12",7.25
"5","2018-11-13",7.55
"6","2018-11-14",7.5
"7","2018-11-15",7.46
"8","2018-11-16",7.34
"9","2018-11-19",7.46
"10","2018-11-20",7.41
"11","2018-11-21",7.5
"12","2018-11-23",6.64
"13","2018-11-26",6.95
"14","2018-11-27",6.81
"15","2018-11-28",6.9
"16","2018-11-29",6.84
"17","2018-11-30",6.85
"18","2018-12-03",6.57
"19","2018-12-04",6.58
"20","2018-12-06",6.33
"21","2018-12-07",5.88
"22","2018-12-10",5.75
"23","2018-12-11",5.75
"24","2018-12-12",5.73
"25","2018-12-13",5.66
"26","2018-12-14",5.6
"27","2018-12-17",5.52
"28","2018-12-18",5.16
"29","2018-12-19",5.25
"30","2018-12-20",5.12
"31","2018-12-21",5.17
"32","2018-12-24",5.05
"33","2018-12-26",5.1
"34","2018-12-27",5.35
"35","2018-12-28",5.75
"36","2018-12-31",5.51
"37","2019-01-02",5.3
"38","2019-01-03",5.5
"39","2019-01-04",5.8
"40","2019-01-07",5.66
"41","2019-01-08",5.67
"42","2019-01-09",5.55
"43","2019-01-10",5.55
"44","2019-01-11",5.55
"45","2019-01-14",5.5
"46","2019-01-15",5.66
"47","2019-01-16",5.5
"48","2019-01-17",5.96
"49","2019-01-18",6.57
"50","2019-01-22",6.45
"51","2019-01-23",6.62
"52","2019-01-24",6.82
"53","2019-01-25",6.54
"54","2019-01-28",6.29
"55","2019-01-29",6.05
"56","2019-01-30",5.9
"57","2019-01-31",5.9
"58","2019-02-01",6
"59","2019-02-04",5.6
"60","2019-02-05",5.66
"61","2019-02-06",5.69
"62","2019-02-07",5.5
"63","2019-02-08",5.5
"64","2019-02-11",5.57
"65","2019-02-12",5.6
"66","2019-02-13",5.89
"67","2019-02-14",5.85
"68","2019-02-15",6.03
"69","2019-02-19",5.84
"70","2019-02-20",5.7
"71","2019-02-21",5.35
"72","2019-02-22",4.95
"73","2019-02-25",5.11
"74","2019-02-26",4.94
"75","2019-02-27",5.07
"76","2019-02-28",5.2
"77","2019-03-01",5.27
"78","2019-03-04",5.16
"79","2019-03-05",5.32
"80","2019-03-06",5.5
"81","2019-03-07",6
"82","2019-03-08",6.21
"83","2019-03-11",6.3
"84","2019-03-12",5.58
"85","2019-03-13",5.29
"86","2019-03-14",5.05
"87","2019-03-15",5.11
"88","2019-03-18",5.46
"89","2019-03-19",5.2
"90","2019-03-20",5.33
"91","2019-03-21",5.31
"92","2019-03-22",5.37
"93","2019-03-25",5.54
"94","2019-03-26",5.61
"95","2019-03-27",5.35
"96","2019-03-28",5.54
"97","2019-03-29",6.06
"98","2019-04-01",6.02
"99","2019-04-02",5.86
"100","2019-04-03",5.7
"101","2019-04-04",6.1
"102","2019-04-05",6.61
"103","2019-04-08",6.5
"104","2019-04-09",6.36
"105","2019-04-10",6.43
"106","2019-04-11",6.43
"107","2019-04-12",6.54
"108","2019-04-15",6.3
"109","2019-04-16",6
"110","2019-04-17",5.94
"111","2019-04-18",6.05
"112","2019-04-22",6.02
"113","2019-04-23",6.58
"114","2019-04-24",6.2
"115","2019-04-25",6.05
"116","2019-04-26",5.92
"117","2019-04-29",5.98
"118","2019-04-30",5.89
"119","2019-05-01",5.9
"120","2019-05-02",5.91
"121","2019-05-03",5.85
"122","2019-05-06",5.99
"123","2019-05-07",5.8
"124","2019-05-08",5.78
"125","2019-05-09",5.73
"126","2019-05-10",5.59
"127","2019-05-13",5.35
"128","2019-05-14",5.35
"129","2019-05-15",5.5
"130","2019-05-16",5.51
"131","2019-05-17",5.55
"132","2019-05-20",6
"133","2019-05-21",5.9
"134","2019-05-22",5.6
"135","2019-05-23",5.45
"136","2019-05-24",5.36
"137","2019-05-28",5.4
"138","2019-05-29",5.55
"139","2019-05-30",5.54
"140","2019-05-31",5.56
"141","2019-06-03",5.5
"142","2019-06-04",5.68
"143","2019-06-05",5.87
"144","2019-06-06",5.75
"145","2019-06-07",5.9
"146","2019-06-10",6.17
"147","2019-06-11",6.2
"148","2019-06-12",6.35
"149","2019-06-13",6.32
"150","2019-06-14",6.29
"151","2019-06-17",6.2
"152","2019-06-18",6.18
"153","2019-06-19",6.19
"154","2019-06-20",6
"155","2019-06-21",5.98
"156","2019-06-24",5.86
"157","2019-06-25",5.55
"158","2019-06-26",5.88
"159","2019-06-27",5.93
"160","2019-06-28",5.93
"161","2019-07-01",5.93
"162","2019-07-02",5.81
