"","date","IBP"
"1","2014-02-13",12.8
"2","2014-02-14",13
"3","2014-02-18",12.68
"4","2014-02-19",12.25
"5","2014-02-20",12.78
"6","2014-02-21",13.12
"7","2014-02-24",13.16
"8","2014-02-25",13.29
"9","2014-02-26",13.79
"10","2014-02-27",14.5
"11","2014-02-28",14.9
"12","2014-03-03",14.61
"13","2014-03-04",14.47
"14","2014-03-05",14.99
"15","2014-03-06",15
"16","2014-03-07",14.78
"17","2014-03-10",14.37
"18","2014-03-11",14.89
"19","2014-03-12",14.58
"20","2014-03-13",14.53
"21","2014-03-14",14.16
"22","2014-03-17",13.81
"23","2014-03-18",13.95
"24","2014-03-19",13.94
"25","2014-03-20",13.98
"26","2014-03-21",13.5
"27","2014-03-24",13.59
"28","2014-03-25",13.49
"29","2014-03-26",12.86
"30","2014-03-27",12.71
"31","2014-03-28",13.11
"32","2014-03-31",13.95
"33","2014-04-01",14.18
"34","2014-04-02",13.9
"35","2014-04-03",14.48
"36","2014-04-04",13.7
"37","2014-04-07",13
"38","2014-04-08",12.94
"39","2014-04-09",13.24
"40","2014-04-10",13.27
"41","2014-04-11",13.25
"42","2014-04-14",13.26
"43","2014-04-15",13.02
"44","2014-04-16",13.11
"45","2014-04-17",13.05
"46","2014-04-21",13.76
"47","2014-04-22",14.43
"48","2014-04-23",14.31
"49","2014-04-24",14.6
"50","2014-04-25",14.36
"51","2014-04-28",14.01
"52","2014-04-29",14.04
"53","2014-04-30",13.91
"54","2014-05-01",13.65
"55","2014-05-02",13.98
"56","2014-05-05",13.9
"57","2014-05-06",13.3
"58","2014-05-07",13.09
"59","2014-05-08",13.13
"60","2014-05-09",13.1
"61","2014-05-12",12.72
"62","2014-05-13",13.75
"63","2014-05-14",13.31
"64","2014-05-15",13.1
"65","2014-05-16",13.24
"66","2014-05-19",13.23
"67","2014-05-20",13.44
"68","2014-05-21",13.86
"69","2014-05-22",13.94
"70","2014-05-23",13.65
"71","2014-05-27",13.68
"72","2014-05-28",13.54
"73","2014-05-29",13.58
"74","2014-05-30",13.56
"75","2014-06-02",13.5
"76","2014-06-03",13.48
"77","2014-06-04",13.56
"78","2014-06-05",13.6
