"","date","WIMI"
"1","2020-04-01",5.5
"2","2020-04-02",5.39
"3","2020-04-03",5.25
"4","2020-04-06",5.25
"5","2020-04-07",5.434
"6","2020-04-08",5.485
"7","2020-04-09",5.27
"8","2020-04-13",5.28
"9","2020-04-14",5.24
"10","2020-04-15",5.22
"11","2020-04-16",5.23
"12","2020-04-17",5.29
"13","2020-04-20",5.23
"14","2020-04-21",5.23
"15","2020-04-22",5.4
"16","2020-04-23",5.278
"17","2020-04-24",5.22
"18","2020-04-27",5.21
"19","2020-04-28",5.23
"20","2020-04-29",5.25
"21","2020-04-30",5.25
"22","2020-05-01",4.88
"23","2020-05-04",4.66
"24","2020-05-05",4.43
"25","2020-05-06",4.45
"26","2020-05-07",4.45
"27","2020-05-08",4.55
"28","2020-05-11",4.75
"29","2020-05-12",4.9
"30","2020-05-13",4.66
"31","2020-05-14",4.46
"32","2020-05-15",4.46
"33","2020-05-18",4.51
"34","2020-05-19",4.64
"35","2020-05-20",4.41
"36","2020-05-21",3.86
"37","2020-05-22",3.72
"38","2020-05-26",3.89
"39","2020-05-27",3.77
"40","2020-05-28",3.65
"41","2020-05-29",3.7
"42","2020-06-01",3.58
"43","2020-06-02",3.47
"44","2020-06-03",3.39
"45","2020-06-04",3.4
"46","2020-06-05",3.45
"47","2020-06-08",3.41
"48","2020-06-09",3.52
"49","2020-06-10",3.72
"50","2020-06-11",3.58
"51","2020-06-12",3.52
"52","2020-06-15",3.54
"53","2020-06-16",3.47
"54","2020-06-17",3.52
"55","2020-06-18",3.49
"56","2020-06-19",3.48
"57","2020-06-22",3.48
"58","2020-06-23",3.62
"59","2020-06-24",3.64
"60","2020-06-25",3.7
"61","2020-06-26",3.5
"62","2020-06-29",3.43
"63","2020-06-30",3.45
"64","2020-07-01",3.44
"65","2020-07-02",3.47
"66","2020-07-06",3.54
"67","2020-07-07",3.52
"68","2020-07-08",3.5
"69","2020-07-09",3.84
"70","2020-07-10",14.63
"71","2020-07-13",24.74
"72","2020-07-14",17.59
"73","2020-07-15",16.43
"74","2020-07-16",17.99
"75","2020-07-17",16.290001
"76","2020-07-20",13.8
"77","2020-07-21",12.41
"78","2020-07-22",13.17
"79","2020-07-23",11.95
"80","2020-07-24",11.21
"81","2020-07-27",7.29
"82","2020-07-28",7.39
"83","2020-07-29",7.63
"84","2020-07-30",7.12
"85","2020-07-31",6.69
"86","2020-08-03",7.19
"87","2020-08-04",8.37
"88","2020-08-05",8.93
"89","2020-08-06",9.62
"90","2020-08-07",8.7
"91","2020-08-10",8.3
"92","2020-08-11",7.63
"93","2020-08-12",7.87
"94","2020-08-13",8.02
"95","2020-08-14",8.25
"96","2020-08-17",7.77
"97","2020-08-18",7.84
"98","2020-08-19",8.01
"99","2020-08-20",8.49
"100","2020-08-21",7.82
"101","2020-08-24",7.79
"102","2020-08-25",7.55
"103","2020-08-26",7.56
"104","2020-08-27",7.48
"105","2020-08-28",7.3
"106","2020-08-31",6.85
"107","2020-09-01",7.08
"108","2020-09-02",7.01
"109","2020-09-03",6.32
"110","2020-09-04",6.07
"111","2020-09-08",6.46
"112","2020-09-09",6.48
"113","2020-09-10",6.72
"114","2020-09-11",6.61
"115","2020-09-14",6.76
"116","2020-09-15",6.87
"117","2020-09-16",6.99
"118","2020-09-17",6.71
"119","2020-09-18",6.55
"120","2020-09-21",6.15
"121","2020-09-22",5.96
"122","2020-09-23",5.76
"123","2020-09-24",5.45
"124","2020-09-25",5.9
"125","2020-09-28",5.89
"126","2020-09-29",5.7
"127","2020-09-30",5.57
"128","2020-10-01",5.35
"129","2020-10-02",5.25
"130","2020-10-05",5.21
"131","2020-10-06",5.03
"132","2020-10-07",5.14
"133","2020-10-08",5.24
"134","2020-10-09",5.28
"135","2020-10-12",7.06
"136","2020-10-13",6.14
"137","2020-10-14",5.96
"138","2020-10-15",5.74
"139","2020-10-16",6
"140","2020-10-19",6.16
"141","2020-10-20",6.09
"142","2020-10-21",5.6
"143","2020-10-22",5.75
"144","2020-10-23",5.63
"145","2020-10-26",5.66
"146","2020-10-27",5.56
"147","2020-10-28",5.68
"148","2020-10-29",5.63
"149","2020-10-30",5.62
"150","2020-11-02",5.53
"151","2020-11-03",5.68
"152","2020-11-04",5.8
"153","2020-11-05",6.14
"154","2020-11-06",6.15
"155","2020-11-09",5.95
"156","2020-11-10",5.9
"157","2020-11-11",5.95
"158","2020-11-12",5.89
"159","2020-11-13",5.84
"160","2020-11-16",5.94
"161","2020-11-17",6.02
"162","2020-11-18",5.92
"163","2020-11-19",6.65
"164","2020-11-20",6.32
"165","2020-11-23",6.03
"166","2020-11-24",6.4
"167","2020-11-25",6.41
"168","2020-11-27",6.49
