"","date","MLI"
"1","2007-01-03",15.555
"2","2007-01-04",15.755
"3","2007-01-05",15.425
"4","2007-01-08",15.595
"5","2007-01-09",15.34
"6","2007-01-10",15.205
"7","2007-01-11",15.425
"8","2007-01-12",15.51
"9","2007-01-16",15.37
"10","2007-01-17",15.525
"11","2007-01-18",15.185
"12","2007-01-19",15.47
"13","2007-01-22",15.365
"14","2007-01-23",15.69
"15","2007-01-24",16.065001
"16","2007-01-25",15.935
"17","2007-01-26",15.87
"18","2007-01-29",15.965
"19","2007-01-30",16.139999
"20","2007-01-31",16.285
"21","2007-02-01",16.725
"22","2007-02-02",16.764999
"23","2007-02-05",16.57
"24","2007-02-06",16.514999
"25","2007-02-07",15.95
"26","2007-02-08",16.040001
"27","2007-02-09",15.91
"28","2007-02-12",15.695
"29","2007-02-13",15.92
"30","2007-02-14",15.85
"31","2007-02-15",15.64
"32","2007-02-16",15.495
"33","2007-02-20",15.575
"34","2007-02-21",15.75
"35","2007-02-22",15.575
"36","2007-02-23",15.465
"37","2007-02-26",15.425
"38","2007-02-27",14.8
"39","2007-02-28",14.9
"40","2007-03-01",14.94
"41","2007-03-02",14.505
"42","2007-03-05",14.185
"43","2007-03-06",14.315
"44","2007-03-07",14.21
"45","2007-03-08",14.62
"46","2007-03-09",14.605
"47","2007-03-12",14.48
"48","2007-03-13",13.99
"49","2007-03-14",14.185
"50","2007-03-15",14.345
"51","2007-03-16",14.38
"52","2007-03-19",14.46
"53","2007-03-20",14.595
"54","2007-03-21",14.87
"55","2007-03-22",14.995
"56","2007-03-23",15.155
"57","2007-03-26",15.23
"58","2007-03-27",15.255
"59","2007-03-28",15.14
"60","2007-03-29",15.165
"61","2007-03-30",15.05
"62","2007-04-02",14.94
"63","2007-04-03",15.225
"64","2007-04-04",15.18
"65","2007-04-05",14.985
"66","2007-04-09",14.925
"67","2007-04-10",14.975
"68","2007-04-11",14.815
"69","2007-04-12",14.915
"70","2007-04-13",14.955
"71","2007-04-16",15.3
"72","2007-04-17",15.18
"73","2007-04-18",15.13
"74","2007-04-19",15.03
"75","2007-04-20",15.29
"76","2007-04-23",15.285
"77","2007-04-24",15.115
"78","2007-04-25",16.02
"79","2007-04-26",16.375
"80","2007-04-27",16.5
"81","2007-04-30",16.4
"82","2007-05-01",16.459999
"83","2007-05-02",16.85
"84","2007-05-03",16.825001
"85","2007-05-04",17.01
"86","2007-05-07",17.309999
"87","2007-05-08",17.495001
"88","2007-05-09",17.82
"89","2007-05-10",17.115
"90","2007-05-11",17.475
"91","2007-05-14",17.285
"92","2007-05-15",17.23
"93","2007-05-16",17.225
"94","2007-05-17",16.98
"95","2007-05-18",17.129999
"96","2007-05-21",17.305
"97","2007-05-22",17.594999
"98","2007-05-23",17.575001
"99","2007-05-24",17.200001
"100","2007-05-25",17.584999
"101","2007-05-29",17.575001
"102","2007-05-30",17.525
"103","2007-05-31",17.495001
"104","2007-06-01",17.51
"105","2007-06-04",17.559999
"106","2007-06-05",17.545
"107","2007-06-06",17.309999
"108","2007-06-07",16.705
"109","2007-06-08",16.9
"110","2007-06-11",16.924999
"111","2007-06-12",16.68
